ID,Sample
#q2:types,categorical
Beef-434EB,EmptyTube
Beef-B177,EmptyTube
Beef-B182,EmptyTube
Beef-B189,EmptyTube
Extra1,EmptyTube
Extra10,EmptyTube
Extra11,EmptyTube
Extra12,EmptyTube
Extra13,EmptyTube
Extra14,EmptyTube
Extra15,EmptyTube
Extra16,EmptyTube
Extra17,EmptyTube
Extra2,EmptyTube
Extra2,EmptyTube
Extra3,EmptyTube
Extra329-421,EmptyTube
Extra4,EmptyTube
Extra422-434,EmptyTube
Extra5,EmptyTube
Extra6,EmptyTube
Extra7,EmptyTube
Extra8,EmptyTube
Extra9,EmptyTube
Mock1,Mock
Mock2,Mock
Mock3,Mock
Mock4,Mock
Mock6,Mock
Mock5,Mock
Water1,Water
Water2,Water
Water3,Water
Water4,Water
Water5,Water
Water6,Water
Water7,Water
Water8,Water
Water9,Water
