ASV,Taxonomy
ea403646ed22d679fa4586263d8fc32f,A.baumannii.1
6db2c97532abe971a75024dfeaf40e9d,A.baumannii.1
5ccd30281011c170e7e836bc752205e6,A.baumannii.1
edac41df0daf00e30983ab377d714683,A.baumannii.1
5d85d1ed69c6d9cc8b5a0ec6319f4186,A.baumannii.1
dae0cca3f080ab370a4e3ba48fcd8b24,A.baumannii.1
12facd7d7473a9742021089f4803d6a5,A.baumannii.1
036d64ba45b7fd447512d081900530c7,A.baumannii.1
34e07216eaf862049aedd21b8f284b28,A.baumannii.1
294c1c0b34bf4ac233add60d5e225914,A.baumannii.1
c22b16cc6108c04f29fea3b6d4c81571,A.baumannii.1
abbe347c24c0a3d7e53b62136edd426c,A.baumannii.1
624aba072cd6d5da75e6cc54b0ec5f59,A.baumannii.1
bdf8a26094624622d68509a87fa75ba7,B.pacificus
60933de335c7464f51fffcd2152a39a6,B.pacificus
fd1098cd571337c869bc804919b0f630,B.pacificus
2b2995bdb3b552a2a55576f244023603,B.pacificus
34d4611e6d255e02f05214d341811b9e,B.pacificus
97fb0fc478537c28e31abe0db17887f8,B.pacificus
295b4fc52bbe62488fad64135cf9b995,B.pacificus
9170143295e4485d2e413fc0f0116f77,B.pacificus
e93232a1a499a7fda51e9737cc018ced,B.pacificus
019c4550990807c0b23e16f7d7c9f363,B.pacificus
7006413e51a7d9452d99564b207ea103,B.pacificus
0c98552db8231659bdfe2a780d0a751b,B.pacificus
16fbc0769871f7bdbd1f6f9dbcbc6f17,B.pacificus
a16aa1f90e01cade20ea897f02e71f9d,B.pacificus
7243bf2efbc7195ee671881fa191adfc,B.pacificus
dd42b13ad930c716f596bbdcfe60e6ee,B.pacificus
19a7b770565f12de87203d716e96509e,B.pacificus
0055d69448f2e866bcdfb914aa681fe5,B.pacificus
530f95a487a62a2c587656db22682959,B.pacificus
e9a1b276e02f157f3c8a41ade4d95992,B.pacificus
d566b1d745305a682f9b1090cb935636,B.pacificus
b2062ae94fb00a931014b67b499295a8,B.vulgatus.4
75ba7fba232bce1e9c7e0ce8917a0ada,B.vulgatus.4
99deb3c5ecb022ec05609ebd1112a557,B.vulgatus.5
2bc4a448b77df4a11a34cfed3abf5073,B.vulgatus.5
2c982937754e6321f861027032db80f7,B.vulgatus.5
a92e8985212331c627c9d95d03cebf2c,B.vulgatus.5
2161d29d87676f9f1525c3ca3c6e2d87,B.vulgatus.5
72b8d567c51d457b1905c657e890b0dd,B.vulgatus.5
675c847bccbc53942ebb7b8cbb4efc4d,B.vulgatus.5
