"","Species","Status","taxa.average","State"
"1"," Bibersteinia","BRD",0.000275160965095206,"CO"
"2"," Bibersteinia","Healthy",1.70468530677683e-05,"CO"
"3"," Histophilus","BRD",0.00226248070789259,"CO"
"4"," Histophilus","Healthy",0.00390646630174089,"CO"
"5"," Mannheimia_haemolytica","BRD",0,"CO"
"6"," Mannheimia_haemolytica","Healthy",0,"CO"
"7"," Mesomycoplasma_dispar","BRD",0.000870266867878367,"CO"
"8"," Mesomycoplasma_dispar","Healthy",0.000775391718998755,"CO"
"9"," Mycoplasma","BRD",0.00183327238594647,"CO"
"10"," Mycoplasma","Healthy",0.00174139868396714,"CO"
"11"," Mycoplasmopsis_bovirhinis","BRD",0.00493625928621729,"CO"
"12"," Mycoplasmopsis_bovirhinis","Healthy",0.0020760418313766,"CO"
"13"," Pasteurella_multocida","BRD",0.00710026889612755,"CO"
"14"," Pasteurella_multocida","Healthy",0.00461039366654404,"CO"
"15"," Trueperella","BRD",0.000137511603761708,"CO"
"16"," Trueperella","Healthy",0.000293517537823608,"CO"
"17"," Bibersteinia","BRD",1.24075431244841e-05,"ID"
"18"," Bibersteinia","Healthy",2.74306270043315e-05,"ID"
"19"," Histophilus","BRD",0.0105840060217541,"ID"
"20"," Histophilus","Healthy",0.00524132415179136,"ID"
"21"," Mannheimia_haemolytica","BRD",0.00200590090249852,"ID"
"22"," Mannheimia_haemolytica","Healthy",0.00757783051207746,"ID"
"23"," Mesomycoplasma_dispar","BRD",0.00239631566473898,"ID"
"24"," Mesomycoplasma_dispar","Healthy",0.00258432601599948,"ID"
"25"," Mycoplasma","BRD",0.00284230761901234,"ID"
"26"," Mycoplasma","Healthy",0.00326126590634518,"ID"
"27"," Mycoplasmopsis_bovirhinis","BRD",0.0274384378909228,"ID"
"28"," Mycoplasmopsis_bovirhinis","Healthy",0.0113656394482504,"ID"
"29"," Pasteurella_multocida","BRD",0.0267136289099348,"ID"
"30"," Pasteurella_multocida","Healthy",0.0165961442894237,"ID"
"31"," Trueperella","BRD",0.000809172493514513,"ID"
"32"," Trueperella","Healthy",0.00106201301545084,"ID"
"33"," Bibersteinia","BRD",6.72840188767238e-05,"IN"
"34"," Bibersteinia","Healthy",4.70422586500866e-05,"IN"
"35"," Histophilus","BRD",0.0207339395882407,"IN"
"36"," Histophilus","Healthy",0.0184506459731409,"IN"
"37"," Mannheimia_haemolytica","BRD",0.0025051325816165,"IN"
"38"," Mannheimia_haemolytica","Healthy",0.00267981242736113,"IN"
"39"," Mesomycoplasma_dispar","BRD",0.00974843924704177,"IN"
"40"," Mesomycoplasma_dispar","Healthy",0.00570359115833701,"IN"
"41"," Mycoplasma","BRD",0.0125737885746906,"IN"
"42"," Mycoplasma","Healthy",0.00795911105436776,"IN"
"43"," Mycoplasmopsis_bovirhinis","BRD",0.0180877049505314,"IN"
"44"," Mycoplasmopsis_bovirhinis","Healthy",0.0141532126224572,"IN"
"45"," Pasteurella_multocida","BRD",0.0388131387319661,"IN"
"46"," Pasteurella_multocida","Healthy",0.0544421161571515,"IN"
"47"," Trueperella","BRD",0.000841527938323,"IN"
"48"," Trueperella","Healthy",0.00117190885184558,"IN"
"49"," Bibersteinia","BRD",9.55628945301387e-05,"TX"
"50"," Bibersteinia","Healthy",5.02895517653567e-06,"TX"
"51"," Histophilus","BRD",0.00844555836026801,"TX"
"52"," Histophilus","Healthy",0.00222076525837465,"TX"
"53"," Mannheimia_haemolytica","BRD",0.000330983529351236,"TX"
"54"," Mannheimia_haemolytica","Healthy",0.00219910539282008,"TX"
"55"," Mesomycoplasma_dispar","BRD",0.00146756170981396,"TX"
"56"," Mesomycoplasma_dispar","Healthy",0.00203036872334068,"TX"
"57"," Mycoplasma","BRD",0.0100985479284749,"TX"
"58"," Mycoplasma","Healthy",0.00288079351454819,"TX"
"59"," Mycoplasmopsis_bovirhinis","BRD",0.0030918432351242,"TX"
"60"," Mycoplasmopsis_bovirhinis","Healthy",0.000656050213624126,"TX"
"61"," Pasteurella_multocida","BRD",0.00790875232805723,"TX"
"62"," Pasteurella_multocida","Healthy",0.00308851538867051,"TX"
"63"," Trueperella","BRD",0.00154899423592658,"TX"
"64"," Trueperella","Healthy",0.0016912319372337,"TX"
