State,Genus,Status,taxa.average,overall.max
CO,Acinetobacter,BRD,0.032244792,0.032244792
CO,Acinetobacter,Healthy,0.061897954,0.061897954
ID,Acinetobacter,BRD,0.028752884,0.028752884
ID,Acinetobacter,Healthy,0.017892772,0.017892772
IN,Acinetobacter,BRD,0.025243134,0.025243134
IN,Acinetobacter,Healthy,0.025407883,0.025407883
TX,Acinetobacter,BRD,0.02393848,0.02393848
TX,Acinetobacter,Healthy,0.043704457,0.043704457
CO,Bergeyella,Healthy,0.004308929,0.004308929
CO,Bergeyella,BRD,0.008373602,0.008373602
ID,Bergeyella,Healthy,0.032100773,0.032100773
ID,Bergeyella,BRD,0.008793672,0.008793672
IN,Bergeyella,Healthy,0.004314493,0.004314493
IN,Bergeyella,BRD,0.011593933,0.011593933
TX,Bergeyella,BRD,0.029468471,0.029468471
TX,Bergeyella,Healthy,0.009042825,0.009042825
CO,Chryseobacterium,BRD,0.059769071,0.059769071
CO,Chryseobacterium,Healthy,0.059644914,0.059644914
ID,Chryseobacterium,BRD,0.030755506,0.030755506
ID,Chryseobacterium,Healthy,0.034784021,0.034784021
IN,Chryseobacterium,BRD,0.000273505,0.000273505
IN,Chryseobacterium,Healthy,0.000913303,0.000913303
TX,Chryseobacterium,BRD,0.080133462,0.080133462
TX,Chryseobacterium,Healthy,0.031467652,0.031467652
CO,Corynebacterium,BRD,0.022139564,0.022139564
CO,Corynebacterium,Healthy,0.027705382,0.027705382
ID,Corynebacterium,BRD,0.023795203,0.023795203
ID,Corynebacterium,Healthy,0.021271386,0.021271386
IN,Corynebacterium,BRD,0.058323272,0.058323272
IN,Corynebacterium,Healthy,0.077321067,0.077321067
TX,Corynebacterium,Healthy,0.037291275,0.037291275
TX,Corynebacterium,BRD,0.018710243,0.018710243
CO,Deinococcus,BRD,0.012996907,0.012996907
CO,Deinococcus,Healthy,0.019051085,0.019051085
ID,Deinococcus,BRD,0.023485136,0.023485136
ID,Deinococcus,Healthy,0.023554947,0.023554947
IN,Deinococcus,BRD,0.000599134,0.000599134
IN,Deinococcus,Healthy,0.000763419,0.000763419
TX,Deinococcus,BRD,0.031215072,0.031215072
TX,Deinococcus,Healthy,0.051047866,0.051047866
CO,Flavobacterium,Healthy,0.048195364,0.048195364
CO,Flavobacterium,BRD,0.016263561,0.016263561
