	pielou_evenness
Beef1	0.5382677308875148
Beef10	0.5762027370387477
Beef100	0.5776107578755448
Beef101	0.5077898335420687
Beef102	0.5334824227089903
Beef103	0.6229672682743687
Beef104	0.6335067649093502
Beef105	0.43858197837653573
Beef106	0.46962792025767996
Beef107	0.46381328579595144
Beef108	0.5705151033744449
Beef109	0.5218427317423869
Beef11	0.5573846738990701
Beef110	0.4978528496770705
Beef111	0.6654188626471308
Beef112	0.5999852484570685
Beef114	0.6515646162843008
Beef115	0.3530959671225236
Beef116	0.49938433168200025
Beef117	0.5562367398800199
Beef118	0.46410172897239943
Beef119	0.448577783393391
Beef12	0.6312638328417964
Beef120	0.5220433122907445
Beef121	0.6316325393031578
Beef122	0.6638223042081411
Beef123	0.6570117411171988
Beef124	0.5599577879370388
Beef125	0.5196788156398954
Beef126	0.6513117749598296
Beef128	0.6337349720012738
Beef129	0.4791999424694605
Beef130	0.5813299158978569
Beef131	0.3644722964589749
Beef132	0.5741701857451479
Beef133	0.5066476034213702
Beef134	0.5697179805737737
Beef135	0.371877980699825
Beef136	0.49434091025897825
Beef137	0.5120177507652861
Beef138	0.5757979426297649
Beef139	0.5249072309617578
Beef14	0.6575120095482375
Beef140	0.5883131253568092
Beef141	0.55292844018198
Beef142	0.5714922523106541
Beef144	0.5801564570729948
Beef145	0.43450573695196576
Beef146	0.5271811276742859
Beef147	0.5095511590601652
Beef148	0.5499287449948377
Beef149	0.5447663361328219
Beef150	0.3226818969788523
Beef151	0.6088842719661871
Beef152	0.5050617255007337
Beef153	0.6811767454010929
Beef154	0.4902618856705791
Beef155	0.5588302460643647
Beef156	0.46952489216774296
Beef159	0.677756491692907
Beef160	0.6223861066975063
Beef161	0.6662362282240135
Beef163	0.6347231833912361
Beef164	0.6224275068617395
Beef165	0.6355444952727402
Beef166	0.6114840533000935
Beef167	0.6532256160292912
Beef168	0.5256432887619715
Beef169	0.5472551853359048
Beef172	0.5171521362633629
Beef174	0.6068514462663137
Beef178	0.6002779265949308
Beef179	0.5659580299289261
Beef180	0.631758502741406
Beef181	0.6428687438323245
Beef183	0.6325924355680689
Beef185	0.48970922812567286
Beef186	0.6062548165333564
Beef188	0.5416443999377282
Beef194	0.6965769265123105
Beef195	0.5764299008476804
Beef197	0.3674811010393209
Beef198	0.6966155676777032
Beef199	0.5877604939267609
Beef2	0.691769267546404
