	observed_features
Beef1	87
Beef10	150
Beef100	93
Beef101	106
Beef102	45
Beef103	105
Beef104	94
Beef105	101
Beef106	100
Beef107	175
Beef108	107
Beef109	168
Beef11	119
Beef110	94
Beef111	138
Beef112	145
Beef114	106
Beef115	89
Beef116	115
Beef117	141
Beef118	282
Beef119	143
Beef12	409
Beef120	77
Beef121	140
Beef122	109
Beef123	102
Beef124	109
Beef125	215
Beef126	132
Beef128	111
Beef129	124
Beef130	159
Beef131	128
Beef132	186
Beef133	132
Beef134	116
Beef135	159
Beef136	95
Beef137	101
Beef138	162
Beef139	206
Beef14	52
Beef140	188
Beef141	147
Beef142	116
Beef144	190
Beef145	62
Beef146	178
Beef147	116
Beef148	205
Beef149	191
Beef150	166
Beef151	121
Beef152	222
Beef153	108
Beef154	81
Beef155	166
Beef156	82
Beef159	77
Beef160	139
Beef161	115
Beef163	133
Beef164	140
Beef165	99
Beef166	166
Beef167	162
Beef168	150
Beef169	153
Beef172	101
Beef174	141
Beef178	135
Beef179	142
Beef180	101
Beef181	141
Beef183	169
Beef185	171
Beef186	111
Beef188	77
Beef194	343
Beef195	271
Beef197	135
Beef198	632
Beef199	337
Beef2	351
Beef200	312
Beef210	335
Beef211	610
Beef215	215
Beef216	163
Beef217	543
Beef218	113
Beef220	464
Beef222	747
Beef224	346
Beef225	289
Beef226	218
Beef227	233
Beef228	116
Beef229	417
Beef230	349
Beef232	443
Beef233	167
Beef24	125
Beef240	477
Beef241	948
Beef242	244
Beef243	482
Beef244	463
Beef245	51
Beef246	530
Beef247	558
Beef248	652
Beef249	66
Beef25	109
Beef250	130
Beef251	416
Beef252	232
Beef253	204
Beef255	216
Beef256	241
Beef257	99
Beef258	236
Beef259	402
Beef26	267
Beef260	347
Beef261	179
Beef262	176
Beef263	470
Beef266	101
Beef267	495
Beef268	170
Beef269	153
Beef27	108
Beef270	233
Beef271	181
Beef272	58
Beef273	206
Beef274	160
Beef275	153
Beef276	86
Beef277	120
Beef278	217
Beef279	389
Beef28	80
Beef280	174
Beef281	234
Beef282	276
Beef283	153
Beef284	53
Beef285	161
Beef286	91
Beef287	225
Beef288	153
Beef289	405
Beef29	192
Beef290	98
Beef291	142
Beef292	281
Beef293	290
Beef296	78
Beef297	325
Beef299	179
Beef3	109
Beef30	87
Beef300	223
Beef301	284
Beef303	595
Beef305	179
Beef306	62
Beef307	178
Beef308	189
Beef309	98
Beef31	85
Beef312	147
Beef313	145
Beef315	138
Beef316	114
Beef317	120
Beef318	121
Beef319	253
Beef32	115
Beef320	506
Beef321	182
Beef322	79
Beef323	160
Beef325	226
Beef326	163
Beef327	172
Beef328	124
Beef329	126
Beef33	152
Beef330	155
Beef331	118
Beef332	141
Beef333	119
Beef334	91
Beef335	661
Beef336	556
Beef337	405
Beef338	614
Beef339	227
Beef34	128
Beef340	558
Beef341	319
Beef342	161
Beef344	153
Beef345	167
Beef347	156
Beef348	190
Beef349	289
Beef35	132
Beef350	553
Beef351	502
Beef352	177
Beef353	230
Beef354	208
Beef355	274
Beef356	580
Beef357	238
Beef358	331
Beef359	228
Beef36	78
Beef360	323
Beef361	134
Beef362	126
Beef364	538
Beef365	797
Beef366	312
Beef367	512
Beef368	491
Beef369	216
Beef37	142
Beef370	175
Beef371	597
Beef372	248
Beef373	133
Beef374	149
Beef377	192
Beef378	203
Beef379	127
Beef38	94
Beef380	115
Beef381	115
Beef382	107
Beef384	209
Beef385	387
Beef386	417
Beef387	73
Beef388	306
Beef389	335
Beef390	614
Beef391	117
Beef394	123
Beef395	117
Beef396	173
Beef397	91
Beef398	338
Beef399	310
Beef40	322
Beef400	186
Beef401	195
Beef402	181
Beef403	261
Beef404	276
Beef405	288
Beef406	816
Beef407	264
Beef408	194
Beef409	265
Beef410	406
Beef411	475
Beef412	408
Beef413	297
Beef414	204
Beef415	482
Beef416	532
Beef417	541
Beef418	456
Beef419	292
Beef42	256
Beef420	232
Beef421	250
Beef422	323
Beef423	204
Beef424	222
Beef425	318
Beef426	320
Beef427	371
Beef428	390
Beef430	219
Beef431	182
Beef432	287
Beef435	853
Beef436	1000
Beef437	1002
Beef438	931
Beef439	648
Beef440	926
Beef441	949
Beef442	1099
Beef443	208
Beef444	1042
Beef445	873
Beef446	1069
Beef447	1073
Beef448	868
Beef449	912
Beef45	151
Beef450	1090
Beef451	984
Beef452	324
Beef453	756
Beef454	862
Beef455	658
Beef456	892
Beef457	868
Beef458	752
Beef459	933
Beef460	1137
Beef461	691
Beef462	884
Beef463	940
Beef464	615
Beef465	778
Beef466	594
Beef467	856
Beef468	728
Beef469	978
Beef47	67
Beef470	1071
Beef471	834
Beef472	727
Beef473	1016
Beef474	625
Beef475	921
Beef476	1099
Beef477	1083
Beef478	863
Beef479	903
Beef48	60
Beef480	522
Beef481	730
Beef482	950
Beef483	713
Beef484	643
Beef485	1122
Beef486	637
Beef487	728
Beef488	555
Beef489	622
Beef49	122
Beef490	777
Beef491	948
Beef492	935
Beef493	688
Beef494	398
Beef495	867
Beef496	583
Beef497	248
Beef498	678
Beef499	285
Beef5	148
Beef50	87
Beef501	391
Beef502	619
Beef503	935
Beef506	819
Beef507	609
Beef508	726
Beef51	132
Beef510	623
Beef511	761
Beef513	893
Beef514	785
Beef515	640
Beef516	763
Beef517	388
Beef518	122
Beef519	800
Beef52	145
Beef520	704
Beef521	869
Beef522	373
Beef523	636
Beef524	1000
Beef525	829
Beef526	880
Beef527	544
Beef528	393
Beef529	814
Beef53	76
Beef530	738
Beef531	901
Beef532	1035
Beef533	1572
Beef534	435
Beef535	821
Beef536	669
Beef537	835
Beef538	631
Beef539	338
Beef540	820
Beef541	573
Beef542	540
Beef543	501
Beef544	630
Beef545	694
Beef546	693
Beef547	573
Beef548	766
Beef549	1015
Beef550	868
Beef551	372
Beef552	961
Beef553	348
Beef554	671
Beef555	768
Beef557	481
Beef558	862
Beef559	1187
Beef56	108
Beef560	562
Beef561	448
Beef562	738
Beef563	291
Beef564	615
Beef565	290
Beef566	447
Beef567	590
Beef57	95
Beef58	34
Beef59	95
Beef6	158
Beef60	78
Beef61	165
Beef63	133
Beef64	201
Beef65	164
Beef66	140
Beef67	109
Beef68	131
Beef69	89
Beef7	114
Beef70	159
Beef71	161
Beef78	96
Beef79	66
Beef8	115
Beef80	134
Beef81	84
Beef82	256
Beef83	115
Beef84	122
Beef86	120
Beef87	181
Beef88	115
Beef89	211
Beef9	89
Beef90	113
Beef91	131
Beef92	118
Beef93	141
Beef94	96
Beef95	279
Beef96	107
Beef97	122
Beef98	112
Beef99	179
