	shannon_entropy
Beef1	3.468028575746967
Beef10	4.165265115020582
Beef100	3.777088476752657
Beef101	3.4163696077069265
Beef102	2.929807094991825
Beef103	4.182755188663889
Beef104	4.152376378737193
Beef105	2.92017156455465
Beef106	3.1201403648950183
Beef107	3.455970708938257
Beef108	3.8461087346420575
Beef109	3.85762711780971
Beef11	3.8430657505949144
Beef110	3.263220738269269
Beef111	4.730146259128643
Beef112	4.307839539271775
Beef114	4.38367490936877
Beef115	2.2865553586347382
Beef116	3.418530474126639
Beef117	3.9712807684642923
Beef118	3.7775798557079123
Beef119	3.211759213633925
Beef12	5.476817890185549
Beef120	3.2715340031234232
Beef121	4.503087135403827
Beef122	4.492871713778841
Beef123	4.383861791403213
Beef124	3.7898975228522285
Beef125	4.026571683424157
Beef126	4.588096837395939
Beef128	4.305858948826395
Beef129	3.3324504718587256
Beef130	4.251197633366326
Beef131	2.5513060752128243
Beef132	4.328760214936067
Beef133	3.569025398128554
Beef134	3.907115083357399
Beef135	2.7195001465053146
Beef136	3.247748401692374
Beef137	3.4091224675181753
Beef138	4.226270530872041
Beef139	4.034699707509835
Beef14	3.7481075743835386
Beef140	4.444463778116179
Beef141	3.980903599451709
Beef142	3.919283005209117
Beef144	4.391700610283422
Beef145	2.5871324558013247
Beef146	3.941065580329224
Beef147	3.4944921648798397
Beef148	4.223166853333861
Beef149	4.127928139956258
Beef150	2.3797917140008624
Beef151	4.212787005061558
Beef152	3.936661126729081
Beef153	4.60127228427423
Beef154	3.1081868172828426
Beef155	4.121395100153995
Beef156	2.9850289194191237
Beef159	4.247355260009705
Beef160	4.430730018061353
Beef161	4.560713471886191
Beef163	4.478151327185588
Beef164	4.437461853948796
Beef165	4.2132511070914935
Beef166	4.509719004728034
Beef167	4.794578039696904
Beef168	3.7997800303362634
Beef169	3.9716431289073095
Beef172	3.443308291998344
Beef174	4.332647063895824
Beef178	4.24805619349234
Beef179	4.046456794244884
Beef180	4.20638171727891
Beef181	4.5897944094429866
Beef183	4.681740347943384
Beef185	3.6325908294148546
Beef186	4.119147344505409
Beef188	3.394369835372521
Beef194	5.866615989708278
Beef195	4.658792370543788
Beef197	2.6005959874564786
Beef198	6.481158507440279
Beef199	4.935192573495251
Beef2	5.849135518055258
Beef200	3.893456392500481
Beef210	4.324284527233854
Beef211	6.420959795667508
Beef215	4.241808447709332
Beef216	3.821843708348628
Beef217	7.3668543665514425
Beef218	3.467039936563507
Beef220	5.967442488170926
Beef222	7.5101765358282995
Beef224	4.996183347735851
Beef225	3.9486755591242146
Beef226	3.8455228135537336
Beef227	4.951086056540345
Beef228	4.40493015625886
Beef229	6.036624246860769
Beef230	5.703939844605702
Beef232	5.504465980473222
Beef233	3.5457927077686415
Beef24	4.39407825305077
Beef240	6.487294976405709
Beef241	6.8788216138039235
Beef242	3.4830379683921495
Beef243	5.610049539389159
Beef244	6.099182230388796
Beef245	2.628730974793721
Beef246	7.17977596354873
Beef247	7.1017460092650655
Beef248	7.5800107345875185
Beef249	3.485538875099052
Beef25	3.7177045817945125
Beef250	3.8999801152307367
Beef251	5.291340478127418
Beef252	4.9078132650838855
Beef253	4.685851987226369
Beef255	4.563482507567416
Beef256	5.0087396722432835
Beef257	4.205536128575841
Beef258	4.631097171676612
Beef259	6.304097501532064
Beef26	4.804726923666502
Beef260	4.939312331577426
