Name,ID,Status,State,Farm,Date of colleciton,RectaTemp,16S copies,copy_log,copies,pre_abs,Bacteria,quality
Beef 1,Beef1,BRD,TX,Cactus,3/3/21,104,896285.11,5.73340997,541265.0305,1,H.somni,Clean
Beef 10,Beef10,BRD,TX,Cactus,3/11/21,104.3,108862294.6,4.359631652,22889.25469,1,H.somni,Clean
Beef 100,Beef100,BRD,CO,Five Rivers,4/9/21,103.5,708908723.9,4.166049766,14657.15788,1,H.somni,Clean
Beef 101,Beef101,Healthy,CO,Five Rivers,4/9/21,101.8,975694806.1,5.827101482,671585.7654,1,H.somni,Clean
Beef 102,Beef102,Healthy,CO,Five Rivers,4/9/21,103.5,366241103.5,3.182607229,1522.675042,1,H.somni,Clean
Beef 103,Beef103,Healthy,CO,Five Rivers,4/9/21,103.5,549487827.8,3.19431769,1564.291516,1,H.somni,Clean
Beef 104,Beef104,Healthy,CO,Five Rivers,4/9/21,104.1,1604281775,6.030850201,1073619.031,1,H.somni,Clean
Beef 105,Beef105,Healthy,CO,Five Rivers,4/9/21,102.9,386423853.3,4.484941536,30545.09895,1,H.somni,Clean
Beef 106,Beef106,Healthy,CO,Five Rivers,4/9/21,103.1,511125813.2,5.909985833,812804.0013,1,H.somni,Clean
Beef 107,Beef107,BRD,CO,Five Rivers,4/9/21,,585885397.9,3.802568459,6346.99942,1,H.somni,Clean
Beef 108,Beef108,Healthy,CO,Five Rivers,4/9/21,102.2,2209141947,3.428811646,2684.180062,1,H.somni,Clean
Beef 109,Beef109,BRD,CO,Five Rivers,4/9/21,104,966761705.2,4.722710889,52809.35812,1,H.somni,Clean
Beef 11,Beef11,Healthy,TX,Cactus,3/9/21,101.5,4334528.83,4.594586581,39317.56208,1,H.somni,Clean
Beef 110,Beef110,BRD,CO,Five Rivers,4/9/21,107.2,515652261.3,4.512033529,32511.23965,1,H.somni,Clean
Beef 111,Beef111,Healthy,CO,Five Rivers,4/9/21,103.5,2125238728,5.958265153,908374.9573,1,H.somni,Clean
Beef 112,Beef112,BRD,CO,Five Rivers,4/9/21,105,780073474.2,7.445111044,27868336.4,1,H.somni,Clean
Beef 114,Beef114,Healthy,CO,Five Rivers,4/9/21,102.6,2403325383,4.302959291,20089.04497,1,H.somni,Clean
Beef 115,Beef115,BRD,CO,Five Rivers,4/9/21,103.6,1460348085,4.863831392,73085.52857,1,H.somni,Clean
Beef 116,Beef116,BRD,CO,Five Rivers,4/9/21,106.2,3057265900,6.627279671,4239158.653,1,H.somni,Clean
Beef 117,Beef117,BRD,CO,Five Rivers,4/9/21,104.9,969457833.3,5.669718045,467431.574,1,H.somni,Clean
Beef 118,Beef118,Healthy,CO,Five Rivers,4/9/21,103.1,1830894588,3.974576879,9431.415512,1,H.somni,Clean
Beef 119,Beef119,BRD,CO,Five Rivers,4/9/21,104.2,640162247.7,4.69749183,49830.10815,1,H.somni,Clean
Beef 12,Beef12,Healthy,TX,Cactus,3/10/21,102,230,2.278753601,190,0,H.somni,Clean
Beef 120,Beef120,BRD,CO,Five Rivers,4/9/21,103.8,2796747653,7.036387896,10873964.12,1,H.somni,Clean
Beef 121,Beef121,Healthy,CO,Five Rivers,4/9/21,102.1,1960800672,5.033612876,108047.0405,1,H.somni,Clean
Beef 122,Beef122,Healthy,CO,Five Rivers,4/9/21,102.2,1217961546,3.407907838,2558.042986,1,H.somni,Clean
Beef 123,Beef123,Healthy,CO,Five Rivers,4/9/21,102,2649194217,5.016378069,103843.2014,1,H.somni,Clean
Beef 124,Beef124,BRD,CO,Five Rivers,4/9/21,104.4,734271056.6,5.626296737,422957.5067,1,H.somni,Clean
Beef 125,Beef125,BRD,CO,Five Rivers,4/9/21,104.1,157883497.2,6.279347887,1902601.729,1,H.somni,Clean
Beef 126,Beef126,BRD,CO,Five Rivers,4/9/21,104,985680021.1,6.590227715,3892491.88,1,H.somni,Clean
Beef 128,Beef128,Healthy,CO,Five Rivers,4/9/21,102.1,942990666.6,3.70040363,5016.5325,1,H.somni,Clean
Beef 129,Beef129,BRD,CO,Five Rivers,4/9/21,102.6,281863098.7,6.784637575,6090284.426,1,H.somni,Clean
Beef 13,Beef13,Healthy,TX,Cactus,3/10/21,101.9,230,2.278753601,190,0,H.somni,Clean
