Name,ID,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,quality,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Beef 1,Beef1,BRD,TX,Farm1,3/3/21,104,896285.11,5.73340997,541265.0305,1,4.983949991,1,96371.80455,4.742105433,1,55221.14824,4.913638224,1,81966.84596,Clean,0.603898274,0.091451755,0.107523603,0.061611141,774824.8293,0.698564385,0.105787583,0.124378828,0.071269203,5.952446666
Beef 10,Beef10,BRD,TX,Farm1,3/11/21,104.3,108862294.6,4.359631652,22889.25469,1,2.826074803,0,670,4.068563009,1,11710.16486,4.470968747,1,29577.99606,Clean,0.000210259,0.000271701,6.15E-06,0.000107569,64847.41561,0.352970962,0.456116806,0.010331946,0.180580286,8.036877488
Beef 100,Beef100,BRD,CO,Farm2,4/9/21,103.5,708908723.9,4.166049766,14657.15788,1,2.826074803,0,670,2.230448921,0,170,3.469360541,1,2946.867036,Clean,2.07E-05,4.16E-06,9.45E-07,2.40E-07,18444.02492,0.794683262,0.159773534,0.036326127,0.009217077,8.850590321
Beef 101,Beef101,Healthy,CO,Farm2,4/9/21,101.8,975694806.1,5.827101482,671585.7654,1,2.826074803,0,670,5.173278486,1,149031.6419,5.980890539,1,956952.8469,Clean,0.000688315,0.000980791,6.87E-07,0.000152744,1778240.254,0.377668745,0.538145981,0.000376777,0.083808496,8.989313994
Beef 102,Beef102,Healthy,CO,Farm2,4/9/21,103.5,366241103.5,3.182607229,1522.675042,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,4.16E-06,5.19E-07,1.83E-06,4.64E-07,2552.675042,0.596501716,0.074431722,0.262469758,0.066596804,8.563767085
Beef 103,Beef103,Healthy,CO,Farm2,4/9/21,103.5,549487827.8,3.19431769,1564.291516,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,2.85E-06,3.46E-07,1.22E-06,3.09E-07,2594.291516,0.602974456,0.073237722,0.258259334,0.065528488,8.739958077
Beef 104,Beef104,Healthy,CO,Farm2,4/9/21,104.1,1604281775,6.030850201,1073619.031,1,4.089532004,1,12289.43748,2.230448921,0,170,4.271902247,1,18702.61125,Clean,0.000669221,1.17E-05,7.66E-06,1.06E-07,1104781.08,0.971793463,0.016928794,0.011123867,0.000153877,9.20528065
Beef 105,Beef105,Healthy,CO,Farm2,4/9/21,102.9,386423853.3,4.484941536,30545.09895,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,7.90E-05,4.92E-07,1.73E-06,4.40E-07,31575.09895,0.967379358,0.0060174,0.021219253,0.005383989,8.587063928
Beef 106,Beef106,Healthy,CO,Farm2,4/9/21,103.1,511125813.2,5.909985833,812804.0013,1,4.659670847,1,45674.1892,4.632547245,1,42908.88651,2.278753601,0,190,Clean,0.001590223,3.72E-07,8.94E-05,8.39E-05,901577.077,0.901535789,0.000210742,0.050660327,0.047593143,8.708527815
Beef 107,Beef107,BRD,CO,Farm2,4/9/21,NA,585885397.9,3.802568459,6346.99942,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,1.08E-05,3.24E-07,1.14E-06,2.90E-07,7376.99942,0.860376836,0.025755729,0.090822835,0.0230446,8.767812675
Beef 108,Beef108,Healthy,CO,Farm2,4/9/21,102.2,2209141947,3.428811646,2684.180062,1,2.826074803,0,670,3.445152033,1,2787.096675,3.995747433,1,9902.558862,Clean,1.22E-06,4.48E-06,3.03E-07,1.26E-06,16043.8356,0.16730289,0.617218919,0.041760587,0.173717604,9.344223622
Beef 109,Beef109,BRD,CO,Farm2,4/9/21,104,966761705.2,4.722710889,52809.35812,1,3.963528848,1,9194.515465,3.51313871,1,3259.40787,4.055437154,1,11361.53876,Clean,5.46E-05,1.18E-05,9.51E-06,3.37E-06,76624.82022,0.689193893,0.148274916,0.119993958,0.042537234,8.98531944
Beef 11,Beef11,Healthy,TX,Farm1,3/9/21,101.5,4334528.83,4.594586581,39317.56208,1,3.646246362,1,4428.395103,2.230448921,0,170,4.910472883,1,81371.60517,Clean,0.009070781,0.018772884,0.001021655,3.92E-05,125287.5624,0.313818557,0.649478716,0.035345848,0.001356879,6.636941996
Beef 110,Beef110,BRD,CO,Farm2,4/9/21,107.2,515652261.3,4.512033529,32511.23965,1,2.826074803,0,670,5.242846248,1,174922.7306,4.542619275,1,34883.43751,Clean,6.30E-05,6.76E-05,1.30E-06,0.000339226,242987.4078,0.133798043,0.14356068,0.002757345,0.719883932,8.712356927
Beef 111,Beef111,Healthy,CO,Farm2,4/9/21,103.5,2125238728,5.958265153,908374.9573,1,2.826074803,0,670,2.230448921,0,170,5.110557417,1,128990.4081,Clean,0.000427423,6.07E-05,3.15E-07,8.00E-08,1038205.365,0.874947277,0.124243635,0.000645344,0.000163744,9.327407722
Beef 112,Beef112,BRD,CO,Farm2,4/9/21,105,780073474.2,7.445111044,27868336.4,1,5.779941788,1,602478.8253,5.471576617,1,296194.2459,3.430203883,1,2692.798664,Clean,0.035725271,3.45E-06,0.000772336,0.0003797,28769702.27,0.968669614,9.36E-05,0.020941434,0.010295353,8.892135511
Beef 114,Beef114,Healthy,CO,Farm2,4/9/21,102.6,2403325383,4.302959291,20089.04497,1,2.826074803,0,670,3.56584156,1,3679.946966,5.485508504,1,305850.0137,Clean,8.36E-06,0.000127261,2.79E-07,1.53E-06,330289.0056,0.060822627,0.92600725,0.002028526,0.011141597,9.380812574
Beef 115,Beef115,BRD,CO,Farm2,4/9/21,103.6,1460348085,4.863831392,73085.52857,1,2.826074803,0,670,4.915034521,1,82230.80104,3.553658608,1,3578.150534,Clean,5.00E-05,2.45E-06,4.59E-07,5.63E-05,159564.4801,0.458031314,0.02242448,0.004198929,0.515345276,9.164456386
Beef 116,Beef116,BRD,CO,Farm2,4/9/21,106.2,3057265900,6.627279671,4239158.653,1,3.600323006,1,3984.033727,3.748720449,1,5606.869519,5.853642305,1,713908.0932,Clean,0.001386585,0.000233512,1.30E-06,1.83E-06,4962657.649,0.854211383,0.143856003,0.000802802,0.001129812,9.485333212
Beef 117,Beef117,BRD,CO,Farm2,4/9/21,104.9,969457833.3,5.669718045,467431.574,1,6.086041929,1,1219107.292,2.230448921,0,170,5.709857559,1,512693.202,Clean,0.000482158,0.000528845,0.001257515,1.75E-07,2199402.068,0.212526659,0.23310572,0.554290327,7.73E-05,8.986528925
Beef 118,Beef118,Healthy,CO,Farm2,4/9/21,103.1,1830894588,3.974576879,9431.415512,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,5.15E-06,1.04E-07,3.66E-07,9.29E-08,10461.41551,0.901542961,0.018161978,0.06404487,0.016250191,9.262663341
Beef 119,Beef119,BRD,CO,Farm2,4/9/21,104.2,640162247.7,4.69749183,49830.10815,1,4.40450228,1,25380.62309,2.230448921,0,170,2.278753601,0,190,Clean,7.78E-05,2.97E-07,3.96E-05,2.66E-07,75570.73124,0.659383697,0.002514201,0.335852554,0.002249548,8.80629006
Beef 12,Beef12,Healthy,TX,Farm1,3/10/21,102,230,2.278753601,190,0,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,0.826086957,0.826086957,2.913043478,0.739130435,1220,0.155737705,0.155737705,0.549180328,0.139344262,2.36361198
Beef 120,Beef120,BRD,CO,Farm2,4/9/21,103.8,2796747653,7.036387896,10873964.12,1,6.628468646,1,4250780.169,5.137440548,1,137227.3093,5.936109424,1,863196.0092,Clean,0.003888075,0.000308643,0.001519901,4.91E-05,16125167.61,0.674347355,0.053530979,0.263611534,0.008510132,9.446653282
Beef 121,Beef121,Healthy,CO,Farm2,4/9/21,102.1,1960800672,5.033612876,108047.0405,1,3.53276666,1,3410.096426,6.191497549,1,1554166.519,5.70376129,1,505546.712,Clean,5.51E-05,0.000257827,1.74E-06,0.000792618,2171170.368,0.049764423,0.232845252,0.001570626,0.715819699,9.292433447
Beef 122,Beef122,Healthy,CO,Farm2,4/9/21,102.2,1217961546,3.407907838,2558.042986,1,2.826074803,0,670,2.230448921,0,170,4.584031738,1,38373.52875,Clean,2.10E-06,3.15E-05,5.50E-07,1.40E-07,41771.57174,0.061238849,0.918651781,0.016039617,0.004069753,9.085633577
Beef 123,Beef123,Healthy,CO,Farm2,4/9/21,102,2649194217,5.016378069,103843.2014,1,3.445008759,1,2786.177359,2.230448921,0,170,2.278753601,0,190,Clean,3.92E-05,7.17E-08,1.05E-06,6.42E-08,106989.3788,0.970593554,0.001775877,0.026041626,0.001588943,9.423113799
Beef 124,Beef124,BRD,CO,Farm2,4/9/21,104.4,734271056.6,5.626296737,422957.5067,1,4.573862333,1,37485.41585,5.110035066,1,128835.3573,4.387607732,1,24412.24566,Clean,0.000576024,3.32E-05,5.11E-05,0.00017546,613690.5255,0.689203253,0.039779408,0.061081953,0.209935386,8.86585641
Beef 125,Beef125,BRD,CO,Farm2,4/9/21,104.1,157883497.2,6.279347887,1902601.729,1,5.686466716,1,485810.2977,4.849682987,1,70742.92081,3.839275206,1,6906.773373,Clean,0.012050669,4.37E-05,0.003077018,0.00044807,2466061.721,0.771514238,0.00280073,0.196998434,0.028686598,8.19833674
Beef 126,Beef126,BRD,CO,Farm2,4/9/21,104,985680021.1,6.590227715,3892491.88,1,5.066833826,1,116636.3245,5.253386818,1,179220.1425,6.314420539,1,2062626.244,Clean,0.003949042,0.002092592,0.000118331,0.000181824,6250974.591,0.6227016,0.329968746,0.018658902,0.028670752,8.993735954
Beef 128,Beef128,Healthy,CO,Farm2,4/9/21,102.1,942990666.6,3.70040363,5016.5325,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,5.32E-06,2.01E-07,7.11E-07,1.80E-07,6046.5325,0.829654434,0.031422968,0.11080731,0.028115288,8.974507395
Beef 129,Beef129,BRD,CO,Farm2,4/9/21,102.6,281863098.7,6.784637575,6090284.426,1,3.759032753,1,5741.597619,3.604841669,1,4025.702422,6.701238224,1,5026182.161,Clean,0.021607243,0.017831998,2.04E-05,1.43E-05,11126233.89,0.547380586,0.451741552,0.000516041,0.000361821,8.450038224
Beef 13,Beef13,Healthy,TX,Farm1,3/10/21,101.9,230,2.278753601,190,0,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,0.826086957,0.826086957,2.913043478,0.739130435,1220,0.155737705,0.155737705,0.549180328,0.139344262,2.36361198
Beef 130,Beef130,BRD,CO,Farm2,4/9/21,104,443703812.4,5.33466428,216104.7335,1,2.826074803,0,670,4.325816657,1,21174.67033,4.558644241,1,36194.63828,Clean,0.000487047,8.16E-05,1.51E-06,4.77E-05,274144.0421,0.788289003,0.132027813,0.002443971,0.077239214,8.647093161
