"","Name","ID","Status","State","Farm","Date.of.colleciton","RectaTemp","X16S.copies","Hscopy_log","HScopies","HSpre_abs","MBcopy_log","MBpre_abs","MBcopies","MHcopy_log","MHpre_abs","MHcopies","PMcopy_log","PMpre_abs","PMcopies","quality","HSRel","PMRel","MBRel","MHRel","BactABund","HSRelBact","PMRelBact","MBRelBact","MHRelBact","X16S_log"
"1","Beef 1","Beef1","BRD","TX","Cactus","3/3/21",104,896285.11,5.73340997,541265.0305,1,4.983949991,1,96371.80455,4.742105433,1,55221.14824,4.913638224,1,81966.84596,"Clean",0.60389827350808,0.0914517546319608,0.107523603231565,0.0616111409459876,774824.82925,0.6985643852223,0.105787583032594,0.12437882849377,0.0712692032513361,5.95244666609045
"2","Beef 10","Beef10","BRD","TX","Cactus","3/11/21",104.3,108862294.6,4.359631652,22889.25469,1,2.826074803,0,670,4.068563009,1,11710.16486,4.470968747,1,29577.99606,"Clean",0.00021025879322224,0.000271701016120232,6.15456437384336e-06,0.000107568602177893,64847.41561,0.352970962291831,0.4561168056085,0.0103319460567166,0.180580286042952,8.03687748812822
"3","Beef 100","Beef100","BRD","CO","Five Rivers","4/9/21",103.5,708908723.9,4.166049766,14657.15788,1,2.826074803,0,670,2.230448921,0,170,3.469360541,1,2946.867036,"Clean",2.06756630097101e-05,4.15690615258346e-06,9.45114621123652e-07,2.39805202374658e-07,18444.024916,0.794683261747552,0.159773533673966,0.0363261274614079,0.00921707711707366,8.85059032146786
"4","Beef 101","Beef101","Healthy","CO","Five Rivers","4/9/21",101.8,975694806.1,5.827101482,671585.7654,1,2.826074803,0,670,5.173278486,1,149031.6419,5.980890539,1,956952.8469,"Clean",0.000688315404777473,0.00098079116637413,6.86690136927234e-07,0.000152744117287763,1778240.2542,0.377668745161848,0.538145981477917,0.000376776984109732,0.0838084963761248,8.9893139935686
"5","Beef 102","Beef102","Healthy","CO","Five Rivers","4/9/21",103.5,366241103.5,3.182607229,1522.675042,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,"Clean",4.15757550817886e-06,5.18783932726983e-07,1.82939597330041e-06,4.6417509770309e-07,2552.675042,0.596501715630438,0.0744317223594338,0.262469757793793,0.0665968042163355,8.56376708506597
"6","Beef 103","Beef103","Healthy","CO","Five Rivers","4/9/21",103.5,549487827.8,3.19431769,1564.291516,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,"Clean",2.84681741224915e-06,3.45776540238768e-07,1.21931727347355e-06,3.09379009687319e-07,2594.291516,0.602974456167477,0.073237721677844,0.25825933433766,0.0655284878170183,8.73995807720803
"7","Beef 104","Beef104","Healthy","CO","Five Rivers","4/9/21",104.1,1604281775,6.030850201,1073619.031,1,4.089532004,1,12289.43748,2.230448921,0,170,4.271902247,1,18702.61125,"Clean",0.000669220985820898,1.16579341244464e-05,7.66039836112955e-06,1.05966422263944e-07,1104781.07973,0.971793462703384,0.0169287939422087,0.0111238667148458,0.00015387663956152,9.20528065011675
"8","Beef 105","Beef105","Healthy","CO","Five Rivers","4/9/21",102.9,386423853.3,4.484941536,30545.09895,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,"Clean",7.90455834678671e-05,4.91688073542638e-07,1.7338474172293e-06,4.3993143422236e-07,31575.09895,0.967379357967143,0.00601739998664359,0.02121925258448,0.00538398946173374,8.58706392796885
"9","Beef 106","Beef106","Healthy","CO","Five Rivers","4/9/21",103.1,511125813.2,5.909985833,812804.0013,1,4.659670847,1,45674.1892,4.632547245,1,42908.88651,2.278753601,0,190,"Clean",0.00159022295550148,3.71728437682435e-07,8.93599736511997e-05,8.39497544476589e-05,901577.07701,0.901535788815297,0.000210741826566973,0.0506603266261764,0.0475931427319597,8.70852781537415
"10","Beef 107","Beef107","BRD","CO","Five Rivers","4/9/21",NA,585885397.9,3.802568459,6346.99942,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,"Clean",1.08331756393822e-05,3.24295503320309e-07,1.14356835381372e-06,2.9015913454975e-07,7376.99942,0.860376835979201,0.0257557292853901,0.090822834848481,0.023044599886928,8.7678126749043
"11","Beef 108","Beef108","Healthy","CO","Five Rivers","4/9/21",102.2,2209141947,3.428811646,2684.180062,1,2.826074803,0,670,3.445152033,1,2787.096675,3.995747433,1,9902.558862,"Clean",1.21503286180641e-06,4.48253625143808e-06,3.03285174096601e-07,1.26161955268871e-06,16043.835599,0.167302889975219,0.617218918811236,0.0417605874770844,0.17371760373646,9.34422362227818
"12","Beef 109","Beef109","BRD","CO","Five Rivers","4/9/21",104,966761705.2,4.722710889,52809.35812,1,3.963528848,1,9194.515465,3.51313871,1,3259.40787,4.055437154,1,11361.53876,"Clean",5.46249999725372e-05,1.17521605364474e-05,9.51063267767508e-06,3.37146977633512e-06,76624.820215,0.689193892681553,0.148274915727318,0.119993958083051,0.0425372335080786,8.98531943950619
