ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp
#q2:types,categorical,categorical,categorical,categorical,categorical,numeric
Dairy317,Dairy 317,CA,Gold Star Cattle,NA,Healthy,104.8
Dairy318,Dairy 318,CA,Gold Star Cattle,NA,Healthy,102.1
Dairy320,Dairy 320,CA,Gold Star Cattle,NA,Healthy,102.3
Dairy321,Dairy 321,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy322,Dairy 322,CA,Gold Star Cattle,NA,Healthy,101.7
Dairy323,Dairy 323,CA,Gold Star Cattle,NA,Healthy,103
Dairy324,Dairy 324,CA,Gold Star Cattle,NA,Healthy,102.1
Dairy325,Dairy 325,CA,Gold Star Cattle,NA,Healthy,102.4
Dairy326,Dairy 326,CA,Gold Star Cattle,NA,Healthy,101.7
Dairy327,Dairy 327,CA,Gold Star Cattle,NA,Healthy,101.7
Dairy328,Dairy 328,CA,Gold Star Cattle,NA,Healthy,102.7
Dairy329,Dairy 329,CA,Gold Star Cattle,NA,Healthy,103.2
Dairy330,Dairy 330,CA,Gold Star Cattle,NA,Healthy,101.5
Dairy331,Dairy 331,CA,Gold Star Cattle,NA,Healthy,105.1
Dairy332,Dairy 332,CA,Gold Star Cattle,NA,Healthy,101.4
Dairy333,Dairy 333,CA,Gold Star Cattle,NA,Healthy,102.3
Dairy334,Dairy 334,CA,Gold Star Cattle,NA,Healthy,102.1
Dairy335,Dairy 335,CA,Gold Star Cattle,NA,Healthy,102.9
Dairy336,Dairy 336,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy337,Dairy 337,CA,Gold Star Cattle,NA,Healthy,103
Dairy338,Dairy 338,CA,Gold Star Cattle,NA,Healthy,102.8
Dairy340,Dairy 340,CA,Gold Star Cattle,NA,Healthy,102.5
Dairy341,Dairy 341,CA,Gold Star Cattle,NA,Healthy,102
Dairy342,Dairy 342,CA,Gold Star Cattle,NA,Healthy,101.9
Dairy343,Dairy 343,CA,Gold Star Cattle,NA,Healthy,101.9
Dairy344,Dairy 344,CA,Gold Star Cattle,NA,Healthy,102.6
Dairy345,Dairy 345,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy346,Dairy 346,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy347,Dairy 347,CA,Gold Star Cattle,NA,Healthy,102.3
Dairy348,Dairy 348,CA,Gold Star Cattle,NA,Healthy,102.7
Dairy349,Dairy 349,CA,Gold Star Cattle,NA,Healthy,103.8
Dairy351,Dairy 351,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy352,Dairy 352,CA,Gold Star Cattle,NA,Healthy,102.7
Dairy355,Dairy 355,CA,Gold Star Cattle,NA,Healthy,101.8
Dairy356,Dairy 356,CA,Gold Star Cattle,NA,Healthy,101.9
Dairy357,Dairy 357,CA,Gold Star Cattle,NA,Healthy,101.7
Dairy358,Dairy 358,CA,Gold Star Cattle,NA,Healthy,102.2
Dairy359,Dairy 359,CA,Gold Star Cattle,NA,Healthy,100.9
Dairy360,Dairy 360,CA,Gold Star Cattle,NA,Healthy,101.4
Dairy361,Dairy 361,CA,Gold Star Cattle,NA,Healthy,102
Dairy362,Dairy 362,CA,Gold Star Cattle,NA,Healthy,102.8
Dairy363,Dairy 363,CA,Gold Star Cattle,NA,Healthy,101.2
Dairy364,Dairy 364,CA,Gold Star Cattle,NA,Healthy,102.8
Dairy365,Dairy 365,CA,Gold Star Cattle,NA,Healthy,102.3
Dairy366,Dairy 366,CA,Gold Star Cattle,NA,Healthy,102.3
Dairy367,Dairy 367,CA,Gold Star Cattle,NA,Healthy,101.8
Dairy368,Dairy 368,CA,Gold Star Cattle,NA,BRD,101.2
Dairy369,Dairy 369,CA,Gold Star Cattle,NA,BRD,101.2
Dairy370,Dairy 370,CA,Gold Star Cattle,NA,BRD,101.2
Dairy372,Dairy 372,CA,Gold Star Cattle,NA,BRD,100.8
Dairy373,Dairy 373,CA,Gold Star Cattle,NA,BRD,101.2
Dairy374,Dairy 374,CA,Gold Star Cattle,NA,BRD,102.9
Dairy375,Dairy 375,CA,Gold Star Cattle,NA,BRD,101.6
Dairy376,Dairy 376,CA,Gold Star Cattle,NA,BRD,101.8
Dairy377,Dairy 377,CA,Gold Star Cattle,NA,BRD,102.2
Dairy378,Dairy 378,CA,Gold Star Cattle,NA,BRD,101.5
Dairy379,Dairy 379,CA,Gold Star Cattle,NA,BRD,102.2
Dairy381,Dairy 381,CA,Gold Star Cattle,NA,BRD,102.2
Dairy382,Dairy 382,CA,Gold Star Cattle,NA,BRD,105
Dairy383,Dairy 383,CA,Gold Star Cattle,NA,Healthy,102.1
Dairy384,Dairy 384,CA,Gold Star Cattle,NA,BRD,102.2
Dairy385,Dairy 385,CA,Gold Star Cattle,NA,BRD,102.4
Dairy386,Dairy 386,CA,Gold Star Cattle,NA,BRD,104.3
Dairy387,Dairy 387,CA,Gold Star Cattle,NA,BRD,102.1
Dairy388,Dairy 388,CA,Gold Star Cattle,NA,BRD,101.3
Dairy389,Dairy 389,CA,Gold Star Cattle,NA,BRD,102.2
Dairy390,Dairy 390,CA,Gold Star Cattle,NA,BRD,101.7
Dairy391,Dairy 391,CA,Gold Star Cattle,NA,BRD,102.5
Dairy392,Dairy 392,CA,Gold Star Cattle,NA,BRD,102
Dairy393,Dairy 393,CA,Gold Star Cattle,NA,BRD,102.3
Dairy394,Dairy 394,CA,Gold Star Cattle,NA,BRD,102.1
Dairy395,Dairy 395,CA,Gold Star Cattle,NA,BRD,101.7
Dairy396,Dairy 396,CA,Gold Star Cattle,NA,BRD,102.2
Dairy398,Dairy 398,CA,Gold Star Cattle,NA,BRD,103
Dairy401,Dairy 401,CA,Gold Star Cattle,NA,BRD,102.2
Dairy402,Dairy 402,CA,Gold Star Cattle,NA,BRD,101.9
Dairy403,Dairy 403,CA,Gold Star Cattle,NA,BRD,101.8
Dairy404,Dairy 404,CA,Gold Star Cattle,NA,BRD,101.7
Dairy405,Dairy 405,CA,Gold Star Cattle,NA,BRD,97.8
Dairy406,Dairy 406,CA,Gold Star Cattle,NA,BRD,102.1
Dairy407,Dairy 407,CA,Gold Star Cattle,NA,BRD,102.7
Dairy408,Dairy 408,CA,Gold Star Cattle,NA,BRD,102.6
Dairy409,Dairy 409,CA,Gold Star Cattle,NA,BRD,101.9
Dairy410,Dairy 410,CA,Gold Star Cattle,NA,BRD,101.5
Dairy411,Dairy 411,CA,Gold Star Cattle,NA,BRD,102.7
Dairy412,Dairy 412,CA,Gold Star Cattle,NA,BRD,101.9
Dairy413,Dairy 413,CA,Gold Star Cattle,NA,BRD,102.4
Dairy414,Dairy 414,CA,Gold Star Cattle,NA,BRD,103.8
Dairy415,Dairy 415,CA,Gold Star Cattle,NA,BRD,102.6
