# Constructed from biom file																																																																																																																																																																																																																																																																																																																																																																																																																
#OTU ID	Dairy1	Dairy10	Dairy100	Dairy101	Dairy102	Dairy103	Dairy104	Dairy105	Dairy106	Dairy107	Dairy108	Dairy109	Dairy11	Dairy110	Dairy111	Dairy112	Dairy113	Dairy114	Dairy115	Dairy116	Dairy117	Dairy118	Dairy119	Dairy12	Dairy120	Dairy121	Dairy122	Dairy123	Dairy124	Dairy125	Dairy126	Dairy127	Dairy128	Dairy129	Dairy13	Dairy130	Dairy131	Dairy132	Dairy133	Dairy134	Dairy135	Dairy136	Dairy137	Dairy138	Dairy139	Dairy14	Dairy140	Dairy141	Dairy142	Dairy143	Dairy144	Dairy145	Dairy146	Dairy147	Dairy148	Dairy149	Dairy15	Dairy150	Dairy151	Dairy152	Dairy153	Dairy154	Dairy155	Dairy156	Dairy157	Dairy158	Dairy159	Dairy16	Dairy160	Dairy161	Dairy162	Dairy163	Dairy164	Dairy165	Dairy166	Dairy167	Dairy168	Dairy169	Dairy17	Dairy170	Dairy171	Dairy172	Dairy173	Dairy174	Dairy177	Dairy178	Dairy179	Dairy18	Dairy180	Dairy181	Dairy182	Dairy183	Dairy184	Dairy185	Dairy186	Dairy187	Dairy188	Dairy189	Dairy19	Dairy190	Dairy191	Dairy192	Dairy193	Dairy194	Dairy195	Dairy196	Dairy197	Dairy198	Dairy199	Dairy20	Dairy200	Dairy201	Dairy202	Dairy203	Dairy204	Dairy205	Dairy206	Dairy207	Dairy208	Dairy209	Dairy21	Dairy210	Dairy211	Dairy212	Dairy213	Dairy214	Dairy215	Dairy216	Dairy217	Dairy218	Dairy219	Dairy22	Dairy220	Dairy221	Dairy222	Dairy223	Dairy224	Dairy225	Dairy226	Dairy227	Dairy228	Dairy229	Dairy23	Dairy231	Dairy232	Dairy233	Dairy234	Dairy235	Dairy236	Dairy237	Dairy238	Dairy239	Dairy24	Dairy240	Dairy241	Dairy242	Dairy243	Dairy244	Dairy245	Dairy246	Dairy247	Dairy248	Dairy249	Dairy25	Dairy250	Dairy251	Dairy252	Dairy253	Dairy254	Dairy255	Dairy256	Dairy257	Dairy258	Dairy259	Dairy26	Dairy260	Dairy27	Dairy28	Dairy285	Dairy286	Dairy287	Dairy288	Dairy289	Dairy29	Dairy290	Dairy291	Dairy292	Dairy293	Dairy294	Dairy295	Dairy296	Dairy298	Dairy299	Dairy3	Dairy30	Dairy300	Dairy302	Dairy303	Dairy304	Dairy305	Dairy306	Dairy307	Dairy308	Dairy309	Dairy31	Dairy310	Dairy311	Dairy312	Dairy313	Dairy314	Dairy315	Dairy317	Dairy318	Dairy320	Dairy321	Dairy322	Dairy323	Dairy324	Dairy325	Dairy326	Dairy327	Dairy328	Dairy329	Dairy33	Dairy330	Dairy331	Dairy332	Dairy333	Dairy334	Dairy335	Dairy336	Dairy337	Dairy338	Dairy34	Dairy340	Dairy341	Dairy342	Dairy343	Dairy344	Dairy345	Dairy346	Dairy347	Dairy348	Dairy349	Dairy35	Dairy351	Dairy352	Dairy355	Dairy356	Dairy357	Dairy358	Dairy359	Dairy36	Dairy360	Dairy361	Dairy362	Dairy363	Dairy364	Dairy365	Dairy366	Dairy367	Dairy368	Dairy369	Dairy37	Dairy370	Dairy372	Dairy373	Dairy374	Dairy375	Dairy376	Dairy377	Dairy378	Dairy379	Dairy38	Dairy381	Dairy382	Dairy383	Dairy384	Dairy385	Dairy386	Dairy387	Dairy388	Dairy389	Dairy39	Dairy390	Dairy391	Dairy392	Dairy393	Dairy394	Dairy395	Dairy396	Dairy398	Dairy4	Dairy40	Dairy401	Dairy402	Dairy403	Dairy404	Dairy405	Dairy406	Dairy407	Dairy408	Dairy409	Dairy41	Dairy410	Dairy411	Dairy412	Dairy413	Dairy414	Dairy415	Dairy416	Dairy417	Dairy418	Dairy419	Dairy42	Dairy420	Dairy421	Dairy43	Dairy44	Dairy45	Dairy46	Dairy47	Dairy48	Dairy49	Dairy5	Dairy50	Dairy51	Dairy52	Dairy53	Dairy54	Dairy55	Dairy56	Dairy57	Dairy58	Dairy59	Dairy6	Dairy60	Dairy61	Dairy62	Dairy63	Dairy65	Dairy66	Dairy67	Dairy68	Dairy69	Dairy7	Dairy70	Dairy71	Dairy72	Dairy73	Dairy74	Dairy75	Dairy77	Dairy78	Dairy79	Dairy8	Dairy80	Dairy81	Dairy82	Dairy83	Dairy84	Dairy85	Dairy86	Dairy87	Dairy88	Dairy89	Dairy9	Dairy90	Dairy91	Dairy92	Dairy93	Dairy94	Dairy95	Dairy96	Dairy97	Dairy98	Dairy99	Dairy261	Dairy262	Dairy263	Dairy264	Dairy265	Dairy266	Dairy268	Dairy269	Dairy270	Dairy271	Dairy272	Dairy273	Dairy274	Dairy275	Dairy276	Dairy277	Dairy278	Dairy279	Dairy280	Dairy281	Dairy282	Dairy283	Dairy284
ASV7449	0	0	8	4333	6864	18726	15411	25987	688	875	9688	2540	0	150	768	8727	12519	20625	6713	5831	6982	4644	2418	3	15408	562	5833	855	1796	10590	1767	5036	24256	25179	29	13011	18199	13007	11487	9128	35922	13595	19045	6720	48867	0	24763	812	3348	0	21586	5665	10971	1798	16	112	403	13568	2792	0	628	2605	1735	18404	3518	1708	8433	0	306	5234	14048	2123	15	2667	2271	41720	1426	4943	0	6845	5606	10333	23	39508	593	962	241	8	65	527	13044	3600	6789	8568	2649	4731	4170	983	0	6615	16174	7748	8166	2169	1324	1777	6300	6090	5077	163	3774	6022	10218	9067	58	79	56	971	515	2982	0	905	0	54	577	351	276	0	0	0	9	28	739	980	0	305	184	344	130	0	0	0	5	102	9	0	0	0	0	717	272	158	0	25	147	52	434	0	0	0	0	86	241	0	369	90	9	146	147	0	0	11	140	0	0	0	0	0	0	23	198	10	4	0	6	0	13	0	0	0	0	0	0	42	43	0	27	15	20	3	297	0	0	4	66	0	6	0	0	0	4	5	13483	0	1328	0	0	0	0	0	0	0	0	0	0	379	1778	19017	0	0	0	0	1035	115	0	297	479	50	0	0	623	0	7	891	105	0	0	14	729	350	0	10	158	9200	7	4932	0	6	0	0	0	0	0	11	2830	0	0	0	0	0	0	288	332	227	0	0	812	0	0	4276	0	684	0	0	0	0	0	0	0	0	0	3222	19	712	959	820	0	520	0	7020	0	0	222	10	118	0	29	5464	0	0	4923	4882	9402	1177	0	0	0	0	524	36	47	8	136	0	0	0	142	113	10	1981	27	13	28	174	7	16	67	54	11	238	51	1312	394	7	20	0	95	99	55	12	99	68	5	74	0	0	0	0	219	38	862	682	91	0	13	0	0	52	46	10	133	13	677	15	9	14	0	160	96	0	18	317	48	186	534	92	5	0	7	0	0	4	3	45	0	184	0	0	76	26
ASV308	8109	0	210	3647	596	2376	1941	1465	119	6638	2060	46	0	1775	2188	747	2217	2192	5607	1116	3931	2626	422	2082	1724	4456	1561	1819	5717	3024	22260	7170	8245	688	10573	2469	10332	15013	1802	4330	3388	5024	1355	6402	1946	28	3621	600	10554	136	4374	70	9284	2330	0	8540	6356	17198	195	833	451	1810	5059	3552	3216	286	171	87	570	668	9178	26646	118	27349	1937	4736	2026	7489	127	2722	38871	17799	13	5865	431	9149	42	22	364	432	3664	6690	4367	4372	3492	3086	3115	18434	20	11020	1999	2363	2231	10297	1373	7229	7115	2455	3104	490	2117	4958	5364	5373	0	10	0	1083	99	1016	41	240	0	0	18	223	0	0	0	0	0	85	496	245	0	0	0	38	0	13	0	0	277	0	0	0	0	0	0	31	0	0	213	0	0	0	0	0	0	0	0	0	0	43	0	133	0	0	0	0	0	0	0	0	717	0	147	57	167	0	22	90	0	0	0	0	0	0	29	14	0	0	459	15864	9013	0	468	16	405	27	520	0	212	99	740	12	0	93	0	6	110	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11508	0	0	0	0	0	0	0	0	0	0	2074	0	0	0	0	0	0	0	16248	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	13121	0	0	0	0	0	0	0	0	2514	5310	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	12	0	0	2807	5637	2984	312	286	4375	118	0	873	1380	1840	43	12781	556	2850	2849	148	701	3147	2162	527	85	1712	3778	13296	5623	26	146	10570	716	688	1228	405	1669	139	212	695	99	133	80	261	4916	6709	7621	26467	4197	116	4844	86	3358	1876	9430	2930	1631	1362	89	4159	696	209	353	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	17	0	8	0	0	0	0
ASV11665	19	0	22879	2534	0	29	0	0	17	0	0	0	0	49	4	0	9	0	0	0	0	0	588	3007	0	14	0	0	0	0	0	8	0	0	659	18	4	3	36	0	0	0	3	0	0	2197	0	0	0	10	0	0	0	0	0	0	3825	0	0	0	0	0	0	0	0	0	0	6	26	19	0	0	0	0	282	35	0	0	0	0	0	3	0	0	1338	534	529	528	170	1100	0	736	585	56	209	1926	35	289	4599	0	0	0	0	0	3675	3256	65	0	0	13	0	105	0	0	8090	0	396	2092	472	374	7484	0	0	0	1552	377	1408	67	13407	0	0	3979	827	94	72	677	202	982	345	0	0	0	0	224	179	0	233	0	0	1155	413	38	0	59	239	545	774	93	0	324	0	170	564	14	413	481	192	359	411	147	9	0	0	0	2599	0	23	11426	270	3307	2147	2630	8819	0	6	12914	2553	0	0	0	0	0	0	131	0	148	0	940	3213	0	0	283	0	1083	15516	0	2230	5562	0	0	1289	328	14668	51	51	0	13	3561	86	3	3538	5	11701	0	475	135	22739	8	2609	99	2432	181	278	238	697	0	786	10435	897	493	139	6568	30	873	14707	18	195	208	5	1246	4929	240	0	0	710	19	8380	364	33	307	263	9	119	0	4876	444	105	936	7715	0	156	170	3931	86	2977	70	46	413	67	4169	0	2900	8584	31	1277	622	512	32	0	16	2063	326	65	141	382	2342	10050	8634	66	72	108	11912	6177	0	440	2159	8719	2661	3330	2781	5744	3230	79	760	2769	2842	0	0	9111	5	0	0	8760	27	0	1526	0	122	0	191	0	0	0	0	505	0	0	0	6	0	0	0	0	0	22	46	0	8	0	431	23	0	2582	3108	16588	1491	1711	0	13045	0	48	0	0	0	0	470	209	5913	0	14367	17	2905	1465	0	10	0	0	1108	136	0	106	742	50	609	1107	238	3954	107	8132	100	4933	10709	12434	21204	2640	174886	7922	8384	12	87
ASV3128	0	0	0	706	0	17	0	72	4315	0	0	0	0	8	1312	0	58	157	0	0	0	5633	0	7	457	1236	3	0	0	0	0	2266	0	0	0	6	0	0	1378	10	84	0	3126	0	326	188	3681	4	327	0	38	0	0	307	0	0	0	0	0	0	4158	34710	0	8550	3	49	0	81	0	20	0	0	15240	0	916	2540	40674	0	0	68	4	0	0	0	562	374	0	9	0	358	0	39	116	36	91	0	0	78	0	0	0	0	0	0	20	101	58	68	102	9593	31	140	8	0	481	0	0	155	45	1272	5405	23	0	0	479	193	0	26	0	0	0	10	180	0	0	413	109	328	171	2240	0	0	917	110	101	0	1497	0	0	607	259	64	2571	4132	0	111	324	0	120	0	755	0	4215	0	3817	0	2646	538	190	79	72	196	1122	0	29	924	0	0	0	0	0	0	0	6	0	3492	0	0	0	0	0	0	0	0	0	0	0	0	0	9589	390	10377	0	0	0	3685	0	1192	0	0	10	0	0	0	3	0	3405	0	0	0	0	0	17067	0	0	0	0	0	5952	13888	5	0	0	0	9726	67	0	84	17592	10	0	0	0	2162	0	38	1126	4233	0	0	24	0	0	0	43707	0	0	0	0	41	0	7	3769	0	6	0	0	15899	14390	0	0	0	12525	0	8022	0	10146	9903	0	7	30	23419	0	0	0	8235	0	0	7	9	0	14672	0	30	0	0	33647	8	0	11835	91	0	8	0	0	21	163	0	0	0	0	0	0	5725	5564	0	0	0	0	0	6550	1257	262	4605	0	64	55	3423	0	20	509	1606	46	4199	2930	0	0	0	1051	483	7214	1203	142	735	47	7	10182	8005	1803	30	1252	2444	19	14170	2038	1947	686	4639	2349	0	12	0	12	0	0	16160	44	0	0	0	16	0	462	0	0	0	355	0	64	510	480	415	219	1225	678	454	0	1779	20	0	0	0	0	0	0	0	0	0	0	0
ASV3981	0	4	16730	1286	0	12	0	1012	3290	0	0	4491	3	0	16	0	0	0	1494	0	0	13337	0	631	0	927	0	88	0	0	0	492	2149	0	395	0	0	0	22	0	0	0	0	0	662	1292	468	1663	0	0	0	1031	0	508	0	0	2424	0	0	0	3407	0	6459	0	0	0	0	40	0	0	0	0	0	0	28	0	0	523	36	250	0	0	0	0	1136	305	112	1480	311	931	0	285	443	0	269	0	0	95	4067	0	0	0	0	0	783	106	0	0	0	371	0	124	0	0	0	0	0	780	491	384	12798	303	183	285	1249	729	393	0	0	0	0	5565	828	0	21	802	304	503	604	0	0	0	21	126	4583	0	170	99	1777	1090	829	703	16379	118	549	1062	866	0	834	166	1211	2892	10595	15535	913	372	6059	2621	603	17983	2047	3441	253	653	924	0	14168	11724	0	0	0	0	0	5598	0	0	0	0	0	0	0	132	0	10379	76	0	423	0	0	0	0	1371	0	0	15710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	7259	32	0	0	0	0	0	0	0	0	0	1468	0	0	0	0	0	0	0	0	0	0	519	0	0	11149	7535	6419	18042	390	1474	15	0	419	6120	577	3098	2186	17	651	188	240	38	0	18	1175	2476	0	0	18	5838	4110	6211	0	122	33	3956	2103	3522	943	375	1552	13144	7260	1560	2927	10479	0	5701	780	0	1421	2596	317	39	5219	355	2756	3146	8925	1123	0	22810	9136	41343	955	243	177	7899	993	4531	392	1194	221	0	0	0	0	0	7469	3971	889	1257	0	0	0	0	0
ASV10586	5132	0	46	1993	3293	2518	534	1798	301	6749	26233	162	0	75	2179	1154	3247	10038	6423	828	7173	1323	377	371	7164	9466	101	1642	2546	2083	340	1973	7746	1189	2873	4195	510	902	889	1894	5045	782	2376	1333	689	29	2302	157	1617	0	25611	510	1591	401	0	0	6935	2185	15	0	302	5293	905	1687	752	381	4111	182	46	271	5788	779	139	3966	2272	21094	1448	2461	249	5325	2089	7662	0	7327	126	169	5	100	91	65	1881	826	1098	1312	997	1499	897	178	15	2049	714	476	655	1530	3056	406	3072	1238	1184	280	808	1085	2013	1408	0	0	59	2447	50	512	90	20	0	23	127	76	126	0	0	0	0	151	214	57	0	92	0	26	38	20	0	0	113	0	47	0	0	0	20	81	9	0	41	20	0	56	116	0	0	0	0	0	0	125	69	25	0	58	125	0	0	0	10	0	90	0	71	216	1380	1893	326	5807	56	22	718	232	195	70	1220	541	65	1263	4915	5309	2797	726	3654	532	1224	13097	43995	120	2138	1208	1441	2296	81	1667	1146	1758	1580	0	0	0	96	0	0	0	0	0	0	0	1417	8	0	0	0	0	9	0	0	0	8	8941	0	0	0	8	0	6	5778	6	0	778	2363	279	126	0	0	0	7	0	11820	0	0	0	0	0	0	0	124	4	11	0	0	0	0	1867	220	0	0	0	177	4980	152	0	0	13	0	0	0	305	0	79	0	0	0	19	0	0	425	1011	1231	7036	0	0	0	0	0	50	0	0	0	9	277	0	0	0	0	0	0	0	0	6455	0	5179	86	147	442	355	56	45	219	16	0	33	93	78	0	6411	68	179	139	183	48	1859	795	86	30	185	984	1447	858	10	61	4818	237	92	399	152	451	16	10	12	41	332	0	8	527	368	1351	1927	284	50	324	15	1140	99	573	33	593	83	92	222	19	0	156	0	24	0	0	32	0	0	106	13	31	5	112	51	0	92	4	437	11	683	815	27	1528	30
ASV8609	0	0	0	241	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	2852	5	0	0	0	0	0	0	0	0	0	0	0	21	0	0	44	0	714	0	0	0	0	334	0	0	0	0	0	0	84	611	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	56	13	738	0	112	15	15	28	38	50	0	0	33	0	0	0	0	0	0	0	0	39	309	1088	0	47	295	364	233	15	9413	0	0	68	720	0	2366	0	316	956	4371	426	6995	1861	0	0	0	134	100	7714	209	6520	123	54	0	0	0	0	1097	3633	1240	0	0	253	1216	33	62	0	64	0	75	116	0	0	109	0	0	113	0	90	42	26	1044	71	96	243	16	289	60	0	1781	0	0	0	0	0	0	6270	0	40863	0	0	580	84	3391	9129	813	441	0	0	0	0	0	10	0	0	108	0	0	0	0	2940	171	15	43	0	0	0	0	314	0	0	0	0	0	38772	0	13235	0	0	0	0	0	5943	25914	20785	0	0	0	3447	11	0	72	213	66835	14721	0	0	0	0	0	166	11757	0	54	49583	0	0	0	0	0	0	0	0	0	0	0	3478	0	0	0	0	6349	0	0	0	0	0	0	12160	0	0	2366	0	17740	0	12	0	0	0	10621	0	19459	0	0	1237	84	0	0	0	0	0	0	0	41	0	0	0	1338	0	0	217	0	0	0	0	0	0	2357	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1604	0	0	0	0	0	0	0	767	0	0	0	0	43	9	0	0	0	4894	0	0	28	0	19	0	536	0	0	60	0	0	0	0	0	0	0	47	0	0	0	0	0	151	0	0	0	0	356	20	0	3639	172	58	0	251	474	16681	0	0	0	9788	0	0	0	0	0	0	0	0	0
ASV5465	0	0	0	0	0	0	0	0	11	0	0	0	0	0	51	0	4	0	0	0	0	0	0	8	8	13	0	0	10	0	0	10	0	0	15	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	52	0	0	0	13	6	0	0	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	32	0	0	0	0	27	0	0	0	0	26	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	14	0	0	0	0	0	0	8083	8163	139	177	24	42	2412	1206	329	2274	1804	10911	0	17880	665	12663	155	2055	8	6845	3347	1866	0	329	4226	13822	91512	1378	5307	484	27796	1586	742	0	645	726	1313	2493	3747	6772	4146	32	2115	123	1460	33925	228	1956	662	3772	0	425	0	4096	1631	1343	561	13423	3761	186	4443	303	11	4545	1208	4166	6163	1369	16960	4465	1438	13997	0	958	414	306	0	3001	1851	109	6007	16	129	1045	3428	1456	7144	75	795	5082	15604	2061	6	358	10140	8235	7678	3517	662	4263	1007	3214	7139	0	9312	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	23	0	0	36	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	9	0	15	0	0	0	0	19	0	1071	0	26	17	0
ASV630	0	0	0	142	0	971	0	2535	0	0	0	0	0	0	14597	0	505	27	0	0	0	3732	12294	0	0	18	18	0	44	0	0	0	0	40	0	0	12	98	246	0	848	0	4138	0	32	0	0	11	0	0	38	0	0	220	0	0	36	42	0	0	0	11733	0	82	17917	28570	0	0	17	18720	3841	0	1102	0	38535	133	0	27	0	0	0	0	0	0	170	136	0	0	0	112	0	47	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	44	0	0	0	0	91	222	0	0	0	0	0	0	0	70	0	82	0	5040	99	0	0	0	0	2837	643	10740	0	0	0	332	112	4914	0	85	0	389	83	0	6888	18	14	9287	29	0	4322	59	4472	0	121	7051	5668	421	1502	4036	0	4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19458	0	0	0	0	0	6198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24393	0	11626	0	0	0	0	0	0	0	0	0	0	0	0	0	11120	0	0	12	0	0	0	0	9331	28	0	0	3482	0	0	0	0	0	0	0	6289	0	3712	8297	0	28	15	0	17	0	0	0	2379	0	0	0	0	0	0	0	0	5370	692	21612	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16398	7315	763	0	0	15395	10022	79	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	12	0	0	0	0	210	1274	1221	0	1823	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8571	719	0	33	36	47	340	945	4650	213	7	40	421	0	0	8	405	1253	1700	11	145	319	45	85	16	2505	36	265	333	79	342	78	325	687	15	212	319	221	989	318	214	96	36	211	161	367	4	750	69	64	0	11191	594	83	87	0	0	235	3294	162	0	7	61	19	75	268	50	576	32	0	47	444	114	0	0	31	1715	57	193	65	259	206	623	0	2006	0	0	0	121	0	24	498	66	156	270	46	82	579	516	16	340	108	519	245	479	29	72	577	123	87	135	23	45	432	163	0	0	5	13	48	22	58	0	0	0	14	0	0	0	0	0	0	80	19	9	81	0	15	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	43	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	59	0	49	196	2	8	14	66	0	3	20	24	0	0	7	0	2	0	8	462	200	0	9	0	167	41	259	6	5	8	460	0	3	0	0	0	10	7156	9967	31758	1685	1080	1574	0	2947	4487	3397	1633	8183	15	0	222	1626	4519	1111	228	1159	0	609	180	3028	4669	10861	322	916	4537	13843	2618	824	1178	83	5031	112	3771	4106	30	12491	1439	399	7039	1616	1963	32	4167	986	2862	4528	0	1633	0	294	374	0	8027	1079	0	68	230	2890	2400	2219	6	2578	7827	5	16761	1305	9226	4324	28	548	1046	0	972	3053	2514	8930	7260	169	1432	7512	307	11936	4773	4	4787	33	0	14790	27	6327	37	1549	27	1468	269	1085	5979	6635	12880	7	5134	34	78	197	111	41	13	189	0	0	0	21	237	24	218	11	26	15	167	28	20	32	52	26	99	0	146	410	89	26	213	30	48	24	5	59	50	17	64	30	0	0	0	296	124	598	26	81	0	0	18	124	61	21	7	59	221	0	0	0	0	0	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	10	0	157	0	0	87	0
