# Constructed from biom file
#OTU ID	Dairy1	Dairy10	Dairy100	Dairy11	Dairy12	Dairy13	Dairy14	Dairy15	Dairy16	Dairy17	Dairy18	Dairy19	Dairy20	Dairy21	Dairy22	Dairy23	Dairy24	Dairy25	Dairy26	Dairy27	Dairy28	Dairy29	Dairy3	Dairy30	Dairy31	Dairy33	Dairy34	Dairy35	Dairy36	Dairy37	Dairy38	Dairy39	Dairy4	Dairy40	Dairy41	Dairy42	Dairy43	Dairy44	Dairy45	Dairy46	Dairy47	Dairy48	Dairy49	Dairy5	Dairy50	Dairy51	Dairy52	Dairy53	Dairy54	Dairy55	Dairy56	Dairy57	Dairy58	Dairy59	Dairy6	Dairy60	Dairy61	Dairy62	Dairy63	Dairy65	Dairy66	Dairy67	Dairy68	Dairy69	Dairy7	Dairy70	Dairy71	Dairy72	Dairy73	Dairy74	Dairy75	Dairy77	Dairy78	Dairy79	Dairy8	Dairy80	Dairy81	Dairy82	Dairy83	Dairy84	Dairy85	Dairy86	Dairy87	Dairy88	Dairy89	Dairy9	Dairy90	Dairy91	Dairy92	Dairy93	Dairy94	Dairy95	Dairy96	Dairy97	Dairy98	Dairy99
ASV7449	0	0	8	0	3	29	0	403	0	0	8	0	163	0	28	5	0	0	0	0	0	0	42	43	66	0	115	105	158	11	227	0	19	712	10	0	0	524	36	47	8	136	0	0	0	142	113	10	1981	27	13	28	174	7	16	67	54	11	238	51	1312	394	7	20	0	95	99	55	12	99	68	5	74	0	0	0	0	219	38	862	682	91	0	13	0	0	52	46	10	133	13	677	15	9	14	0
ASV308	8109	0	210	0	2082	10573	28	6356	87	127	22	20	490	41	85	277	213	43	717	147	57	0	15864	9013	740	3	11508	2074	16248	5	895	13121	2514	5310	675	12	2807	5637	2984	312	286	4375	118	0	873	1380	1840	43	12781	556	2850	2849	148	701	3147	2162	527	85	1712	3778	13296	5623	26	146	10570	716	688	1228	405	1669	139	212	695	99	133	80	261	4916	6709	7621	26467	4197	116	4844	86	3358	1876	9430	2930	1631	1362	89	4159	696	209	353
ASV11665	19	0	22879	0	3007	659	2197	3825	6	0	528	4599	13	7484	3979	0	0	14	2599	23	11426	0	131	0	15516	0	238	14707	0	0	86	31	65	141	0	2769	0	9111	5	0	0	8760	27	0	1526	0	122	0	191	0	0	0	0	505	0	0	0	6	0	0	0	0	0	22	46	0	8	0	431	23	0	2582	3108	16588	1491	1711	0	13045	0	48	0	0	0	0	470	209	5913	0	14367	17	2905	1465	0	10	0	0
ASV3128	0	0	0	0	7	0	188	0	81	0	9	0	9593	5405	10	917	2571	0	29	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	0	5564	0	0	0	6550	1257	262	4605	0	64	55	3423	0	20	509	1606	46	4199	2930	0	0	0	1051	483	7214	1203	142	735	47	7	10182	8005	1803	30	1252	2444	19	14170	2038	1947	686	4639	2349	0	12	0	12	0	0	16160	44	0	0	0	16	0	462	0	0	0	355
ASV3981	0	4	16730	3	631	395	1292	2424	40	36	1480	4067	371	12798	5565	21	16379	15535	924	14168	11724	5598	10379	76	15710	10435	0	11643	0	7	10	17	7259	32	1468	519	11149	7535	6419	18042	390	1474	15	0	419	6120	577	3098	2186	17	651	188	240	38	0	18	1175	2476	0	0	18	5838	4110	6211	0	122	33	3956	2103	3522	943	375	1552	13144	7260	1560	2927	10479	0	5701	780	0	1421	2596	317	39	5219	355	2756	3146	8925	1123	0	22810	9136	41343
ASV10586	5132	0	46	0	371	2873	29	6935	182	249	100	15	280	90	151	113	41	125	90	71	216	22	5309	2797	1441	8	8941	2363	11820	0	4980	79	1231	7036	9	0	147	442	355	56	45	219	16	0	33	93	78	0	6411	68	179	139	183	48	1859	795	86	30	185	984	1447	858	10	61	4818	237	92	399	152	451	16	10	12	41	332	0	8	527	368	1351	1927	284	50	324	15	1140	99	573	33	593	83	92	222	19	0	156
ASV8609	0	0	0	0	5	0	334	0	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1604	0	0	0	0	0	0	0	767	0	0	0	0	43	9	0	0	0	4894	0	0	28	0	19	0	536	0	0	60	0	0	0	0	0	0	0	47	0	0	0	0	0	151	0	0	0	0
ASV5465	0	0	0	0	8	15	0	0	0	13	0	0	0	0	0	0	0	0	0	32	0	0	0	0	14	0	0	0	32	0	11	0	16	129	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	23	0	0	36	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV630	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3482	8297	15	0	17	0	0	0	2379	0	0	0	0	0	0	0	0	5370	692	21612	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16398	7315	763	0	0	15395	10022	79	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	12	0	0
ASV8571	719	0	33	0	16	212	4	235	32	65	121	16	135	58	80	194	43	7	59	49	196	3	462	200	460	15	180	83	399	0	2400	28	169	1432	27	7	78	197	111	41	13	189	0	0	0	21	237	24	218	11	26	15	167	28	20	32	52	26	99	0	146	410	89	26	213	30	48	24	5	59	50	17	64	30	0	0	0	296	124	598	26	81	0	0	18	124	61	21	7	59	221	0	0	0	0	0
