ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp
#q2:types,categorical,categorical,categorical,categorical,categorical,numeric
Dairy101,Dairy 101,NY,Lambs,2/27/21,Healthy,102.8
Dairy102,Dairy 102,NY,Lambs,NA,Healthy,101.8
Dairy103,Dairy 103,NY,Lambs,NA,Healthy,102.6
Dairy104,Dairy 104,NY,Lambs,NA,Healthy,102.6
Dairy105,Dairy 105,NY,Lambs,NA,Healthy,102.4
Dairy106,Dairy 106,NY,Lambs,NA,Healthy,
Dairy107,Dairy 107,NY,Lambs,NA,Healthy,102.5
Dairy108,Dairy 108,NY,Lambs,NA,Healthy,
Dairy109,Dairy 109,NY,Lambs,NA,Healthy,101.7
Dairy110,Dairy 110,NY,Lambs,NA,Healthy,102
Dairy111,Dairy 111,NY,Lambs,NA,Healthy,102
Dairy112,Dairy 112,NY,Lambs,NA,Healthy,102.2
Dairy113,Dairy 113,NY,Lambs,NA,Healthy,102.7
Dairy114,Dairy 114,NY,Lambs,NA,Healthy,
Dairy115,Dairy 115,NY,Lambs,NA,Healthy,
Dairy116,Dairy 116,NY,Lambs,NA,Healthy,
Dairy117,Dairy 117,NY,Lambs,NA,Healthy,102.1
Dairy118,Dairy 118,NY,Lambs,NA,Healthy,102.8
Dairy119,Dairy 119,NY,Lambs,NA,Healthy,101.4
Dairy120,Dairy 120,NY,Lambs,NA,Healthy,
Dairy121,Dairy 121,NY,Lambs,NA,Healthy,102.5
Dairy122,Dairy 122,NY,Lambs,NA,Healthy,101.9
Dairy123,Dairy 123,NY,Lambs,NA,Healthy,
Dairy124,Dairy 124,NY,Lambs,NA,Healthy,
Dairy125,Dairy 125,NY,Lambs,NA,Healthy,102.7
Dairy126,Dairy 126,NY,Lambs,NA,Healthy,
Dairy127,Dairy 127,NY,Lambs,NA,Healthy,104
Dairy128,Dairy 128,NY,Lambs,NA,Healthy,102.3
Dairy129,Dairy 129,NY,Lambs,NA,Healthy,
Dairy130,Dairy 130,NY,Lambs,NA,Healthy,102.3
Dairy131,Dairy 131,NY,Lambs,NA,Healthy,
Dairy132,Dairy 132,NY,Lambs,NA,Healthy,102.3
Dairy133,Dairy 133,NY,Lambs,NA,Healthy,102.7
Dairy134,Dairy 134,NY,Lambs,NA,Healthy,102.3
Dairy135,Dairy 135,NY,Lambs,NA,Healthy,102.4
Dairy136,Dairy 136,NY,Lambs,NA,BRD,102.5
Dairy137,Dairy 137,NY,Lambs,NA,BRD,102.7
Dairy138,Dairy 138,NY,Lambs,NA,BRD,102.3
Dairy139,Dairy 139,NY,Lambs,NA,BRD,102.6
Dairy140,Dairy 140,NY,Lambs,NA,BRD,103.1
Dairy141,Dairy 141,NY,Lambs,NA,BRD,102.3
Dairy142,Dairy 142,NY,Lambs,NA,BRD,103.1
Dairy143,Dairy 143,NY,Lambs,NA,BRD,103
Dairy144,Dairy 144,NY,Lambs,NA,BRD,102
Dairy145,Dairy 145,NY,Lambs,NA,BRD,102.2
Dairy146,Dairy 146,NY,Lambs,NA,BRD,102.2
Dairy147,Dairy 147,NY,Lambs,NA,BRD,102.5
Dairy148,Dairy 148,NY,Lambs,NA,BRD,103.5
Dairy149,Dairy 149,NY,Lambs,NA,BRD,103
Dairy150,Dairy 150,NY,Lambs,NA,BRD,103
Dairy151,Dairy 151,NY,Lambs,NA,BRD,101.7
Dairy152,Dairy 152,NY,Lambs,NA,BRD,103
Dairy153,Dairy 153,NY,Lambs,NA,BRD,105.8
Dairy154,Dairy 154,NY,Lambs,NA,BRD,105.3
Dairy155,Dairy 155,NY,Lambs,NA,BRD,102
Dairy156,Dairy 156,NY,Lambs,NA,BRD,102.4
Dairy157,Dairy 157,NY,Lambs,NA,BRD,106
Dairy158,Dairy 158,NY,Lambs,NA,BRD,106.3
Dairy159,Dairy 159,NY,Lambs,NA,BRD,101.2
Dairy160,Dairy 160,NY,Lambs,NA,BRD,102.1
Dairy161,Dairy 161,NY,Lambs,NA,BRD,102.4
Dairy162,Dairy 162,NY,Lambs,NA,BRD,102.8
Dairy163,Dairy 163,NY,Lambs,NA,BRD,102.6
Dairy164,Dairy 164,NY,Lambs,NA,BRD,104.9
Dairy165,Dairy 165,NY,Lambs,NA,BRD,101.6
Dairy166,Dairy 166,NY,Lambs,NA,BRD,102
Dairy167,Dairy 167,NY,Lambs,NA,BRD,
Dairy168,Dairy 168,NY,Lambs,NA,BRD,101.2
Dairy169,Dairy 169,NY,Lambs,NA,BRD,102
Dairy170,Dairy 170,NY,Lambs,NA,BRD,104
Dairy171,Dairy 171,NY,Southview,NA,Healthy,101.6
Dairy172,Dairy 172,NY,Southview,NA,Healthy,101.2
Dairy173,Dairy 173,NY,Southview,NA,Healthy,102.7
Dairy174,Dairy 174,NY,Southview,NA,Healthy,101.7
Dairy177,Dairy 177,NY,Southview,NA,Healthy,
Dairy178,Dairy 178,NY,Southview,NA,Healthy,
Dairy179,Dairy 179,NY,Southview,NA,Healthy,
Dairy180,Dairy 180,NY,Southview,NA,Healthy,102.5
Dairy181,Dairy 181,NY,Southview,NA,Healthy,
Dairy182,Dairy 182,NY,Southview,NA,Healthy,
Dairy183,Dairy 183,NY,Southview,NA,Healthy,
Dairy184,Dairy 184,NY,Southview,NA,Healthy,101.5
Dairy185,Dairy 185,NY,Southview,NA,Healthy,102
Dairy186,Dairy 186,NY,Southview,NA,Healthy,101.5
Dairy187,Dairy 187,NY,Southview,NA,Healthy,102
Dairy188,Dairy 188,NY,Southview,NA,BRD,103.2
Dairy189,Dairy 189,NY,Southview,NA,BRD,101.2
Dairy190,Dairy 190,NY,Southview,NA,BRD,103
Dairy191,Dairy 191,NY,Southview,NA,BRD,102.5
