State,Genus,Status,taxa.average,overall.max
CA,Acinetobacter,Healthy,0.037895301,0.037895301
CA,Acinetobacter,BRD,0.021471226,0.021471226
IN,Acinetobacter,Healthy,0.007235234,0.007235234
IN,Acinetobacter,BRD,0.011931009,0.011931009
NY,Acinetobacter,Healthy,0.236914211,0.236914211
NY,Acinetobacter,BRD,0.22425462,0.22425462
TX,Acinetobacter,Healthy,0.015950802,0.015950802
TX,Acinetobacter,BRD,0.018822196,0.018822196
CA,Aerococcus,Healthy,0.08594926,0.08594926
CA,Aerococcus,BRD,0.05725844,0.05725844
IN,Aerococcus,BRD,0.002547421,0.002547421
IN,Aerococcus,Healthy,0.005280462,0.005280462
NY,Aerococcus,BRD,0.008894687,0.008894687
NY,Aerococcus,Healthy,0.007796198,0.007796198
TX,Aerococcus,BRD,0.000294429,0.000294429
TX,Aerococcus,Healthy,0.000312747,0.000312747
CA,Brevundimonas,BRD,0.028630308,0.028630308
CA,Brevundimonas,Healthy,0.016840395,0.016840395
IN,Brevundimonas,Healthy,0.000739132,0.000739132
IN,Brevundimonas,BRD,0.000430291,0.000430291
NY,Brevundimonas,Healthy,0.001180385,0.001180385
NY,Brevundimonas,BRD,0.000901842,0.000901842
TX,Brevundimonas,Healthy,0.000294323,0.000294323
TX,Brevundimonas,BRD,0.000217587,0.000217587
CA,Corynebacterium,Healthy,0.029808253,0.029808253
CA,Corynebacterium,BRD,0.029767508,0.029767508
IN,Corynebacterium,BRD,0.007953364,0.007953364
IN,Corynebacterium,Healthy,0.011765187,0.011765187
NY,Corynebacterium,BRD,0.015592029,0.015592029
NY,Corynebacterium,Healthy,0.019131586,0.019131586
TX,Corynebacterium,BRD,0.011613389,0.011613389
TX,Corynebacterium,Healthy,0.0133484,0.0133484
CA,Escherichia-Shigella,Healthy,0.03136347,0.03136347
CA,Escherichia-Shigella,BRD,0.010617213,0.010617213
IN,Escherichia-Shigella,Healthy,0.037784147,0.037784147
IN,Escherichia-Shigella,BRD,0.023861321,0.023861321
NY,Escherichia-Shigella,Healthy,0.004566773,0.004566773
NY,Escherichia-Shigella,BRD,0.002790732,0.002790732
TX,Escherichia-Shigella,Healthy,0.013859424,0.013859424
TX,Escherichia-Shigella,BRD,0.008982496,0.008982496
CA,Glutamicibacter,BRD,0.000190518,0.000190518
CA,Glutamicibacter,Healthy,0.000887828,0.000887828
IN,Glutamicibacter,BRD,0.004981342,0.004981342
IN,Glutamicibacter,Healthy,0.00250641,0.00250641
NY,Glutamicibacter,BRD,0.02455226,0.02455226
NY,Glutamicibacter,Healthy,0.019032855,0.019032855
TX,Glutamicibacter,BRD,0.000267061,0.000267061
TX,Glutamicibacter,Healthy,0.000729028,0.000729028
CA,Histophilus,Healthy,0,0
CA,Histophilus,BRD,0,0
IN,Histophilus,Healthy,0.001169997,0.001169997
IN,Histophilus,BRD,0.001532996,0.001532996
NY,Histophilus,Healthy,0.003097336,0.003097336
NY,Histophilus,BRD,0.00761625,0.00761625
TX,Histophilus,BRD,0.0215359,0.0215359
TX,Histophilus,Healthy,0.013740293,0.013740293
CA,Lactobacillus,BRD,0.000851432,0.000851432
CA,Lactobacillus,Healthy,0.000147809,0.000147809
IN,Lactobacillus,BRD,0.001415623,0.001415623
IN,Lactobacillus,Healthy,0.00505199,0.00505199
NY,Lactobacillus,BRD,0.00419245,0.00419245
NY,Lactobacillus,Healthy,0.003264263,0.003264263
TX,Lactobacillus,Healthy,0.020658693,0.020658693
TX,Lactobacillus,BRD,0.027432276,0.027432276
CA,Mannheimia,Healthy,0.025567547,0.025567547
CA,Mannheimia,BRD,0.049274809,0.049274809
IN,Mannheimia,Healthy,0.033249465,0.033249465
IN,Mannheimia,BRD,0.052837865,0.052837865
NY,Mannheimia,Healthy,0.015916661,0.015916661
NY,Mannheimia,BRD,0.006351395,0.006351395
TX,Mannheimia,Healthy,0.075470224,0.075470224
TX,Mannheimia,BRD,0.058957616,0.058957616
CA,Microbacteriaceae,BRD,0.000866448,0.000866448
CA,Microbacteriaceae,Healthy,0.001181526,0.001181526
IN,Microbacteriaceae,BRD,0.005142137,0.005142137
IN,Microbacteriaceae,Healthy,0.001837884,0.001837884
NY,Microbacteriaceae,BRD,0.006233771,0.006233771
NY,Microbacteriaceae,Healthy,0.008890793,0.008890793
TX,Microbacteriaceae,Healthy,0.02483627,0.02483627
TX,Microbacteriaceae,BRD,0.027813346,0.027813346
CA,Moraxella,Healthy,0.203382607,0.203382607
CA,Moraxella,BRD,0.168925507,0.168925507
IN,Moraxella,Healthy,0.150248488,0.150248488
IN,Moraxella,BRD,0.153154126,0.153154126
NY,Moraxella,Healthy,0.038326339,0.038326339
NY,Moraxella,BRD,0.057809691,0.057809691
TX,Moraxella,Healthy,0.108096989,0.108096989
TX,Moraxella,BRD,0.152838311,0.152838311
CA,Moraxellaceae,Healthy,0.000202511,0.000202511
CA,Moraxellaceae,BRD,0.000975393,0.000975393
IN,Moraxellaceae,Healthy,0.037603023,0.037603023
IN,Moraxellaceae,BRD,0.051634531,0.051634531
NY,Moraxellaceae,Healthy,0.001056338,0.001056338
NY,Moraxellaceae,BRD,0.003643512,0.003643512
TX,Moraxellaceae,Healthy,0.003863804,0.003863804
TX,Moraxellaceae,BRD,0.001660633,0.001660633
CA,Mycoplasma,BRD,0.008416707,0.008416707
CA,Mycoplasma,Healthy,0.009840798,0.009840798
IN,Mycoplasma,Healthy,0.043854856,0.043854856
IN,Mycoplasma,BRD,0.05583331,0.05583331
NY,Mycoplasma,BRD,0.0277423,0.0277423
NY,Mycoplasma,Healthy,0.013718875,0.013718875
TX,Mycoplasma,Healthy,0.063547065,0.063547065
TX,Mycoplasma,BRD,0.075486578,0.075486578
CA,Neisseria,Healthy,0.03136259,0.03136259
CA,Neisseria,BRD,0.037999435,0.037999435
IN,Neisseria,Healthy,0.001079138,0.001079138
IN,Neisseria,BRD,0.000614754,0.000614754
NY,Neisseria,Healthy,0.002374121,0.002374121
NY,Neisseria,BRD,0.000742844,0.000742844
TX,Neisseria,Healthy,0.001583234,0.001583234
TX,Neisseria,BRD,0.000624191,0.000624191
CA,Pasteurella,Healthy,0.064016665,0.064016665
CA,Pasteurella,BRD,0.047630075,0.047630075
IN,Pasteurella,Healthy,0.033301608,0.033301608
IN,Pasteurella,BRD,0.043804842,0.043804842
NY,Pasteurella,BRD,0.033436348,0.033436348
NY,Pasteurella,Healthy,0.008360661,0.008360661
TX,Pasteurella,Healthy,0.037646265,0.037646265
TX,Pasteurella,BRD,0.028080447,0.028080447
CA,Pseudomonas,Healthy,0.072666925,0.072666925
CA,Pseudomonas,BRD,0.084434576,0.084434576
IN,Pseudomonas,Healthy,0.020802561,0.020802561
IN,Pseudomonas,BRD,0.015746977,0.015746977
NY,Pseudomonas,Healthy,0.092282452,0.092282452
NY,Pseudomonas,BRD,0.113615904,0.113615904
TX,Pseudomonas,BRD,0.017767783,0.017767783
TX,Pseudomonas,Healthy,0.019540218,0.019540218
CA,Psychrobacter,Healthy,0.025379546,0.025379546
CA,Psychrobacter,BRD,0.023918232,0.023918232
IN,Psychrobacter,Healthy,0.274131244,0.274131244
IN,Psychrobacter,BRD,0.245013308,0.245013308
NY,Psychrobacter,Healthy,0.205966003,0.205966003
NY,Psychrobacter,BRD,0.185024547,0.185024547
TX,Psychrobacter,Healthy,0.139327314,0.139327314
TX,Psychrobacter,BRD,0.107895233,0.107895233
CA,Rothia,Healthy,0.101547178,0.101547178
CA,Rothia,BRD,0.076798284,0.076798284
IN,Rothia,Healthy,0.000170498,0.000170498
IN,Rothia,BRD,0.000127181,0.000127181
NY,Rothia,Healthy,0.000142503,0.000142503
NY,Rothia,BRD,0.000165397,0.000165397
TX,Rothia,Healthy,3.76E-05,3.76E-05
TX,Rothia,BRD,0.000162522,0.000162522
CA,Sphingobacterium,BRD,0.016124796,0.016124796
CA,Sphingobacterium,Healthy,0.014080887,0.014080887
IN,Sphingobacterium,BRD,0.000349211,0.000349211
IN,Sphingobacterium,Healthy,0.000422832,0.000422832
NY,Sphingobacterium,BRD,0.02124707,0.02124707
NY,Sphingobacterium,Healthy,0.018296258,0.018296258
TX,Sphingobacterium,BRD,0.000186926,0.000186926
TX,Sphingobacterium,Healthy,0.000770488,0.000770488
CA,Staphylococcus,Healthy,0.035108122,0.035108122
CA,Staphylococcus,BRD,0.038757499,0.038757499
IN,Staphylococcus,Healthy,0.008317021,0.008317021
IN,Staphylococcus,BRD,0.005726039,0.005726039
NY,Staphylococcus,Healthy,0.010896908,0.010896908
NY,Staphylococcus,BRD,0.008208945,0.008208945
TX,Staphylococcus,Healthy,0.001482411,0.001482411
TX,Staphylococcus,BRD,0.001589326,0.001589326
CA,Streptococcus,Healthy,0.05920444,0.05920444
CA,Streptococcus,BRD,0.080170898,0.080170898
IN,Streptococcus,Healthy,0.064810886,0.064810886
IN,Streptococcus,BRD,0.059158885,0.059158885
NY,Streptococcus,BRD,0.008870444,0.008870444
NY,Streptococcus,Healthy,0.010658795,0.010658795
TX,Streptococcus,Healthy,0.083104922,0.083104922
TX,Streptococcus,BRD,0.089613825,0.089613825
CA,uncultured,Healthy,0.000369285,0.000369285
CA,uncultured,BRD,0.000552805,0.000552805
IN,uncultured,Healthy,0.00613495,0.00613495
IN,uncultured,BRD,0.004382838,0.004382838
NY,uncultured,Healthy,0.025398968,0.025398968
NY,uncultured,BRD,0.043049734,0.043049734
TX,uncultured,Healthy,0.008811673,0.008811673
TX,uncultured,BRD,0.004941823,0.004941823
CA,Vibrio,BRD,0.013816944,0.013816944
CA,Vibrio,Healthy,0.00167634,0.00167634
IN,Vibrio,Healthy,0.043606097,0.043606097
IN,Vibrio,BRD,0.039616338,0.039616338
NY,Vibrio,Healthy,0.03632677,0.03632677
NY,Vibrio,BRD,0.023610449,0.023610449
TX,Vibrio,Healthy,0.0641089,0.0641089
TX,Vibrio,BRD,0.061215863,0.061215863
