State,Alpha,N,Mann.Whitney.U,Wilcoxon.W,Z,Effect.Size,p,p.adj
NY,Pielou_e,79<br>19,3854,694,-0.508,0.051,0.612,0.612
NY,Chao1,79<br>19,4281.5,1121.5,3.334,0.337,0.001,0.005
NY,Observed ASVs,79<br>19,4241,1081,2.97,0.3,0.003,0.0075
NY,Faith PD,79<br>19,4142,982,2.08,0.21,0.037,0.061666667
NY,Shannon,79<br>19,4008,848,0.876,0.089,0.381,0.47625
IN,Pielou_e,86<br>4,3822,81,-1.782,0.188,0.075,0.375
IN,Chao1,86<br>4,3939,198,0.509,0.054,0.611,0.652
IN,Observed ASVs,86<br>4,3939,198,0.509,0.054,0.611,0.652
IN,Faith PD,86<br>4,3936,195,0.45,0.047,0.652,0.652
IN,Shannon,86<br>4,3862,121,-0.999,0.105,0.318,0.652
