"","State","n","Mean","SD","SE","25%","75%","alpha"
"1","CA",94,91.3891682494681,37.2701640626856,3.84412390658048,83.7555000212104,99.0228364777258,"Chao1"
"2","IN",90,254.039691178556,117.243291419509,12.3585280420174,229.483559201816,278.595823155295,"Chao1"
"3","NY",98,212.630181344082,115.450606548176,11.6622723974737,189.483798915205,235.776563772958,"Chao1"
"4","TX",86,201.29271352407,122.828687283655,13.2449579787344,174.958188639068,227.627238409072,"Chao1"
"5","CA",94,83.2446808510638,31.1412619720023,3.21197592332342,76.8663332348931,89.6230284672346,"Observed ASVs"
"6","IN",90,240.522222222222,110.371408504336,11.6341679811526,217.405378257194,263.63906618725,"Observed ASVs"
"7","NY",98,198.295918367347,106.648397089339,10.773114969221,176.91426730234,219.677569432354,"Observed ASVs"
"8","TX",86,192.546511627907,107.712870712371,11.6149775586183,169.452824502038,215.640198753776,"Observed ASVs"
"9","CA",94,0.571831417010638,0.108140902404925,0.0111538824330038,0.549682017038179,0.593980816983097,"Pielou_e"
"10","IN",90,0.521793167055556,0.118623679936125,0.0125040337676324,0.496947918301363,0.546638415809748,"Pielou_e"
"11","NY",98,0.594272582795918,0.108076131092602,0.010917337882855,0.572604689170267,0.61594047642157,"Pielou_e"
"12","TX",86,0.606787370372093,0.146745829514032,0.0158240097525371,0.575324999613517,0.638249741130669,"Pielou_e"
"13","CA",94,3.6026243048617,0.783834448596334,0.0808463503831804,3.44207947558754,3.76316913413586,"Shannon"
"14","IN",90,4.07804796074444,1.15352422680485,0.121592129762932,3.83644698887789,4.319648932611,"Shannon"
"15","NY",98,4.43637454106122,1.11645873899462,0.112779363608297,4.21253872320394,4.66021035891851,"Shannon"
"16","TX",86,4.53791118676744,1.35583887781957,0.146203866212322,4.24721873162839,4.8286036419065,"Shannon"
"17","CA",94,8.4696237105,2.6874839918852,0.277192808821079,7.91917372781949,9.02007369318051,"Faith PD"
"18","IN",90,19.5660533924111,6.05276598456108,0.638017555173485,18.2983261003703,20.8337806844519,"Faith PD"
"19","NY",98,15.0624192797551,6.20993601714629,0.627298266922674,13.8174058648473,16.3074326946629,"Faith PD"
"20","TX",86,17.1110521670349,5.84943976141361,0.630761311159689,15.8569296947778,18.3651746392919,"Faith PD"
