"","Species","State","Abundance.average","overall.max"
"1"," Acinetobacter","CA",0.0317792171516541,0.238232840502896
"2"," Acinetobacter","IN",0.00723523424246222,0.238232840502896
"3"," Acinetobacter","TX",0.0141319539879976,0.238232840502896
"4"," Acinetobacter","NY",0.238232840502896,0.238232840502896
"5"," Aerococcus","NY",0.00787192327372978,0.0859492601616076
"6"," Aerococcus","IN",0.00528046171323193,0.0859492601616076
"7"," Aerococcus","CA",0.0859492601616076,0.0859492601616076
"8"," Aerococcus","TX",0.000312746749714521,0.0859492601616076
"9"," Chishuiella_sp.","CA",0,0.0266288859953156
"10"," Chishuiella_sp.","NY",0.0266288859953156,0.0266288859953156
"11"," Chishuiella_sp.","TX",0.00237135569678694,0.0266288859953156
"12"," Chishuiella_sp.","IN",0.000892978012176185,0.0266288859953156
"13"," Corynebacterium","IN",0.00307499332370521,0.0239472733117391
"14"," Corynebacterium","TX",0.00549337924538229,0.0239472733117391
"15"," Corynebacterium","NY",0.010158669153191,0.0239472733117391
"16"," Corynebacterium","CA",0.0239472733117391,0.0239472733117391
"17"," Escherichia-Shigella","TX",0.0138506220859953,0.0377841465206072
"18"," Escherichia-Shigella","IN",0.0377841465206072,0.0377841465206072
"19"," Escherichia-Shigella","CA",0.03136347019089,0.0377841465206072
"20"," Escherichia-Shigella","NY",0.00441464969269969,0.0377841465206072
"21"," Glutamicibacter","NY",0.0200662070662457,0.0200662070662457
"22"," Glutamicibacter","TX",0.000639084473054614,0.0200662070662457
"23"," Glutamicibacter","CA",0.000746318501417646,0.0200662070662457
"24"," Glutamicibacter","IN",0.00248585791893932,0.0200662070662457
"25"," Mannheimia_haemolytica","IN",9.69961774599557e-05,0.054923963601603
"26"," Mannheimia_haemolytica","TX",0.054923963601603,0.054923963601603
"27"," Mannheimia_haemolytica","CA",0.00142880460899769,0.054923963601603
"28"," Mannheimia_haemolytica","NY",0.00365119921241264,0.054923963601603
"29"," Mesomycoplasma_dispar","CA",0.000947663201000534,0.025638589629107
"30"," Mesomycoplasma_dispar","IN",0.00776364260281068,0.025638589629107
"31"," Mesomycoplasma_dispar","TX",0.025638589629107,0.025638589629107
"32"," Mesomycoplasma_dispar","NY",0.0077044755451254,0.025638589629107
"33"," Microbacteriaceae","IN",0.00183788372678497,0.0248362700740658
"34"," Microbacteriaceae","NY",0.00865101214003363,0.0248362700740658
"35"," Microbacteriaceae","TX",0.0248362700740658,0.0248362700740658
"36"," Microbacteriaceae","CA",0.00118152608278298,0.0248362700740658
"37"," Moraxella","NY",0.0187910586087276,0.118001699119229
"38"," Moraxella","CA",0.118001699119229,0.118001699119229
"39"," Moraxella","IN",0.0456672162658913,0.118001699119229
"40"," Moraxella","TX",0.0612504072575639,0.118001699119229
"41"," Moraxella_boevrei","IN",0.102040172300653,0.102040172300653
"42"," Moraxella_boevrei","CA",8.36317873049623e-07,0.102040172300653
"43"," Moraxella_boevrei","TX",0.0163042337794792,0.102040172300653
"44"," Moraxella_boevrei","NY",0.016180318479778,0.102040172300653
"45"," Moraxella_bovoculi","IN",0.00228098564295364,0.0845803695667082
"46"," Moraxella_bovoculi","CA",0.0845803695667082,0.0845803695667082
"47"," Moraxella_bovoculi","TX",0.0304762809998367,0.0845803695667082
"48"," Moraxella_bovoculi","NY",0.0019389530446954,0.0845803695667082
"49"," Moraxellaceae","TX",0.00386380353003844,0.0376030233541729
"50"," Moraxellaceae","CA",0.000202511090963697,0.0376030233541729
"51"," Moraxellaceae","NY",0.00101571005594894,0.0376030233541729
"52"," Moraxellaceae","IN",0.0376030233541729,0.0376030233541729
"53"," Mycoplasmopsis_bovirhinis","TX",0.0102786007813436,0.0321056068152036
"54"," Mycoplasmopsis_bovirhinis","IN",0.0321056068152036,0.0321056068152036
"55"," Mycoplasmopsis_bovirhinis","CA",0.00682187519384418,0.0321056068152036
"56"," Mycoplasmopsis_bovirhinis","NY",0.00128821380352396,0.0321056068152036
"57"," Pasteurella_multocida","NY",0.00813086768744733,0.0640166646877596
"58"," Pasteurella_multocida","TX",0.0376375126327493,0.0640166646877596
"59"," Pasteurella_multocida","CA",0.0640166646877596,0.0640166646877596
"60"," Pasteurella_multocida","IN",0.0333016079533605,0.0640166646877596
"61"," Pseudomonas","NY",0.0829674486680502,0.0829674486680502
"62"," Pseudomonas","IN",0.0187260546078217,0.0829674486680502
"63"," Pseudomonas","TX",0.0177798260965857,0.0829674486680502
"64"," Pseudomonas","CA",0.0643443762775137,0.0829674486680502
"65"," Psychrobacter","CA",0.0036440782214466,0.180627137920357
"66"," Psychrobacter","IN",0.156240367691069,0.180627137920357
"67"," Psychrobacter","NY",0.180627137920357,0.180627137920357
"68"," Psychrobacter","TX",0.0516696889022414,0.180627137920357
"69"," Psychrobacter_pulmonis","IN",0.00657837162117027,0.041065894052797
"70"," Psychrobacter_pulmonis","TX",0.041065894052797,0.041065894052797
"71"," Psychrobacter_pulmonis","NY",0.00939869085635539,0.041065894052797
"72"," Psychrobacter_pulmonis","CA",0.0217354678159956,0.041065894052797
"73"," Rothia_nasimurium","IN",0.000143193697941815,0.0780648749061851
"74"," Rothia_nasimurium","NY",9.46888931184334e-05,0.0780648749061851
"75"," Rothia_nasimurium","CA",0.0780648749061851,0.0780648749061851
"76"," Rothia_nasimurium","TX",3.75557412638509e-05,0.0780648749061851
"77"," Staphylococcus","NY",0.0108608050726006,0.0351081222454264
"78"," Staphylococcus","IN",0.0083170206920143,0.0351081222454264
"79"," Staphylococcus","CA",0.0351081222454264,0.0351081222454264
"80"," Staphylococcus","TX",0.00148241123341419,0.0351081222454264
"81"," Streptococcus","CA",0.0438252906745141,0.0811609877132351
"82"," Streptococcus","TX",0.0811609877132351,0.0811609877132351
"83"," Streptococcus","IN",0.0631156954636681,0.0811609877132351
"84"," Streptococcus","NY",0.00963198445018842,0.0811609877132351
"85"," Vibrio","IN",0.0436060969568507,0.0641088996559224
"86"," Vibrio","TX",0.0641088996559224,0.0641088996559224
"87"," Vibrio","NY",0.0350001593640923,0.0641088996559224
"88"," Vibrio","CA",0.00167633970791152,0.0641088996559224
