"","State","Genus","Status","taxa.average","overall.max"
"1","CA"," [Agitococcus]_lubricugroup","Healthy",0,0
"2","CA"," [Anaerorhabdus]_furcosa_group","Healthy",0,0
"3","CA"," [Clostridium]_innocuum_group","Healthy",0,0
"4","CA"," [Clostridium]_methylpentosum_group","Healthy",3.34527149219849e-07,3.34527149219849e-07
"5","CA"," [Eubacterium]_brachy_group","Healthy",6.00728323018828e-07,6.00728323018828e-07
"6","CA"," [Eubacterium]_coprostanoligenegroup","Healthy",0.000136576063912456,0.000136576063912456
"7","CA"," [Eubacterium]_eligengroup","Healthy",0,0
"8","CA"," [Eubacterium]_fissicatena_group","Healthy",0,0
"9","CA"," [Eubacterium]_hallii_group","Healthy",0,0
"10","CA"," [Eubacterium]_nodatum_group","Healthy",1.2593408075155e-05,1.2593408075155e-05
"11","CA"," [Eubacterium]_oxidoreducengroup","Healthy",0,0
"12","CA"," [Eubacterium]_ruminantium_group","Healthy",4.77589629817411e-06,4.77589629817411e-06
"13","CA"," [Eubacterium]_saphenum_group","Healthy",0,0
"14","CA"," [Eubacterium]_siraeum_group","Healthy",0,0
"15","CA"," [Eubacterium]_ventriosum_group","Healthy",4.00485548679219e-07,4.00485548679219e-07
"16","CA"," [Eubacterium]_xylanophilum_group","Healthy",0,0
"17","CA"," [Ruminococcus]_gauvreauii_group","Healthy",4.942629361663e-05,4.942629361663e-05
"18","CA"," [Ruminococcus]_gnavugroup","Healthy",6.00691612513254e-05,6.00691612513254e-05
"19","CA"," [Ruminococcus]_torquegroup","Healthy",9.37469341284689e-05,9.37469341284689e-05
"20","CA"," 0319-6G20","Healthy",0,0
"21","CA"," 0319-7L14","Healthy",0,0
"22","CA"," 11-24","Healthy",0,0
"23","CA"," 1174-901-12","Healthy",0,0
"24","CA"," 37-13","Healthy",0,0
"25","CA"," 67-14","Healthy",0,0
"26","CA"," A0839","Healthy",0,0
"27","CA"," A4b","Healthy",0,0
"28","CA"," AB1","Healthy",0,0
"29","CA"," Abditibacterium","Healthy",0,0
"30","CA"," Absconditabacteriale(SR1)","Healthy",8.00971097358437e-07,8.00971097358437e-07
"31","CA"," Acetitomaculum","Healthy",1.42036661652135e-05,1.42036661652135e-05
"32","CA"," Acetoanaerobium","Healthy",1.67263574609925e-06,1.67263574609925e-06
"33","CA"," Acetobacter","Healthy",0,0
"34","CA"," Acetobacteraceae","Healthy",0,0
"35","CA"," Acetobacterium","Healthy",0,0
"36","CA"," Acholeplasma","Healthy",0,0
"37","CA"," Acholeplasmataceae","Healthy",0,0
"38","CA"," Achromobacter","Healthy",7.90925417839112e-05,7.90925417839112e-05
"39","CA"," Acidaminobacter","Healthy",0,0
"40","CA"," Acidaminococcus","Healthy",2.09983673769364e-06,2.09983673769364e-06
"41","CA"," Acidibacter","Healthy",0,0
"42","CA"," Acinetobacter","Healthy",0.037895300863953,0.037895300863953
"43","CA"," Actinoalloteichus","Healthy",0,0
"44","CA"," Actinobacillus","Healthy",0,0
"45","CA"," Actinobacteria","Healthy",0,0
"46","CA"," Actinomyces","Healthy",1.68306248351377e-06,1.68306248351377e-06
"47","CA"," Actinomycetospora","Healthy",0,0
"48","CA"," Actinoplanes","Healthy",0,0
"49","CA"," Actinotalea","Healthy",0,0
"50","CA"," Adhaeribacter","Healthy",0,0
"51","CA"," Advenella","Healthy",0,0
"52","CA"," Aequorivita","Healthy",8.36317873049623e-07,8.36317873049623e-07
"53","CA"," Aeriscardovia","Healthy",0,0
"54","CA"," Aerococcaceae","Healthy",9.07622431594279e-06,9.07622431594279e-06
"55","CA"," Aerococcus","Healthy",0.0859492601616076,0.0859492601616076
"56","CA"," Aeromicrobium","Healthy",3.04078791274642e-07,3.04078791274642e-07
"57","CA"," Aeromonas","Healthy",0,0
"58","CA"," Aerosphaera","Healthy",3.95152069976327e-05,3.95152069976327e-05
"59","CA"," Aestuariicella","Healthy",0,0
"60","CA"," Agaricicola","Healthy",0,0
"61","CA"," Agathobacter","Healthy",1.70944408023789e-06,1.70944408023789e-06
"62","CA"," Aggregatibacter","Healthy",0,0
"63","CA"," Agromyces","Healthy",0,0
"64","CA"," AKAU3644","Healthy",0,0
"65","CA"," AKIW781","Healthy",0,0
"66","CA"," Akkermansia","Healthy",1.22316777621575e-06,1.22316777621575e-06
"67","CA"," AKYG1722","Healthy",0,0
"68","CA"," Alcaligenaceae","Healthy",2.89891624016361e-06,2.89891624016361e-06
"69","CA"," Alcaligenes","Healthy",0.0003922758628984,0.0003922758628984
"70","CA"," Alcanivorax","Healthy",0,0
"71","CA"," Algoriphagus","Healthy",0,0
"72","CA"," Aliicoccus","Healthy",0,0
"73","CA"," Aliidiomarina","Healthy",5.15224392658849e-06,5.15224392658849e-06
"74","CA"," Aliifodinibius","Healthy",0,0
"75","CA"," Aliihoeflea","Healthy",0,0
"76","CA"," Alishewanella","Healthy",1.94917136291649e-05,1.94917136291649e-05
"77","CA"," Alistipes","Healthy",9.22643955098665e-07,9.22643955098665e-07
"78","CA"," Aliterella","Healthy",0,0
"79","CA"," Alkalibacter","Healthy",0,0
"80","CA"," Alkalibacterium","Healthy",5.49885933926079e-06,5.49885933926079e-06
"81","CA"," Alkalibaculum","Healthy",0,0
"82","CA"," Alkaliphilus","Healthy",0,0
"83","CA"," Alkanindiges","Healthy",0,0
"84","CA"," Allisonella","Healthy",0,0
"85","CA"," Allobaculum","Healthy",0,0
"86","CA"," Allofustis","Healthy",1.77236039412569e-06,1.77236039412569e-06
"87","CA"," Alloiococcus","Healthy",2.96134753464408e-05,2.96134753464408e-05
"88","CA"," Alloprevotella","Healthy",2.46964339229785e-05,2.46964339229785e-05
"89","CA"," Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Healthy",9.28800815214951e-05,9.28800815214951e-05
"90","CA"," Alphaproteobacteria","Healthy",0,0
"91","CA"," Altererythrobacter","Healthy",1.17084502226947e-06,1.17084502226947e-06
"92","CA"," Alysiella","Healthy",2.48960141140979e-05,2.48960141140979e-05
"93","CA"," Amaricoccus","Healthy",0,0
"94","CA"," Aminobacter","Healthy",0,0
"95","CA"," Ammoniibacillus","Healthy",0,0
"96","CA"," Ammoniphilus","Healthy",0,0
"97","CA"," Amnibacterium","Healthy",0,0
"98","CA"," Amnipila","Healthy",0,0
"99","CA"," Amphibacillus","Healthy",0,0
"100","CA"," Amycolatopsis","Healthy",0,0
"101","CA"," Anaerobiospirillum","Healthy",0,0
"102","CA"," Anaerocella","Healthy",0,0
"103","CA"," Anaerococcus","Healthy",2.49165371617399e-05,2.49165371617399e-05
"104","CA"," Anaerocolumna","Healthy",0,0
"105","CA"," Anaerofilum","Healthy",0,0
"106","CA"," Anaeromusa-Anaeroarcus","Healthy",0,0
"107","CA"," Anaeroplasma","Healthy",0,0
"108","CA"," Anaerosalibacter","Healthy",0,0
"109","CA"," Anaerosporobacter","Healthy",0,0
"110","CA"," Anaerostignum","Healthy",0,0
"111","CA"," Anaerostipes","Healthy",0,0
"112","CA"," Anaerovibrio","Healthy",4.47741517375419e-05,4.47741517375419e-05
"113","CA"," Anaerovoracaceae","Healthy",0,0
"114","CA"," Anaerovorax","Healthy",0,0
"115","CA"," Angelakisella","Healthy",0,0
"116","CA"," Antarcticibacterium","Healthy",0,0
"117","CA"," Antricoccus","Healthy",2.34169004453894e-06,2.34169004453894e-06
"118","CA"," Aquabacterium","Healthy",0,0
"119","CA"," Aquamicrobium","Healthy",0,0
"120","CA"," Aquaspirillum","Healthy",0,0
"121","CA"," Aquiflexum","Healthy",0,0
"122","CA"," Aquisphaera","Healthy",0,0
"123","CA"," Aquitalea","Healthy",0,0
"124","CA"," Arachidicoccus","Healthy",0,0
"125","CA"," Arcanobacterium","Healthy",0,0
"126","CA"," Arcicella","Healthy",0,0
"127","CA"," Arcobacter","Healthy",5.01790723829774e-07,5.01790723829774e-07
"128","CA"," Arcobacteraceae","Healthy",5.88116805878816e-07,5.88116805878816e-07
"129","CA"," Arcticibacter","Healthy",0,0
"130","CA"," Arenibacter","Healthy",0,0
"131","CA"," Arenimonas","Healthy",0,0
"132","CA"," Aridibacter","Healthy",0,0
"133","CA"," Armatimonadales","Healthy",0,0
"134","CA"," Armatimonas","Healthy",0,0
"135","CA"," Arthrobacter","Healthy",0.000412033839267002,0.000412033839267002
"136","CA"," Atopobiaceae","Healthy",0,0
"137","CA"," Atopobium","Healthy",0,0
"138","CA"," Atopococcus","Healthy",0,0
