"","State","Genus","Status","taxa.average","overall.max"
"1","CA"," Acinetobacter","Healthy",0.037895300863953,0.037895300863953
"2","CA"," Aerococcus","Healthy",0.0859492601616076,0.0859492601616076
"3","CA"," Corynebacterium","Healthy",0.0298082526218788,0.0298082526218788
"4","CA"," Escherichia-Shigella","Healthy",0.03136347019089,0.03136347019089
"5","CA"," Mannheimia","Healthy",0.025567547056573,0.025567547056573
"6","CA"," Moraxella","Healthy",0.20338260727694,0.20338260727694
"7","CA"," Neisseria","Healthy",0.0313625895348953,0.0313625895348953
"8","CA"," Pasteurella","Healthy",0.0640166646877596,0.0640166646877596
"9","CA"," Pseudomonas","Healthy",0.0726669247633134,0.0726669247633134
"10","CA"," Psychrobacter","Healthy",0.0253795460374422,0.0253795460374422
"11","CA"," Rothia","Healthy",0.101547178389405,0.101547178389405
"12","CA"," Staphylococcus","Healthy",0.0351081222454264,0.0351081222454264
"13","CA"," Streptococcus","Healthy",0.0592044396880127,0.0592044396880127
"14","IN"," Escherichia-Shigella","Healthy",0.0377841465206072,0.0377841465206072
"15","IN"," Mannheimia","Healthy",0.0332494649782637,0.0332494649782637
"16","IN"," Moraxella","Healthy",0.150248488053088,0.150248488053088
"17","IN"," Moraxellaceae","Healthy",0.0376030233541729,0.0376030233541729
"18","IN"," Mycoplasma","Healthy",0.043854856378935,0.043854856378935
"19","IN"," Pasteurella","Healthy",0.0333016079533605,0.0333016079533605
"20","IN"," Pseudomonas","Healthy",0.0208025610010787,0.0208025610010787
"21","IN"," Psychrobacter","Healthy",0.274131243838784,0.274131243838784
"22","IN"," Streptococcus","Healthy",0.0648108858628641,0.0648108858628641
"23","IN"," Vibrio","Healthy",0.0436060969568507,0.0436060969568507
"24","NY"," Acinetobacter","Healthy",0.236914210776774,0.236914210776774
"25","NY"," Moraxella","Healthy",0.0383263388317307,0.0383263388317307
"26","NY"," Pseudomonas","Healthy",0.0922824522885793,0.0922824522885793
"27","NY"," Psychrobacter","Healthy",0.205966002599777,0.205966002599777
"28","NY"," uncultured","Healthy",0.0253989680631261,0.0253989680631261
"29","NY"," Vibrio","Healthy",0.0363267701080185,0.0363267701080185
"30","TX"," Lactobacillus","Healthy",0.0206586925224517,0.0206586925224517
"31","TX"," Mannheimia","Healthy",0.075470224217657,0.075470224217657
"32","TX"," Microbacteriaceae","Healthy",0.0248362700740658,0.0248362700740658
"33","TX"," Moraxella","Healthy",0.108096989042018,0.108096989042018
"34","TX"," Mycoplasma","Healthy",0.0635470645320193,0.0635470645320193
"35","TX"," Pasteurella","Healthy",0.0376462651126186,0.0376462651126186
"36","TX"," Psychrobacter","Healthy",0.139327314305611,0.139327314305611
"37","TX"," Streptococcus","Healthy",0.0831049216048025,0.0831049216048025
"38","TX"," Vibrio","Healthy",0.0641088996559224,0.0641088996559224
