"","Family","Status","Abundance.average","overall.max"
"1"," [Clostridium]_methylpentosum_group","BRD",5.27248179983237e-07,5.27248179983237e-07
"2"," [Eubacterium]_coprostanoligenes_group","BRD",0.00137259130873897,0.00137259130873897
"3"," 0319-6G20","BRD",1.83989843375352e-07,1.83989843375352e-07
"4"," 0319-7L14","BRD",9.23182790838814e-07,9.23182790838814e-07
"5"," 11-24","BRD",6.50745994658403e-06,6.50745994658403e-06
"6"," 37-13","BRD",2.6337950719633e-06,2.6337950719633e-06
"7"," 67-14","BRD",1.15251194379767e-06,1.15251194379767e-06
"8"," A0839","BRD",2.22186425520333e-06,2.22186425520333e-06
"9"," A4b","BRD",2.007648002485e-06,2.007648002485e-06
"10"," AB1","BRD",0,0
"11"," Abditibacteriaceae","BRD",2.43692275492636e-05,2.43692275492636e-05
"12"," Absconditabacteriales_(SR1)","BRD",0.000530085960715439,0.000530085960715439
"13"," Acetobacteraceae","BRD",0.000114742115206444,0.000114742115206444
"14"," Acholeplasmataceae","BRD",0.000141803908811342,0.000141803908811342
"15"," Acidaminobacteraceae","BRD",0,0
"16"," Acidaminococcaceae","BRD",0.00375030720770062,0.00375030720770062
"17"," Acidithiobacillaceae","BRD",1.58241869532743e-06,1.58241869532743e-06
"18"," Actinobacteria","BRD",1.55787985219904e-06,1.55787985219904e-06
"19"," Actinomycetaceae","BRD",0.00490058244834302,0.00490058244834302
"20"," Aerococcaceae","BRD",0.020704662943052,0.020704662943052
"21"," Aeromonadaceae","BRD",0.000299604504577632,0.000299604504577632
"22"," AKAU3644","BRD",2.23647666092724e-05,2.23647666092724e-05
"23"," AKIW781","BRD",1.8381104702951e-06,1.8381104702951e-06
"24"," Akkermansiaceae","BRD",0.000138315205677931,0.000138315205677931
"25"," AKYG1722","BRD",5.31331700551018e-07,5.31331700551018e-07
"26"," Alcaligenaceae","BRD",0.00206092283270174,0.00206092283270174
"27"," Alcanivoracaceae1","BRD",6.93429886176167e-06,6.93429886176167e-06
"28"," Alicyclobacillaceae","BRD",1.14835214225494e-05,1.14835214225494e-05
"29"," Alkalibacteraceae","BRD",2.60268774357904e-07,2.60268774357904e-07
"30"," Alphaproteobacteria","BRD",6.01624770810305e-06,6.01624770810305e-06
"31"," Alteromonadaceae","BRD",0.00113228356656424,0.00113228356656424
"32"," Anaerolineaceae","BRD",6.08424110346354e-07,6.08424110346354e-07
"33"," Anaerovoracaceae","BRD",0.00121077391038858,0.00121077391038858
"34"," Anaplasmataceae","BRD",2.90569114479001e-07,2.90569114479001e-07
"35"," Aquaspirillaceae","BRD",1.28917375530789e-06,1.28917375530789e-06
"36"," Arcobacteraceae","BRD",4.09685569031663e-05,4.09685569031663e-05
"37"," Ardenticatenaceae","BRD",4.44222719276449e-06,4.44222719276449e-06
"38"," Armatimonadaceae","BRD",0,0
"39"," Armatimonadales","BRD",8.6632381035548e-07,8.6632381035548e-07
"40"," Atopobiaceae","BRD",0.00234927360755064,0.00234927360755064
"41"," Azospirillaceae","BRD",1.09939327542625e-06,1.09939327542625e-06
"42"," Babeliales","BRD",6.66103143407344e-07,6.66103143407344e-07
"43"," Bacillaceae","BRD",0.000817637225555614,0.000817637225555614
"44"," Bacillales","BRD",0.000152941912658832,0.000152941912658832
"45"," Bacilli","BRD",1.73748843267076e-06,1.73748843267076e-06
"46"," Bacteriovoracaceae","BRD",7.53805730148973e-06,7.53805730148973e-06
"47"," Bacteroidaceae","BRD",0.00706409173555807,0.00706409173555807
"48"," Bacteroidales","BRD",3.48723671362812e-06,3.48723671362812e-06
"49"," Bacteroidales_RF16_group","BRD",3.02556677271507e-05,3.02556677271507e-05
"50"," Bacteroidales_UCG-001","BRD",6.70080503471687e-07,6.70080503471687e-07
"51"," Bacteroidetes_VC2.1_Bac22","BRD",3.03164664991147e-06,3.03164664991147e-06
"52"," Bacteroidia","BRD",0,0
"53"," Balneolaceae","BRD",6.23688850114846e-07,6.23688850114846e-07
"54"," Barnesiellaceae","BRD",2.69637866471931e-05,2.69637866471931e-05
"55"," Bdellovibrionaceae","BRD",9.00210873211788e-06,9.00210873211788e-06
"56"," Beijerinckiaceae","BRD",0.000213389756306841,0.000213389756306841
"57"," Berkelbacteria","BRD",0,0
"58"," Beutenbergiaceae","BRD",5.15150342666931e-05,5.15150342666931e-05
"59"," Bifidobacteriaceae","BRD",0.00181400198063853,0.00181400198063853
"60"," Blastocatellaceae","BRD",4.87971629511611e-05,4.87971629511611e-05
"61"," Blfdi19","BRD",3.21577405289697e-06,3.21577405289697e-06
"62"," Bogoriellaceae","BRD",2.34613417104172e-05,2.34613417104172e-05
"63"," Bradymonadaceae","BRD",2.01594699599949e-06,2.01594699599949e-06
"64"," Bradymonadales","BRD",1.33739823380824e-05,1.33739823380824e-05
"65"," Brevibacillaceae","BRD",0,0
"66"," Brevibacteriaceae","BRD",0.000620487037300922,0.000620487037300922
"67"," Bryobacteraceae","BRD",1.6782024437984e-06,1.6782024437984e-06
"68"," Burkholderiaceae","BRD",0.000168692577447912,0.000168692577447912
"69"," Burkholderiales","BRD",0,0
"70"," Butyricicoccaceae","BRD",6.72561013904567e-05,6.72561013904567e-05
"71"," C0119","BRD",0,0
"72"," Caedibacteraceae","BRD",0,0
"73"," Caenarcaniphilales","BRD",4.44068762271563e-06,4.44068762271563e-06
"74"," Caldicoprobacteraceae","BRD",2.90409052813467e-05,2.90409052813467e-05
"75"," Caldilineaceae","BRD",3.67803581101423e-05,3.67803581101423e-05
"76"," Caloramatoraceae","BRD",2.11338701759035e-07,2.11338701759035e-07
"77"," Campylobacteraceae","BRD",9.33567259595581e-05,9.33567259595581e-05
"78"," Candidatus_Azambacteria","BRD",4.06923975846173e-06,4.06923975846173e-06
"79"," Candidatus_Campbellbacteria","BRD",0,0
"80"," Candidatus_Kaiserbacteria","BRD",0,0
"81"," Candidatus_Lloydbacteria","BRD",3.24230623426752e-07,3.24230623426752e-07
"82"," Candidatus_Nomurabacteria","BRD",5.02595306931738e-06,5.02595306931738e-06
"83"," Candidatus_Vogelbacteria","BRD",0,0
"84"," Candidatus_Yonathbacteria","BRD",0,0
"85"," Candidatus_Zambryskibacteria","BRD",0,0
"86"," Cardiobacteriaceae","BRD",2.97157695256759e-05,2.97157695256759e-05
"87"," Carnobacteriaceae","BRD",0.0077577876771814,0.0077577876771814
"88"," Catellicoccaceae","BRD",2.65665850275509e-07,2.65665850275509e-07
"89"," Caulobacteraceae","BRD",0.00723004109082293,0.00723004109082293
"90"," Cellulomonadaceae","BRD",1.61803264090938e-05,1.61803264090938e-05
"91"," Cellvibrionaceae","BRD",9.00951976792695e-05,9.00951976792695e-05
"92"," Chitinimonadaceae","BRD",7.80988758977815e-06,7.80988758977815e-06
