"","Family","Status","Abundance.average","overall.max"
"1"," [Clostridium]_methylpentosum_group","Healthy",1.5452846799011e-06,1.5452846799011e-06
"2"," [Eubacterium]_coprostanoligenes_group","Healthy",0.00188029848056532,0.00188029848056532
"3"," 0319-6G20","Healthy",3.67300232215135e-06,3.67300232215135e-06
"4"," 0319-7L14","Healthy",0,0
"5"," 11-24","Healthy",7.45089557751086e-06,7.45089557751086e-06
"6"," 37-13","Healthy",0,0
"7"," 67-14","Healthy",7.65770618968517e-07,7.65770618968517e-07
"8"," A0839","Healthy",0,0
"9"," A4b","Healthy",9.17864694261106e-07,9.17864694261106e-07
"10"," AB1","Healthy",5.29016278359901e-07,5.29016278359901e-07
"11"," Abditibacteriaceae","Healthy",8.98207548952735e-06,8.98207548952735e-06
"12"," Absconditabacteriales_(SR1)","Healthy",6.08019321697196e-05,6.08019321697196e-05
"13"," Acetobacteraceae","Healthy",6.94496891194193e-05,6.94496891194193e-05
"14"," Acholeplasmataceae","Healthy",8.79185287134657e-05,8.79185287134657e-05
"15"," Acidaminobacteraceae","Healthy",2.31993119393403e-07,2.31993119393403e-07
"16"," Acidaminococcaceae","Healthy",0.00495645371805819,0.00495645371805819
"17"," Acidithiobacillaceae","Healthy",0,0
"18"," Actinobacteria","Healthy",4.15863112399895e-06,4.15863112399895e-06
"19"," Actinomycetaceae","Healthy",0.000564334624473226,0.000564334624473226
"20"," Aerococcaceae","Healthy",0.0285045070462367,0.0285045070462367
"21"," Aeromonadaceae","Healthy",0.000213097241024365,0.000213097241024365
"22"," AKAU3644","Healthy",0.000179481890889453,0.000179481890889453
"23"," AKIW781","Healthy",2.40993030169198e-06,2.40993030169198e-06
"24"," Akkermansiaceae","Healthy",0.000232208899924587,0.000232208899924587
"25"," AKYG1722","Healthy",5.88215571595541e-07,5.88215571595541e-07
"26"," Alcaligenaceae","Healthy",0.00101066818430234,0.00101066818430234
"27"," Alcanivoracaceae1","Healthy",2.13553424339837e-07,2.13553424339837e-07
"28"," Alicyclobacillaceae","Healthy",2.42855673622657e-06,2.42855673622657e-06
"29"," Alkalibacteraceae","Healthy",2.10865076083282e-07,2.10865076083282e-07
"30"," Alphaproteobacteria","Healthy",9.29128592857311e-07,9.29128592857311e-07
"31"," Alteromonadaceae","Healthy",0.00175674723796775,0.00175674723796775
"32"," Anaerolineaceae","Healthy",1.21918564172144e-05,1.21918564172144e-05
"33"," Anaerovoracaceae","Healthy",0.00160193909180993,0.00160193909180993
"34"," Anaplasmataceae","Healthy",0,0
"35"," Aquaspirillaceae","Healthy",9.82566463602931e-07,9.82566463602931e-07
"36"," Arcobacteraceae","Healthy",3.15522116141139e-05,3.15522116141139e-05
"37"," Ardenticatenaceae","Healthy",1.40816381251881e-05,1.40816381251881e-05
"38"," Armatimonadaceae","Healthy",1.85155697425965e-06,1.85155697425965e-06
"39"," Armatimonadales","Healthy",3.16881001314968e-06,3.16881001314968e-06
"40"," Atopobiaceae","Healthy",0.00311007932743864,0.00311007932743864
"41"," Azospirillaceae","Healthy",2.11912180642325e-06,2.11912180642325e-06
"42"," Babeliales","Healthy",1.5870488350797e-06,1.5870488350797e-06
"43"," Bacillaceae","Healthy",0.00142547331399505,0.00142547331399505
"44"," Bacillales","Healthy",0.000381088284629955,0.000381088284629955
"45"," Bacilli","Healthy",0,0
"46"," Bacteriovoracaceae","Healthy",1.4487803396376e-05,1.4487803396376e-05
"47"," Bacteroidaceae","Healthy",0.00303731389336343,0.00303731389336343
"48"," Bacteroidales","Healthy",2.89632871820013e-05,2.89632871820013e-05
"49"," Bacteroidales_RF16_group","Healthy",4.0495853898311e-05,4.0495853898311e-05
"50"," Bacteroidales_UCG-001","Healthy",4.38951639520711e-06,4.38951639520711e-06
"51"," Bacteroidetes_VC2.1_Bac22","Healthy",5.07485924877874e-07,5.07485924877874e-07
"52"," Bacteroidia","Healthy",7.12250781182994e-06,7.12250781182994e-06
"53"," Balneolaceae","Healthy",0,0
"54"," Barnesiellaceae","Healthy",1.48938514264926e-05,1.48938514264926e-05
"55"," Bdellovibrionaceae","Healthy",1.80744784375669e-05,1.80744784375669e-05
