"","Genus","Status","Abundance.average","overall.max"
"1"," [Agitococcus]_lubricugroup","BRD",4.92537805970642e-07,4.92537805970642e-07
"2"," [Anaerorhabdus]_furcosa_group","BRD",3.15907656401142e-07,3.15907656401142e-07
"3"," [Clostridium]_innocuum_group","BRD",0,0
"4"," [Clostridium]_methylpentosum_group","BRD",5.27248179983237e-07,5.27248179983237e-07
"5"," [Eubacterium]_brachy_group","BRD",3.68083578339038e-05,3.68083578339038e-05
"6"," [Eubacterium]_coprostanoligenegroup","BRD",0.00137259130873897,0.00137259130873897
"7"," [Eubacterium]_eligengroup","BRD",3.12983579191324e-08,3.12983579191324e-08
"8"," [Eubacterium]_fissicatena_group","BRD",5.00625639690155e-05,5.00625639690155e-05
"9"," [Eubacterium]_hallii_group","BRD",5.47892259485123e-05,5.47892259485123e-05
"10"," [Eubacterium]_nodatum_group","BRD",0.00029141776263739,0.00029141776263739
"11"," [Eubacterium]_oxidoreducengroup","BRD",4.60668370770347e-07,4.60668370770347e-07
"12"," [Eubacterium]_ruminantium_group","BRD",4.81239115866612e-05,4.81239115866612e-05
"13"," [Eubacterium]_saphenum_group","BRD",0,0
"14"," [Eubacterium]_siraeum_group","BRD",4.83995757622936e-06,4.83995757622936e-06
"15"," [Eubacterium]_ventriosum_group","BRD",6.3319541394541e-06,6.3319541394541e-06
"16"," [Eubacterium]_xylanophilum_group","BRD",2.23939789968694e-06,2.23939789968694e-06
"17"," [Ruminococcus]_gauvreauii_group","BRD",0.000443865453004869,0.000443865453004869
"18"," [Ruminococcus]_gnavugroup","BRD",0.000178466195643581,0.000178466195643581
"19"," [Ruminococcus]_torquegroup","BRD",0.000918629364437442,0.000918629364437442
"20"," 0319-6G20","BRD",1.83989843375352e-07,1.83989843375352e-07
"21"," 0319-7L14","BRD",9.23182790838814e-07,9.23182790838814e-07
"22"," 11-24","BRD",6.50745994658403e-06,6.50745994658403e-06
"23"," 1174-901-12","BRD",0,0
"24"," 37-13","BRD",2.6337950719633e-06,2.6337950719633e-06
"25"," 67-14","BRD",1.15251194379767e-06,1.15251194379767e-06
"26"," A0839","BRD",2.22186425520333e-06,2.22186425520333e-06
"27"," A4b","BRD",2.007648002485e-06,2.007648002485e-06
