"","Genus","Status","Abundance.average","overall.max"
"1"," [Agitococcus]_lubricugroup","Healthy",0,0
"2"," [Anaerorhabdus]_furcosa_group","Healthy",2.26179471935233e-06,2.26179471935233e-06
"3"," [Clostridium]_innocuum_group","Healthy",1.28717357278194e-06,1.28717357278194e-06
"4"," [Clostridium]_methylpentosum_group","Healthy",1.5452846799011e-06,1.5452846799011e-06
"5"," [Eubacterium]_brachy_group","Healthy",8.43355376999881e-05,8.43355376999881e-05
"6"," [Eubacterium]_coprostanoligenegroup","Healthy",0.00188029848056532,0.00188029848056532
"7"," [Eubacterium]_eligengroup","Healthy",1.67485578096013e-06,1.67485578096013e-06
"8"," [Eubacterium]_fissicatena_group","Healthy",5.80143817644372e-05,5.80143817644372e-05
"9"," [Eubacterium]_hallii_group","Healthy",6.22990757074173e-05,6.22990757074173e-05
"10"," [Eubacterium]_nodatum_group","Healthy",0.000357050596393671,0.000357050596393671
"11"," [Eubacterium]_oxidoreducengroup","Healthy",6.96127393736242e-06,6.96127393736242e-06
"12"," [Eubacterium]_ruminantium_group","Healthy",3.71644332150416e-05,3.71644332150416e-05
"13"," [Eubacterium]_saphenum_group","Healthy",1.64149807200292e-06,1.64149807200292e-06
"14"," [Eubacterium]_siraeum_group","Healthy",5.23848740741863e-06,5.23848740741863e-06
"15"," [Eubacterium]_ventriosum_group","Healthy",1.34516384012649e-05,1.34516384012649e-05
"16"," [Eubacterium]_xylanophilum_group","Healthy",1.20063902790223e-05,1.20063902790223e-05
"17"," [Ruminococcus]_gauvreauii_group","Healthy",0.000395083656345192,0.000395083656345192
"18"," [Ruminococcus]_gnavugroup","Healthy",0.000178800623720142,0.000178800623720142
"19"," [Ruminococcus]_torquegroup","Healthy",0.000728777412800458,0.000728777412800458
"20"," 0319-6G20","Healthy",3.67300232215135e-06,3.67300232215135e-06
"21"," 0319-7L14","Healthy",0,0
"22"," 11-24","Healthy",7.45089557751086e-06,7.45089557751086e-06
"23"," 1174-901-12","Healthy",1.9551140492703e-06,1.9551140492703e-06
"24"," 37-13","Healthy",0,0
"25"," 67-14","Healthy",7.65770618968517e-07,7.65770618968517e-07
"26"," A0839","Healthy",0,0
"27"," A4b","Healthy",9.17864694261106e-07,9.17864694261106e-07
"28"," AB1","Healthy",5.29016278359901e-07,5.29016278359901e-07
"29"," Abditibacterium","Healthy",8.98207548952735e-06,8.98207548952735e-06
"30"," Absconditabacteriale(SR1)","Healthy",6.08019321697196e-05,6.08019321697196e-05
