"","Phylum","Status","Abundance.average","overall.max"
"1"," Abditibacteriota","Healthy",8.98207548952735e-06,8.98207548952735e-06
"2"," Acidobacteriota","Healthy",9.74914173936852e-05,9.74914173936852e-05
"3"," Actinobacteriota","Healthy",0.0827716476020243,0.0827716476020243
"4"," Armatimonadota","Healthy",6.88056131934571e-06,6.88056131934571e-06
"5"," Bacteroidota","Healthy",0.0616915673158753,0.0616915673158753
"6"," Bdellovibrionota","Healthy",4.0451781255312e-05,4.0451781255312e-05
"7"," Campilobacterota","Healthy",0.000375346532830449,0.000375346532830449
"8"," Chloroflexi","Healthy",0.000624592016965069,0.000624592016965069
"9"," Crenarchaeota","Healthy",2.55654123785492e-06,2.55654123785492e-06
"10"," Cyanobacteria","Healthy",0.000327354902402284,0.000327354902402284
"11"," Deferribacterota","Healthy",3.98150765620774e-06,3.98150765620774e-06
"12"," Deinococcota","Healthy",0.00312927689872712,0.00312927689872712
"13"," Dependentiae","Healthy",2.53626032509495e-06,2.53626032509495e-06
"14"," Desulfobacterota","Healthy",0.000121712024960184,0.000121712024960184
"15"," Elusimicrobiota","Healthy",4.69331164400428e-05,4.69331164400428e-05
"16"," Euryarchaeota","Healthy",0.00400385548801008,0.00400385548801008
"17"," Fibrobacterota","Healthy",2.55664468497744e-05,2.55664468497744e-05
"18"," Firmicutes","Healthy",0.213812062189676,0.213812062189676
"19"," Fusobacteriota","Healthy",0.0010543373482236,0.0010543373482236
"20"," Gemmatimonadota","Healthy",2.16722951068499e-05,2.16722951068499e-05
"21"," Halanaerobiaeota","Healthy",1.23169039020504e-05,1.23169039020504e-05
"22"," Halobacterota","Healthy",1.24701418509797e-05,1.24701418509797e-05
"23"," Latescibacterota","Healthy",0,0
"24"," Methylomirabilota","Healthy",0,0
"25"," Myxococcota","Healthy",2.91033977052806e-05,2.91033977052806e-05
"26"," Nanoarchaeota","Healthy",1.00792795814761e-06,1.00792795814761e-06
"27"," Nitrospirota","Healthy",3.05776173064422e-06,3.05776173064422e-06
"28"," Parabasalia","Healthy",2.99159138451597e-07,2.99159138451597e-07
"29"," Patescibacteria","Healthy",0.000283522187286618,0.000283522187286618
"30"," Planctomycetota","Healthy",0.000389183455247314,0.000389183455247314
"31"," Proteobacteria","Healthy",0.628851230993418,0.628851230993418
"32"," SAR324_clade(Marine_group_B)","Healthy",0,0
"33"," Spirochaetota","Healthy",0.00102803475342645,0.00102803475342645
"34"," Sumerlaeota","Healthy",3.90564769265232e-05,3.90564769265232e-05
"35"," Synergistota","Healthy",0.000317261703543851,0.000317261703543851
"36"," Thermoplasmatota","Healthy",0.000183907359886191,0.000183907359886191
"37"," Verrucomicrobiota","Healthy",0.000438119981281339,0.000438119981281339
"38"," WPS-2","Healthy",8.02017240526357e-05,8.02017240526357e-05
"39"," WS1","Healthy",4.11002791325457e-07,4.11002791325457e-07
"40","Bacteria","Healthy",0.000161849886442389,0.000161849886442389
"41","Eukaryota","Healthy",0,0
"42","Unassigned","Healthy",1.60860643046855e-07,1.60860643046855e-07
