# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Dairy317,Dairy318,Dairy320,Dairy321,Dairy322,Dairy323,Dairy324,Dairy325,Dairy326,Dairy327,Dairy328,Dairy329,Dairy330,Dairy331,Dairy332,Dairy333,Dairy334,Dairy335,Dairy336,Dairy337,Dairy338,Dairy340,Dairy341,Dairy342,Dairy343,Dairy344,Dairy345,Dairy346,Dairy347,Dairy348,Dairy349,Dairy351,Dairy352,Dairy355,Dairy356,Dairy357,Dairy358,Dairy359,Dairy360,Dairy361,Dairy362,Dairy363,Dairy364,Dairy365,Dairy366,Dairy367,Dairy368,Dairy369,Dairy370,Dairy372,Dairy373,Dairy374,Dairy375,Dairy376,Dairy377,Dairy378,Dairy379,Dairy381,Dairy382,Dairy383,Dairy384,Dairy385,Dairy386,Dairy387,Dairy388,Dairy389,Dairy390,Dairy391,Dairy392,Dairy393,Dairy394,Dairy395,Dairy396,Dairy398,Dairy401,Dairy402,Dairy403,Dairy404,Dairy405,Dairy406,Dairy407,Dairy408,Dairy409,Dairy410,Dairy411,Dairy412,Dairy413,Dairy414,Dairy415,Dairy416,Dairy417,Dairy418,Dairy419,Dairy420,Dairy421
ASV7449,5,13483,0,1328,0,0,0,0,0,0,0,0,0,379,1778,19017,0,0,0,0,1035,0,297,479,50,0,0,623,0,7,891,0,0,14,729,350,0,10,9200,7,4932,0,6,0,0,0,0,0,2830,0,0,0,0,0,0,288,332,0,0,812,0,0,4276,0,684,0,0,0,0,0,0,0,0,3222,959,820,0,520,0,7020,0,0,222,118,0,29,5464,0,0,4923,4882,9402,1177,0,0
ASV308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11665,328,14668,51,51,0,13,3561,86,3,3538,5,11701,475,135,22739,8,2609,99,2432,181,278,697,0,786,10435,897,493,139,6568,30,873,18,195,208,5,1246,4929,240,0,710,19,8380,364,33,307,263,9,119,4876,444,105,936,7715,0,156,170,3931,2977,70,46,413,67,4169,0,2900,8584,1277,622,512,32,0,16,2063,326,382,2342,10050,8634,66,72,108,11912,6177,440,2159,8719,2661,3330,2781,5744,3230,79,760,2842,0
ASV3128,0,0,0,3,0,3405,0,0,0,0,0,17067,0,0,0,0,5952,13888,5,0,0,9726,67,0,84,17592,10,0,0,0,2162,38,1126,4233,0,0,24,0,0,43707,0,0,0,0,41,0,7,3769,6,0,0,15899,14390,0,0,0,12525,8022,0,10146,9903,0,7,30,23419,0,0,8235,0,0,7,9,0,14672,0,0,33647,8,0,11835,91,0,8,0,21,163,0,0,0,0,0,0,5725,0,0
ASV3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10586,0,0,0,96,0,0,0,0,0,0,0,1417,0,0,0,0,9,0,0,0,8,0,0,0,8,0,6,5778,6,0,778,279,126,0,0,0,7,0,0,0,0,0,0,0,0,124,4,11,0,0,0,1867,220,0,0,0,177,152,0,0,13,0,0,0,305,0,0,0,0,19,0,0,425,1011,0,0,0,0,0,50,0,0,0,277,0,0,0,0,0,0,0,0,6455,5179,86
ASV8609,0,0,0,314,0,0,0,0,0,38772,0,13235,0,0,0,0,5943,25914,20785,0,0,3447,11,0,72,213,66835,14721,0,0,0,0,166,11757,0,54,49583,0,0,0,0,0,0,0,0,0,0,3478,0,0,0,6349,0,0,0,0,0,12160,0,0,2366,0,17740,0,12,0,0,10621,0,19459,0,0,1237,84,0,0,0,0,0,41,0,0,0,0,0,217,0,0,0,0,0,0,2357,0,0
ASV5465,8083,8163,139,177,24,42,2412,1206,329,2274,1804,10911,17880,665,12663,155,2055,8,6845,3347,1866,329,4226,13822,91512,1378,5307,484,27796,1586,742,645,726,1313,2493,3747,6772,4146,2115,123,1460,33925,228,1956,662,3772,0,425,4096,1631,1343,561,13423,3761,186,4443,303,4545,1208,4166,6163,1369,16960,4465,1438,13997,958,414,306,0,3001,1851,109,6007,1045,3428,1456,7144,75,795,5082,15604,2061,358,10140,8235,7678,3517,662,4263,1007,3214,7139,9312,41
ASV630,0,0,0,0,19458,0,0,0,0,0,6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24393,0,11626,0,0,0,0,0,0,0,0,0,0,0,0,11120,12,0,0,0,0,9331,28,0,0,0,0,0,0,0,0,0,6289,0,3712,0,28
ASV8571,7156,9967,31758,1685,1080,1574,0,2947,4487,3397,1633,8183,0,222,1626,4519,1111,228,1159,0,609,3028,4669,10861,322,916,4537,13843,2618,824,1178,5031,112,3771,4106,30,12491,1439,7039,1616,1963,32,4167,986,2862,4528,0,1633,294,374,0,8027,1079,0,68,230,2890,2219,6,2578,7827,5,16761,1305,9226,4324,548,1046,0,972,3053,2514,8930,7260,7512,307,11936,4773,4,4787,33,0,14790,6327,37,1549,27,1468,269,1085,5979,6635,12880,5134,34
