ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp
#q2:types,categorical,categorical,categorical,categorical,categorical,numeric
Dairy204,Dairy 204,TX,Full Circle,NA,BRD,101.6
Dairy205,Dairy 205,TX,Full Circle,NA,BRD,100.5
Dairy206,Dairy 206,TX,Full Circle,NA,BRD,102.9
Dairy207,Dairy 207,TX,Full Circle,NA,Healthy,101.9
Dairy208,Dairy 208,TX,Full Circle,NA,Healthy,102.7
Dairy209,Dairy 209,TX,Full Circle,NA,Healthy,101.5
Dairy210,Dairy 210,TX,Full Circle,NA,BRD,102.1
Dairy211,Dairy 211,TX,Full Circle,NA,Healthy,102.1
Dairy212,Dairy 212,TX,Full Circle,NA,BRD,101.2
Dairy213,Dairy 213,TX,Full Circle,NA,Healthy,101.4
Dairy214,Dairy 214,TX,Full Circle,NA,BRD,102.6
Dairy215,Dairy 215,TX,Full Circle,NA,BRD,102.3
Dairy216,Dairy 216,TX,Full Circle,NA,Healthy,101.9
Dairy217,Dairy 217,TX,Full Circle,NA,Healthy,101.7
Dairy218,Dairy 218,TX,Full Circle,NA,BRD,102.3
Dairy219,Dairy 219,TX,Full Circle,NA,BRD,102.8
Dairy220,Dairy 220,TX,Full Circle,NA,Healthy,100.6
Dairy221,Dairy 221,TX,Full Circle,NA,Healthy,101.9
Dairy222,Dairy 222,TX,Full Circle,NA,BRD,105.1
Dairy223,Dairy 223,TX,Full Circle,NA,Healthy,101.7
Dairy224,Dairy 224,TX,Full Circle,NA,BRD,101.7
Dairy225,Dairy 225,TX,Full Circle,NA,BRD,97.8
Dairy226,Dairy 226,TX,Full Circle,NA,Healthy,101.2
Dairy227,Dairy 227,TX,Full Circle,NA,Healthy,102.1
Dairy228,Dairy 228,TX,Full Circle,NA,BRD,101.4
Dairy229,Dairy 229,TX,Full Circle,NA,Healthy,100.8
Dairy231,Dairy 231,TX,Full Circle,NA,Healthy,102
Dairy232,Dairy 232,TX,Full Circle,NA,BRD,101
Dairy233,Dairy 233,TX,Full Circle,NA,Healthy,102
Dairy234,Dairy 234,TX,Full Circle,NA,BRD,101.2
