ID,State,Farm,Date_of_colleciton,Status,RectTemp,Name,value,alpha,animal
Dairy317,CA,Farm2,07/14-15/2022,Healthy,104.8,Dairy 317,0.563546879,Pielou_e,calf
Dairy318,CA,Farm2,07/14-15/2022,Healthy,102.1,Dairy 318,0.535128853,Pielou_e,calf
Dairy320,CA,Farm2,07/14-15/2022,Healthy,102.3,Dairy 320,0.470796946,Pielou_e,calf
Dairy321,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 321,0.751928811,Pielou_e,calf
Dairy322,CA,Farm2,07/14-15/2022,Healthy,101.7,Dairy 322,0.406224184,Pielou_e,calf
Dairy323,CA,Farm2,07/14-15/2022,Healthy,103,Dairy 323,0.669985581,Pielou_e,calf
Dairy324,CA,Farm2,07/14-15/2022,Healthy,102.1,Dairy 324,0.556989747,Pielou_e,calf
Dairy325,CA,Farm2,07/14-15/2022,Healthy,102.4,Dairy 325,0.322860894,Pielou_e,calf
Dairy326,CA,Farm2,07/14-15/2022,Healthy,101.7,Dairy 326,0.553546201,Pielou_e,calf
Dairy327,CA,Farm2,07/14-15/2022,Healthy,101.7,Dairy 327,0.372724052,Pielou_e,calf
Dairy328,CA,Farm2,07/14-15/2022,Healthy,102.7,Dairy 328,0.602762034,Pielou_e,calf
Dairy329,CA,Farm2,07/14-15/2022,Healthy,103.2,Dairy 329,0.619157979,Pielou_e,calf
Dairy330,CA,Farm2,07/14-15/2022,Healthy,101.5,Dairy 330,0.632206105,Pielou_e,calf
Dairy331,CA,Farm2,07/14-15/2022,Healthy,105.1,Dairy 331,0.657694512,Pielou_e,calf
Dairy332,CA,Farm2,07/14-15/2022,Healthy,101.4,Dairy 332,0.529243268,Pielou_e,calf
Dairy333,CA,Farm2,07/14-15/2022,Healthy,102.3,Dairy 333,0.556621311,Pielou_e,calf
Dairy334,CA,Farm2,07/14-15/2022,Healthy,102.1,Dairy 334,0.629686373,Pielou_e,calf
Dairy335,CA,Farm2,07/14-15/2022,Healthy,102.9,Dairy 335,0.379067159,Pielou_e,calf
Dairy336,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 336,0.359172242,Pielou_e,calf
Dairy337,CA,Farm2,07/14-15/2022,Healthy,103,Dairy 337,0.604844616,Pielou_e,calf
Dairy338,CA,Farm2,07/14-15/2022,Healthy,102.8,Dairy 338,0.708021103,Pielou_e,calf
