ID	Sample
#q2:types	categorical
Dairy-E1	EmptyTube
Dairy-E10	EmptyTube
Dairy-E11	EmptyTube
Dairy-E2	EmptyTube
Dairy-E317-340	EmptyTube
Dairy-E341-364	EmptyTube
Dairy-E385-413	EmptyTube
Dairy-E4	EmptyTube
Dairy-E5	EmptyTube
Dairy-E6	EmptyTube
Dairy-E7	EmptyTube
Dairy-E8	EmptyTube
extra	EmptyTube
Extra-27	EmptyTube
extra1	EmptyTube
extra2	EmptyTube
extra23	EmptyTube
extra24	EmptyTube
extra25	EmptyTube
extra26	EmptyTube
extra3	EmptyTube
extra4	EmptyTube
extra5	EmptyTube
Mock1	Mock
Mock2	Mock
Mock3	Mock
Mock4	Mock
Mock5	Mock
Mock6	Mock
Water1	Water
Water2	Water
Water3	Water
Water4	Water
Water5	Water
Water6	Water
