Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,copy_log,copies,pre_abs,AveMean,Bacteria
Dairy 204,BRD,TX,Full Circle,calf,1/1/22,101.6,230,4.170068519,14793.41768,1,557507.7233,H.somni
Dairy 205,BRD,TX,Full Circle,calf,1/1/22,100.5,4034413.22,3.50171992,3174.825936,1,569126.315,H.somni
Dairy 206,BRD,TX,Full Circle,calf,1/1/22,102.9,8038339.76,4.009426315,10219.42157,1,562081.7194,H.somni
Dairy 207,Healthy,TX,Full Circle,calf,1/1/22,101.9,3616426.91,3.153456478,1423.824552,1,342896.9262,H.somni
Dairy 208,Healthy,TX,Full Circle,calf,1/1/22,102.7,3553039.03,3.938047207,8670.561184,1,335650.1896,H.somni
Dairy 209,Healthy,TX,Full Circle,calf,1/1/22,101.5,2087082.96,3.458119029,2871.567498,1,341449.1832,H.somni
Dairy 210,BRD,TX,Full Circle,calf,1/1/22,102.1,2158001.1,3.387404537,2440.082651,1,569861.0583,H.somni
Dairy 211,Healthy,TX,Full Circle,calf,1/1/22,102.1,1105469.58,3.879479188,7576.684233,1,336744.0665,H.somni
Dairy 212,BRD,TX,Full Circle,calf,1/1/22,101.2,2745725.96,4.010489981,10244.48146,1,562056.6595,H.somni
Dairy 213,Healthy,TX,Full Circle,calf,1/1/22,101.4,3370577.32,4.065765448,11634.97483,1,332685.7759,H.somni
Dairy 214,BRD,TX,Full Circle,calf,1/1/22,102.6,1379088.03,3.816280052,6550.584486,1,565750.5565,H.somni
Dairy 215,BRD,TX,Full Circle,calf,1/1/22,102.3,1056520.57,3.784962804,6094.846941,1,566206.294,H.somni
Dairy 216,Healthy,TX,Full Circle,calf,1/1/22,101.9,16253025.48,4.037766607,10908.53945,1,333412.2113,H.somni
Dairy 217,Healthy,TX,Full Circle,calf,1/1/22,101.7,1129128.62,3.170155254,1479.637241,1,342841.1135,H.somni
Dairy 218,BRD,TX,Full Circle,calf,1/1/22,102.3,11995429.4,3.56110416,3640.023268,1,568661.1177,H.somni
Dairy 219,BRD,TX,Full Circle,calf,1/1/22,102.8,10206918.28,3.878963218,7567.687984,1,564733.453,H.somni
Dairy 220,Healthy,TX,Full Circle,calf,1/1/22,100.6,3698219.72,3.558983207,3622.289915,1,340698.4608,H.somni
Dairy 221,Healthy,TX,Full Circle,calf,1/1/22,101.9,1750806.51,4.038228784,10920.15454,1,333400.5962,H.somni
Dairy 222,BRD,TX,Full Circle,calf,1/1/22,105.1,17982833.49,3.738099104,5471.408043,1,566829.7329,H.somni
Dairy 223,Healthy,TX,Full Circle,calf,1/1/22,101.7,4220078.83,4.106634148,12783.04,1,331537.7107,H.somni
Dairy 224,BRD,TX,Full Circle,calf,1/1/22,101.7,6431811.53,4.160220534,14461.73948,1,557839.4015,H.somni
Dairy 225,BRD,TX,Full Circle,calf,1/1/22,97.8,23011875.03,5.249947593,177806.4836,1,394494.6574,H.somni
Dairy 226,Healthy,TX,Full Circle,calf,1/1/22,101.2,1675346.35,3.568950537,3706.385067,1,340614.3657,H.somni
Dairy 227,Healthy,TX,Full Circle,calf,1/1/22,102.1,48143464.26,3.724572955,5303.626786,1,339017.124,H.somni
Dairy 228,BRD,TX,Full Circle,calf,1/1/22,101.4,4256127.29,3.930718599,8525.475276,1,563775.6657,H.somni
Dairy 229,Healthy,TX,Full Circle,calf,1/1/22,100.8,96764085036,3.589988609,3890.349411,1,340430.4013,H.somni
Dairy 230,BRD,TX,Full Circle,calf,1/1/22,100.9,83956390.23,3.984256523,9643.984932,1,562657.156,H.somni
Dairy 231,Healthy,TX,Full Circle,calf,1/1/22,102,60454198.56,5.721800138,526987.287,1,-182666.5363,H.somni
Dairy 232,BRD,TX,Full Circle,calf,1/1/22,101,10538933.06,4.227698683,16892.68497,1,555408.456,H.somni
Dairy 233,Healthy,TX,Full Circle,calf,1/1/22,102,29599554.86,3.32321755,2104.832545,1,342215.9182,H.somni
Dairy 234,BRD,TX,Full Circle,calf,1/1/22,101.2,2085308.57,4.682233026,48109.74179,1,524191.3992,H.somni
Dairy 235,Healthy,TX,Full Circle,calf,1/1/22,102.4,7366158.84,3.980537441,9561.751243,1,334758.9995,H.somni
Dairy 236,BRD,TX,Full Circle,calf,1/1/22,102.4,5139234.32,4.102764193,12669.63762,1,559631.5033,H.somni
Dairy 237,Healthy,TX,Full Circle,calf,1/1/22,102.3,631822.95,6.285018592,1927607.432,1,-1583286.681,H.somni
Dairy 238,BRD,TX,Full Circle,calf,1/1/22,102.3,3496147.11,5.745001561,555906.255,1,16394.88597,H.somni
Dairy 239,Healthy,TX,Full Circle,calf,1/1/22,101.5,5431254.09,4.58167879,38166.18842,1,306154.5623,H.somni
Dairy 240,BRD,TX,Full Circle,calf,1/1/22,102.1,29984283.47,6.572769229,3739118.502,1,-3166817.361,H.somni
Dairy 241,BRD,TX,Full Circle,calf,1/1/22,102.7,1132230.26,4.591710007,39058.00052,1,533243.1404,H.somni
Dairy 242,Healthy,TX,Full Circle,calf,1/1/22,102.8,6193278.97,6.655407747,4522803.787,1,-4178483.036,H.somni
Dairy 243,Healthy,TX,Full Circle,calf,1/1/22,102.3,916095.54,4.451285646,28267.38575,1,316053.365,H.somni
Dairy 244,BRD,TX,Full Circle,calf,1/1/22,101.7,35556617.53,6.042074421,1101728.086,1,-529426.945,H.somni
Dairy 245,Healthy,TX,Full Circle,calf,1/1/22,103.3,12594452.96,6.920434875,8325970.63,1,-7981649.879,H.somni
Dairy 246,Healthy,TX,Full Circle,calf,1/1/22,101.8,1254517.03,6.056457371,1138825.992,1,-794505.2413,H.somni
