Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID
Dairy 204,BRD,TX,Farm1,calf,1/1/22,101.6,230,4.170068519,14793.41768,1,2.826074803,670,0,4.389034568,24492.58182,1,4.662673064,45991.02233,1,Dairy204
Dairy 205,BRD,TX,Farm1,calf,1/1/22,100.5,4034413.22,3.50171992,3174.825936,1,2.826074803,670,0,5.451906206,283078.0571,1,2.278753601,190,0,Dairy205
Dairy 206,BRD,TX,Farm1,calf,1/1/22,102.9,8038339.76,4.009426315,10219.42157,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy206
Dairy 207,Healthy,TX,Farm1,calf,1/1/22,101.9,3616426.91,3.153456478,1423.824552,1,2.826074803,670,0,2.230448921,170,0,4.710507086,51346.05552,1,Dairy207
Dairy 208,Healthy,TX,Farm1,calf,1/1/22,102.7,3553039.03,3.938047207,8670.561184,1,2.826074803,670,0,5.256698109,180591.8341,1,2.278753601,190,0,Dairy208
Dairy 209,Healthy,TX,Farm1,calf,1/1/22,101.5,2087082.96,3.458119029,2871.567498,1,2.826074803,670,0,3.531648613,3401.328772,1,5.231670882,170478.9972,1,Dairy209
Dairy 210,BRD,TX,Farm1,calf,1/1/22,102.1,2158001.1,3.387404537,2440.082651,1,2.826074803,670,0,2.230448921,170,0,3.960725159,9135.349319,1,Dairy210
Dairy 211,Healthy,TX,Farm1,calf,1/1/22,102.1,1105469.58,3.879479188,7576.684233,1,2.826074803,670,0,5.447312306,280099.4823,1,2.278753601,190,0,Dairy211
Dairy 212,BRD,TX,Farm1,calf,1/1/22,101.2,2745725.96,4.010489981,10244.48146,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy212
Dairy 213,Healthy,TX,Farm1,calf,1/1/22,101.4,3370577.32,4.065765448,11634.97483,1,2.826074803,670,0,2.230448921,170,0,3.270022435,1862.183331,1,Dairy213
Dairy 214,BRD,TX,Farm1,calf,1/1/22,102.6,1379088.03,3.816280052,6550.584486,1,2.826074803,670,0,4.284155029,19237.78335,1,2.278753601,190,0,Dairy214
Dairy 215,BRD,TX,Farm1,calf,1/1/22,102.3,1056520.57,3.784962804,6094.846941,1,2.826074803,670,0,5.294678378,197096.2575,1,2.278753601,190,0,Dairy215
Dairy 216,Healthy,TX,Farm1,calf,1/1/22,101.9,16253025.48,4.037766607,10908.53945,1,2.826074803,670,0,5.824334021,667319.8162,1,2.278753601,190,0,Dairy216
Dairy 217,Healthy,TX,Farm1,calf,1/1/22,101.7,1129128.62,3.170155254,1479.637241,1,2.826074803,670,0,3.89898794,7924.793237,1,2.278753601,190,0,Dairy217
Dairy 218,BRD,TX,Farm1,calf,1/1/22,102.3,11995429.4,3.56110416,3640.023268,1,2.826074803,670,0,5.389703291,245303.2436,1,2.278753601,190,0,Dairy218
Dairy 219,BRD,TX,Farm1,calf,1/1/22,102.8,10206918.28,3.878963218,7567.687984,1,2.826074803,670,0,3.830081531,6762.099097,1,2.278753601,190,0,Dairy219
Dairy 220,Healthy,TX,Farm1,calf,1/1/22,100.6,3698219.72,3.558983207,3622.289915,1,2.826074803,670,0,4.191582672,15544.71171,1,2.278753601,190,0,Dairy220
Dairy 221,Healthy,TX,Farm1,calf,1/1/22,101.9,1750806.51,4.038228784,10920.15454,1,2.826074803,670,0,5.266967773,184913.14,1,2.278753601,190,0,Dairy221
Dairy 222,BRD,TX,Farm1,calf,1/1/22,105.1,17982833.49,3.738099104,5471.408043,1,2.826074803,670,0,5.202691204,159474.4835,1,2.278753601,190,0,Dairy222
Dairy 223,Healthy,TX,Farm1,calf,1/1/22,101.7,4220078.83,4.106634148,12783.04,1,2.826074803,670,0,4.832487851,67996.70239,1,3.767393588,5853.203025,1,Dairy223
Dairy 224,BRD,TX,Farm1,calf,1/1/22,101.7,6431811.53,4.160220534,14461.73948,1,2.826074803,670,0,5.448843634,281088.8599,1,2.278753601,190,0,Dairy224
