Name,Status,State,Farm,animal,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Dairy 204,BRD,TX,Farm1,calf,1/1/22,101.6,230,4.170068519,14793.41768,1,2.826074803,670,0,4.389034568,24492.58182,1,4.662673064,45991.02233,1,Dairy204,64.3192073,199.9609667,2.913043478,106.4894862,85947.02183,0.172122516,0.53510897,0.0077955,0.284973014,2.36361198
Dairy 205,BRD,TX,Farm1,calf,1/1/22,100.5,4034413.22,3.50171992,3174.825936,1,2.826074803,670,0,5.451906206,283078.0571,1,2.278753601,190,0,Dairy205,0.000786936,4.71E-05,0.000166071,0.070165856,287112.883,0.011057762,0.000661761,0.002333577,0.9859469,6.605780486
Dairy 206,BRD,TX,Farm1,calf,1/1/22,102.9,8038339.76,4.009426315,10219.42157,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy206,0.001271335,2.36E-05,8.34E-05,2.11E-05,11249.42157,0.908439737,0.016889757,0.059558618,0.015111888,6.905166413
Dairy 207,Healthy,TX,Farm1,calf,1/1/22,101.9,3616426.91,3.153456478,1423.824552,1,2.826074803,670,0,2.230448921,170,0,4.710507086,51346.05552,1,Dairy207,0.00039371,0.014198007,0.000185266,4.70E-05,53609.88007,0.026558995,0.957772251,0.012497696,0.003171057,6.558279812
Dairy 208,Healthy,TX,Farm1,calf,1/1/22,102.7,3553039.03,3.938047207,8670.561184,1,2.826074803,670,0,5.256698109,180591.8341,1,2.278753601,190,0,Dairy208,0.002440323,5.35E-05,0.000188571,0.050827428,190122.3953,0.045605154,0.000999356,0.003524046,0.949871444,6.5506001
Dairy 209,Healthy,TX,Farm1,calf,1/1/22,101.5,2087082.96,3.458119029,2871.567498,1,2.826074803,670,0,3.531648613,3401.328772,1,5.231670882,170478.9972,1,Dairy209,0.001375876,0.081682904,0.000321022,0.001629705,177421.8935,0.016184967,0.960867872,0.00377631,0.019170851,6.31953992
Dairy 210,BRD,TX,Farm1,calf,1/1/22,102.1,2158001.1,3.387404537,2440.082651,1,2.826074803,670,0,2.230448921,170,0,3.960725159,9135.349319,1,Dairy210,0.001130714,0.004233246,0.000310473,7.88E-05,12415.43197,0.196536267,0.735805999,0.053965098,0.013692637,6.334051863
Dairy 211,Healthy,TX,Farm1,calf,1/1/22,102.1,1105469.58,3.879479188,7576.684233,1,2.826074803,670,0,5.447312306,280099.4823,1,2.278753601,190,0,Dairy211,0.006853815,0.000171873,0.000606077,0.25337602,288536.1665,0.026259045,0.000658496,0.002322066,0.970760393,6.043547189
Dairy 212,BRD,TX,Farm1,calf,1/1/22,101.2,2745725.96,4.010489981,10244.48146,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy212,0.003731065,6.92E-05,0.000244016,6.19E-05,11274.48146,0.908643249,0.016852216,0.059426236,0.015078299,6.438657348
Dairy 213,Healthy,TX,Farm1,calf,1/1/22,101.4,3370577.32,4.065765448,11634.97483,1,2.826074803,670,0,2.230448921,170,0,3.270022435,1862.183331,1,Dairy213,0.003451923,0.000552482,0.000198779,5.04E-05,14337.15816,0.811525876,0.129885108,0.046731716,0.011857301,6.527704423
Dairy 214,BRD,TX,Farm1,calf,1/1/22,102.6,1379088.03,3.816280052,6550.584486,1,2.826074803,670,0,4.284155029,19237.78335,1,2.278753601,190,0,Dairy214,0.004749939,0.000137772,0.000485828,0.013949641,26648.36784,0.245815598,0.007129893,0.025142253,0.721912256,6.139592304
Dairy 215,BRD,TX,Farm1,calf,1/1/22,102.3,1056520.57,3.784962804,6094.846941,1,2.826074803,670,0,5.294678378,197096.2575,1,2.278753601,190,0,Dairy215,0.005768792,0.000179836,0.000634157,0.18655222,204051.1044,0.029869218,0.000931139,0.003283491,0.965916151,6.023878368
Dairy 216,Healthy,TX,Farm1,calf,1/1/22,101.9,16253025.48,4.037766607,10908.53945,1,2.826074803,670,0,5.824334021,667319.8162,1,2.278753601,190,0,Dairy216,0.00067117,1.17E-05,4.12E-05,0.04105819,679088.3557,0.016063505,0.000279787,0.000986617,0.982670091,7.210934243
Dairy 217,Healthy,TX,Farm1,calf,1/1/22,101.7,1129128.62,3.170155254,1479.637241,1,2.826074803,670,0,3.89898794,7924.793237,1,2.278753601,190,0,Dairy217,0.001310424,0.000168271,0.000593378,0.007018504,10264.43048,0.144151908,0.018510525,0.065273958,0.772063609,6.0527438
Dairy 218,BRD,TX,Farm1,calf,1/1/22,102.3,11995429.4,3.56110416,3640.023268,1,2.826074803,670,0,5.389703291,245303.2436,1,2.278753601,190,0,Dairy218,0.000303451,1.58E-05,5.59E-05,0.020449726,249803.2669,0.01457156,0.000760599,0.002682111,0.981985731,7.079015835
Dairy 219,BRD,TX,Farm1,calf,1/1/22,102.8,10206918.28,3.878963218,7567.687984,1,2.826074803,670,0,3.830081531,6762.099097,1,2.278753601,190,0,Dairy219,0.000741427,1.86E-05,6.56E-05,0.000662502,15189.78708,0.498208957,0.012508404,0.044108584,0.445174054,7.00889468
Dairy 220,Healthy,TX,Farm1,calf,1/1/22,100.6,3698219.72,3.558983207,3622.289915,1,2.826074803,670,0,4.191582672,15544.71171,1,2.278753601,190,0,Dairy220,0.000979469,5.14E-05,0.000181168,0.004203296,20027.00163,0.180870306,0.009487192,0.033454833,0.776187669,6.567992827
Dairy 221,Healthy,TX,Farm1,calf,1/1/22,101.9,1750806.51,4.038228784,10920.15454,1,2.826074803,670,0,5.266967773,184913.14,1,2.278753601,190,0,Dairy221,0.006237214,0.000108521,0.000382681,0.105615977,196693.2945,0.055518693,0.000965971,0.003406318,0.940109018,6.243238401
Dairy 222,BRD,TX,Farm1,calf,1/1/22,105.1,17982833.49,3.738099104,5471.408043,1,2.826074803,670,0,5.202691204,159474.4835,1,2.278753601,190,0,Dairy222,0.000304257,1.06E-05,3.73E-05,0.008868151,165805.8915,0.032998876,0.001145918,0.00404087,0.961814336,7.254858147
Dairy 223,Healthy,TX,Farm1,calf,1/1/22,101.7,4220078.83,4.106634148,12783.04,1,2.826074803,670,0,4.832487851,67996.70239,1,3.767393588,5853.203025,1,Dairy223,0.0030291,0.001386989,0.000158765,0.016112662,87302.94542,0.146421635,0.067044737,0.007674426,0.778859202,6.625320666
Dairy 224,BRD,TX,Farm1,calf,1/1/22,101.7,6431811.53,4.160220534,14461.73948,1,2.826074803,670,0,5.448843634,281088.8599,1,2.278753601,190,0,Dairy224,0.002248471,2.95E-05,0.00010417,0.043702907,296410.5994,0.048789549,0.000641003,0.002260378,0.94830907,6.808333377
Dairy 225,BRD,TX,Farm1,calf,1/1/22,97.8,23011875.03,5.249947593,177806.4836,1,2.826074803,670,0,5.224385065,167642.8616,1,2.278753601,190,0,Dairy225,0.007726727,8.26E-06,2.91E-05,0.007285059,346309.3452,0.513432531,0.000548642,0.001934686,0.48408414,7.361952026
