"","Name","Status","State","Farm","animal","Date.of.colleciton","RectaTemp","X16S.copies","Hscopy_log","HScopies","HSpre_abs","MBcopy_log","MBcopies","MBpre_abs","MHcopy_log","MHcopies","MHpre_abs","PMcopy_log","PMcopies","PMpre_abs","ID","HSRel","PMRel","MBRel","MHRel","BactABund","HSRelBact","PMRelBact","MBRelBact","MHRelBact","X16S_log"
"2","Dairy 205","BRD","TX","Full Circle","calf","1/1/22",100.5,4034413.22,3.50171992,3174.825936,1,2.826074803,670,0,5.451906206,283078.0571,1,2.278753601,190,0,"Dairy205",0.000786936231584131,4.70948288237069e-05,0.000166071238483598,0.0701658560151159,287112.883036,0.0110577620287485,0.000661760621783651,0.00233357692944761,0.98594690042002,6.60578048590079
"3","Dairy 206","BRD","TX","Full Circle","calf","1/1/22",102.9,8038339.76,4.009426315,10219.42157,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,"Dairy206",0.00127133486206361,2.36367217202573e-05,8.3350545013539e-05,2.11486457497039e-05,11249.42157,0.908439736781951,0.0168897572926498,0.0595586178214495,0.0151118881039499,6.90516641278545
"4","Dairy 207","Healthy","TX","Full Circle","calf","1/1/22",101.9,3616426.91,3.153456478,1423.824552,1,2.826074803,670,0,2.230448921,170,0,4.710507086,51346.05552,1,"Dairy207",0.00039371030783531,0.014198007259049,0.00018526573788823,4.70077245388045e-05,53609.880072,0.0265589952838498,0.957772251141775,0.0124976963033711,0.0031710572710046,6.55827981227808
"5","Dairy 208","Healthy","TX","Full Circle","calf","1/1/22",102.7,3553039.03,3.938047207,8670.561184,1,2.826074803,670,0,5.256698109,180591.8341,1,2.278753601,190,0,"Dairy208",0.0024403225269383,5.34753483977349e-05,0.000188570965402539,0.0508274276120181,190122.395284,0.0456051543588441,0.000999356229002811,0.00352404564964149,0.949871443762512,6.55060010045589
"6","Dairy 209","Healthy","TX","Full Circle","calf","1/1/22",101.5,2087082.96,3.458119029,2871.567498,1,2.826074803,670,0,3.531648613,3401.328772,1,5.231670882,170478.9972,1,"Dairy209",0.00137587606867338,0.0816829040662572,0.000321022217535617,0.0016297046342614,177421.89347,0.016184967040077,0.960867871860617,0.00377630960247468,0.0191708514968313,6.31953992037895
"7","Dairy 210","BRD","TX","Full Circle","calf","1/1/22",102.1,2158001.1,3.387404537,2440.082651,1,2.826074803,670,0,2.230448921,170,0,3.960725159,9135.349319,1,"Dairy210",0.00113071427581756,0.00423324590474027,0.000310472501612719,7.87766048868094e-05,12415.43197,0.196536266873041,0.735805998621247,0.0539650977605091,0.0136926367452038,6.33405186296875
"8","Dairy 211","Healthy","TX","Full Circle","calf","1/1/22",102.1,1105469.58,3.879479188,7576.684233,1,2.826074803,670,0,5.447312306,280099.4823,1,2.278753601,190,0,"Dairy211",0.0068538152203157,0.000171872662475253,0.000606077283465367,0.253376019899164,288536.166533,0.0262590451798127,0.000658496306660641,0.00232206592348752,0.970760392590039,6.04354718914569
"9","Dairy 212","BRD","TX","Full Circle","calf","1/1/22",101.2,2745725.96,4.010489981,10244.48146,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,"Dairy212",0.00373106479278799,6.91984570812741e-05,0.000244015611812914,6.19144089674557e-05,11274.48146,0.908643248591585,0.0168522162792221,0.0594262363530464,0.0150782987761461,6.43865734802782
"10","Dairy 213","Healthy","TX","Full Circle","calf","1/1/22",101.4,3370577.32,4.065765448,11634.97483,1,2.826074803,670,0,2.230448921,170,0,3.270022435,1862.183331,1,"Dairy213",0.00345192343191819,0.000552482009521146,0.000198779003236158,5.04364635076818e-05,14337.158161,0.811525875584571,0.129885107640475,0.0467317157609753,0.0118573010139788,6.52770442301869
"11","Dairy 214","BRD","TX","Full Circle","calf","1/1/22",102.6,1379088.03,3.816280052,6550.584486,1,2.826074803,670,0,4.284155029,19237.78335,1,2.278753601,190,0,"Dairy214",0.00474993933926031,0.000137772205883043,0.000485828304955993,0.0139496413075241,26648.367836,0.245815598400388,0.00712989257613458,0.0251422527684746,0.721912256255003,6.13959230387682
"12","Dairy 215","BRD","TX","Full Circle","calf","1/1/22",102.3,1056520.57,3.784962804,6094.846941,1,2.826074803,670,0,5.294678378,197096.2575,1,2.278753601,190,0,"Dairy215",0.00576879155414835,0.000179835589949754,0.000634157080349131,0.186552219707374,204051.104441,0.0298692180946381,0.000931139287486372,0.00328349117166247,0.965916151446213,6.02387836805785
"13","Dairy 216","Healthy","TX","Full Circle","calf","1/1/22",101.9,16253025.48,4.037766607,10908.53945,1,2.826074803,670,0,5.824334021,667319.8162,1,2.278753601,190,0,"Dairy216",0.000671169774724306,1.16901311841172e-05,4.12230941755713e-05,0.0410581904902053,679088.35565,0.0160635053734042,0.000279786861929238,0.000986616828908366,0.982670090935758,7.21093424292598
"14","Dairy 217","Healthy","TX","Full Circle","calf","1/1/22",101.7,1129128.62,3.170155254,1479.637241,1,2.826074803,670,0,3.89898794,7924.793237,1,2.278753601,190,0,"Dairy217",0.00131042399846352,0.000168271352470014,0.0005933779271311,0.00701850355808003,10264.430478,0.144151908298404,0.0185105252948258,0.0652739576185963,0.772063608788174,6.0527438002239
"15","Dairy 218","BRD","TX","Full Circle","calf","1/1/22",102.3,11995429.4,3.56110416,3640.023268,1,2.826074803,670,0,5.389703291,245303.2436,1,2.278753601,190,0,"Dairy218",0.000303450851705234,1.58393662839615e-05,5.58546074223904e-05,0.0204497259264433,249803.266868,0.0145715599064741,0.000760598539731664,0.00268211064010639,0.981985730913688,7.07901583521269
"16","Dairy 219","BRD","TX","Full Circle","calf","1/1/22",102.8,10206918.28,3.878963218,7567.687984,1,2.826074803,670,0,3.830081531,6762.099097,1,2.278753601,190,0,"Dairy219",0.000741427311985886,1.86148252379268e-05,6.56417521547944e-05,0.000662501541748407,15189.787081,0.498208957350427,0.0125084044290298,0.0441085840392103,0.445174054181333,7.00889468022708
"17","Dairy 220","Healthy","TX","Full Circle","calf","1/1/22",100.6,3698219.72,3.558983207,3622.289915,1,2.826074803,670,0,4.191582672,15544.71171,1,2.278753601,190,0,"Dairy220",0.000979468552236263,5.13760712951906e-05,0.000181168251409356,0.00420329587934813,20027.001625,0.180870306140997,0.00948719152061286,0.033454833256898,0.776187669081492,6.56799282748769
"18","Dairy 221","Healthy","TX","Full Circle","calf","1/1/22",101.9,1750806.51,4.038228784,10920.15454,1,2.826074803,670,0,5.266967773,184913.14,1,2.278753601,190,0,"Dairy221",0.00623721380839508,0.000108521415082013,0.000382680779499729,0.105615976947675,196693.29454,0.0555186925184135,0.000965970906351163,0.00340631845923831,0.940109018115997,6.24323840082922
"19","Dairy 222","BRD","TX","Full Circle","calf","1/1/22",105.1,17982833.49,3.738099104,5471.408043,1,2.826074803,670,0,5.202691204,159474.4835,1,2.278753601,190,0,"Dairy222",0.000304257282148699,1.05656319459142e-05,3.72577547566449e-05,0.008868151039083,165805.891543,0.0329988759270418,0.00114591826763119,0.00404086968059421,0.961814336124733,7.2548581471494
"20","Dairy 223","Healthy","TX","Full Circle","calf","1/1/22",101.7,4220078.83,4.106634148,12783.04,1,2.826074803,670,0,4.832487851,67996.70239,1,3.767393588,5853.203025,1,"Dairy223",0.00302909981423262,0.00138698902574765,0.000158764806770209,0.0161126616656116,87302.945415,0.146421634908594,0.0670447371182774,0.00767442606678518,0.778859201906344,6.62532066645944
"21","Dairy 224","BRD","TX","Full Circle","calf","1/1/22",101.7,6431811.53,4.160220534,14461.73948,1,2.826074803,670,0,5.448843634,281088.8599,1,2.278753601,190,0,"Dairy224",0.00224847065442541,2.95406665935064e-05,0.000104169719040259,0.0437029068076564,296410.59938,0.048789549058804,0.000641002718517562,0.00226037800740403,0.948309070215274,6.80833337741125
"22","Dairy 225","BRD","TX","Full Circle","calf","1/1/22",97.8,23011875.03,5.249947593,177806.4836,1,2.826074803,670,0,5.224385065,167642.8616,1,2.278753601,190,0,"Dairy225",0.00772672732527003,8.25660663254523e-06,2.91154023358174e-05,0.00728505875255485,346309.3452,0.513432530956719,0.000548642428029979,0.00193468645673729,0.484084140158514,7.36195202572058
"23","Dairy 226","Healthy","TX","Full Circle","calf","1/1/22",101.2,1675346.35,3.568950537,3706.385067,1,2.826074803,670,0,4.885414278,76809.38323,1,2.278753601,190,0,"Dairy226",0.0022123097513538,0.000113409385468265,0.000399917306651249,0.0458468681595301,81375.768297,0.0455465446848093,0.00233484738732727,0.00823340920794354,0.94388519871992,6.22410486304397
