"","Farm","animal","Status","Bacteria","n","Mean","SD","SE","25%","75%"
"1","Southview","Cow","Healthy","H.somni",11,3.62115946018182,0.564474326586298,0.170195413188662,3.2419404476263,4.00037847273733
"2","Southview","Cow","Healthy","M.bovis",11,2.86990712590909,0.145375368779154,0.0438323229090909,2.77224262426254,2.96757162755564
"3","Southview","Cow","Healthy","M.haemolytica",11,2.230448921,0,0,2.230448921,2.230448921
"4","Southview","Cow","Healthy","P.multocida",11,2.48867050372727,0.469995757417072,0.141709052764666,2.17292305758415,2.8044179498704
"5","Southview","Cow","BRD","H.somni",9,3.44083450722222,0.743609752051271,0.247869917350424,2.86924545281943,4.01242356162501
"6","Southview","Cow","BRD","M.bovis",9,2.826074803,0,0,2.826074803,2.826074803
"7","Southview","Cow","BRD","M.haemolytica",9,2.40347844155556,0.519088561666667,0.173029520555556,2.00447165164205,2.80248523146906
"8","Southview","Cow","BRD","P.multocida",9,3.25135127588889,1.52305297627278,0.50768432542426,2.08062912208221,4.42207342969557
"9","Southview","calf","Healthy","H.somni",6,3.2416329965,0.85695677523603,0.349851138491534,2.34231201471698,4.14095397828302
"10","Southview","calf","Healthy","M.bovis",6,2.826074803,0,0,2.826074803,2.826074803
"11","Southview","calf","Healthy","M.haemolytica",6,2.230448921,0,0,2.230448921,2.230448921
"12","Southview","calf","Healthy","P.multocida",6,3.33624199583333,0.941933214216845,0.384542624435159,2.3477437104324,4.32474028123427
"13","Southview","calf","BRD","H.somni",7,3.68779509942857,0.661887415985342,0.250169928374339,3.07565133688931,4.29993886196783
"14","Southview","calf","BRD","M.bovis",7,2.826074803,0,0,2.826074803,2.826074803
"15","Southview","calf","BRD","M.haemolytica",7,2.230448921,0,0,2.230448921,2.230448921
"16","Southview","calf","BRD","P.multocida",7,4.41300346728571,1.17750035819625,0.445053302353823,3.32399726736494,5.50200966720649
"17","Warren","Cow","Healthy","H.somni",1,3.165376169,NA,NA,NA,NA
"18","Warren","Cow","Healthy","M.bovis",1,2.826074803,NA,NA,NA,NA
"19","Warren","Cow","Healthy","M.haemolytica",1,2.230448921,NA,NA,NA,NA
"20","Warren","Cow","Healthy","P.multocida",1,2.278753601,NA,NA,NA,NA
"21","Warren","Cow","BRD","H.somni",3,3.919039004,2.17954160707038,1.25835893355207,-1.49524249645244,9.33332050445244
"22","Warren","Cow","BRD","M.bovis",3,3.61901440933333,1.373411685503,0.792939606333333,0.207270647616751,7.03075817104991
"23","Warren","Cow","BRD","M.haemolytica",3,2.230448921,0,0,2.230448921,2.230448921
"24","Warren","Cow","BRD","P.multocida",3,3.45426205233333,2.03604036243594,1.17550845133333,-1.6035425946396,8.51206669930626
"25","Warren","calf","Healthy","H.somni",46,3.14847311993478,0.818236180181639,0.120642343002692,2.90548696805054,3.39145927181903
"26","Warren","calf","Healthy","M.bovis",46,3.14953550354348,0.869081682125844,0.128139103271023,2.89145010139716,3.4076209056898
"27","Warren","calf","Healthy","M.haemolytica",46,3.00781833328261,1.18898705633585,0.17530657742901,2.65473276158974,3.36090390497548
"28","Warren","calf","Healthy","P.multocida",46,3.62666829908696,1.57258363368283,0.231864807167372,3.15966860520895,4.09366799296497
"29","Warren","calf","BRD","H.somni",47,3.27756627782979,1.13143225510144,0.165036356270815,2.94536532263057,3.60976723302901
"30","Warren","calf","BRD","M.bovis",47,3.25106777574468,0.988264756806232,0.14415323034921,2.96090237280474,3.54123317868462
"31","Warren","calf","BRD","M.haemolytica",47,3.25531739968085,1.34130937959216,0.195650081250256,2.86149421220398,3.64914058715772
"32","Warren","calf","BRD","P.multocida",47,3.52518413378723,1.51721791184374,0.22130897781154,3.07971226634903,3.97065600122544
