,Bacteria,State,Status,pre_abs,n,per,Samples
1,H.somni,CA,Healthy,Positive,41,87.23404255,CA-H.somni-Healthy-Positive
2,H.somni,CA,BRD,Positive,38,77.55102041,CA-H.somni-BRD-Positive
3,H.somni,IN,Healthy,Positive,35,74.46808511,IN-H.somni-Healthy-Positive
4,H.somni,IN,BRD,Positive,34,68,IN-H.somni-BRD-Positive
5,H.somni,NY,Healthy,Positive,39,78,NY-H.somni-Healthy-Positive
6,H.somni,NY,BRD,Positive,37,72.54901961,NY-H.somni-BRD-Positive
7,H.somni,TX,Healthy,Positive,48,87.27272727,TX-H.somni-Healthy-Positive
8,H.somni,TX,BRD,Positive,51,92.72727273,TX-H.somni-BRD-Positive
9,P.multocida,CA,Healthy,Positive,28,59.57446809,CA-P.multocida-Healthy-Positive
10,P.multocida,CA,BRD,Positive,32,65.30612245,CA-P.multocida-BRD-Positive
11,P.multocida,IN,Healthy,Positive,21,44.68085106,IN-P.multocida-Healthy-Positive
12,P.multocida,IN,BRD,Positive,22,44,IN-P.multocida-BRD-Positive
13,P.multocida,NY,Healthy,Positive,20,40,NY-P.multocida-Healthy-Positive
14,P.multocida,NY,BRD,Positive,25,49.01960784,NY-P.multocida-BRD-Positive
15,P.multocida,TX,Healthy,Positive,24,43.63636364,TX-P.multocida-Healthy-Positive
16,P.multocida,TX,BRD,Positive,19,34.54545455,TX-P.multocida-BRD-Positive
17,M.bovis,CA,Healthy,Positive,1,2.127659574,CA-M.bovis-Healthy-Positive
18,M.bovis,CA,BRD,Positive,3,6.12244898,CA-M.bovis-BRD-Positive
19,M.bovis,IN,Healthy,Positive,6,12.76595745,IN-M.bovis-Healthy-Positive
20,M.bovis,IN,BRD,Positive,12,24,IN-M.bovis-BRD-Positive
21,M.bovis,NY,Healthy,Positive,5,10,NY-M.bovis-Healthy-Positive
22,M.bovis,NY,BRD,Positive,4,7.843137255,NY-M.bovis-BRD-Positive
23,M.bovis,TX,Healthy,Positive,3,5.454545455,TX-M.bovis-Healthy-Positive
24,M.bovis,TX,BRD,Positive,5,9.090909091,TX-M.bovis-BRD-Positive
25,M.haemolytica,CA,Healthy,Positive,10,21.27659574,CA-M.haemolytica-Healthy-Positive
26,M.haemolytica,CA,BRD,Positive,28,57.14285714,CA-M.haemolytica-BRD-Positive
27,M.haemolytica,IN,Healthy,Positive,15,31.91489362,IN-M.haemolytica-Healthy-Positive
28,M.haemolytica,IN,BRD,Positive,20,40,IN-M.haemolytica-BRD-Positive
29,M.haemolytica,NY,Healthy,Positive,12,24,NY-M.haemolytica-Healthy-Positive
30,M.haemolytica,NY,BRD,Positive,9,17.64705882,NY-M.haemolytica-BRD-Positive
31,M.haemolytica,TX,Healthy,Positive,24,43.63636364,TX-M.haemolytica-Healthy-Positive
32,M.haemolytica,TX,BRD,Positive,26,47.27272727,TX-M.haemolytica-BRD-Positive
