x		Query id	Subject id	Percent Identity	Alignment Length	Mismatches	Gaps	Alignment Start (query)	Alignment end (query)	Alignment Start (subject)	Alignment end (subject)	E Value	Bit Score	Query length	Percent Coverage
Acinetobacter baumannii (ATCC 17978)	y	ea403646ed22d679fa4586263d8fc32f	A.baumannii.1	100	253	0	0	1	253	178	430	6.44E-135	468	253	1
Bacillus pacificus (ATCC 10987)	y	b2088e4f502c120e596b8da13d700f1c	A.baumannii.1	99.605	253	1	0	1	253	178	430	3.00E-133	462	253	1
Bifidobacterium adolescentis (ATCC 15703)		c22b16cc6108c04f29fea3b6d4c81571	A.baumannii.1	95.652	253	11	0	1	253	178	430	1.42E-116	407	253	1
Cereibacter sphaeroides (ATCC 17029)	y	6db2c97532abe971a75024dfeaf40e9d	A.baumannii.1	89.328	253	27	0	1	253	178	430	6.86E-90	318	253	1
Clostridium beijerinckii (ATCC 35702)	y	26b49807524ea843053eb0ed326b69eb	A.baumannii.1	88.933	253	28	0	1	253	178	430	3.19E-88	313	253	1
Cutibacterium acnes (ATCC 11828)		bdf8a26094624622d68509a87fa75ba7	B.pacificus	100	253	0	0	1	253	536	788	6.44E-135	468	253	1
Deinococcus radiodurans (ATCC BAA-816)	y	f2e6885109b673d741f67719f3217bcb	B.pacificus	92.083	240	19	0	14	253	549	788	5.27E-96	339	253	0.948616601
Enterococcus faecalis (ATCC 47077)	y	b2062ae94fb00a931014b67b499295a8	B.vulgatus.4	100	253	0	0	1	253	172	424	6.44E-135	468	253	1
Escherichia coli (ATCC 700926)	y	99deb3c5ecb022ec05609ebd1112a557	B.vulgatus.5	100	253	0	0	1	253	172	424	6.44E-135	468	253	1
Helicobacter pylori (ATCC 700392)	y	659b56106d02f100ba5617e471632cce	B.vulgatus.5	99.605	253	1	0	1	253	172	424	3.00E-133	462	253	1
Lactobacillus gasseri (ATCC 33323)	y	b0c2c0007799b244d64b605733612694	B.vulgatus.5	99.605	253	1	0	1	253	172	424	3.00E-133	462	253	1
Neisseria meningitidis (ATCC BAA-335)	y	8001826dafd338cf078dd28c2eae05ed	B.vulgatus.7	100	253	0	0	1	253	172	424	6.44E-135	468	253	1
Phocaeicola vulgatus (ATCC 8482)	y	03905b1ae5c8258fd3b0b2adb74c97d0	B.vulgatus.7	80.078	256	45	6	1	253	172	424	7.26E-50	185	253	1
Porphyromonas gingivalis (ATCC 33277)	y	4e8d7a4662640b90817f015280cf5713	C.beijerinckii.3	100	253	0	0	1	253	152	404	6.44E-135	468	253	1
Pseudomonas paraeruginosa (ATCC 9027)	y	7206fc7e50247a9f4f3be5b82a60b2d2	C.beijerinckii.3	99.605	253	1	0	1	253	152	404	3.00E-133	462	253	1
Schaalia odontolytica (ATCC 17982)	y	cb97fb83d4c8cc6eccded352a4ca3f8f	C.beijerinckii.4	100	253	0	0	1	253	152	404	6.44E-135	468	253	1
Staphylococcus aureus (ATCC BAA-1556)	y	dffc86cefa76e3e3d93e7eea450e6807	C.sphaeroides.1	100	253	0	0	1	253	477	729	6.44E-135	468	253	1
Staphylococcus epidermidis (ATCC 12228)	y	2385fe1c2dd5a3f83237272a6644088b	D.radiodurans.1	100	253	0	0	1	253	164	416	6.44E-135	468	253	1
Streptococcus agalactiae (ATCC BAA-611)	y	264cefbf03e60435ded1f28a88052aab	D.radiodurans.1	99.605	253	1	0	1	253	164	416	3.00E-133	462	253	1
Streptococcus mutans (ATCC 700610)	y	1d573affdb169be3f0d512b6b6688d59	D.radiodurans.1	78.656	253	49	4	1	251	164	413	3.42E-43	163	254	0.988188976
		d46e2205f0c6ecf67b51f83d111c509c	E.coli.1	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
18/20 mock strains identified		d7c175c5b206160e3c14ffd3ae2019d7	E.coli.1	90.04	251	23	2	1	250	177	426	1.47E-91	324	253	0.988142292
		9908fffab7ed4f3bec44cda2f5084d49	E.faecalis.2	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
		e832be098a5318684958d14305267752	H.pylori.1	100	254	0	0	1	254	152	405	1.80E-135	470	254	1
		0df6c802966e8670279671824da4f10a	L.gasseri.1	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
		8224351b2abd16dd4d58c3015ff5e795	N.meningitidis.1	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
		e3100d9965eeac48b782e672a7c36601	N.meningitidis.1	99.605	253	1	0	1	253	177	429	3.00E-133	462	253	1
		18ed2c565150cefb2486652676307e2d	N.meningitidis.1	82.283	254	43	2	1	253	177	429	7.16E-60	219	253	1
		e21e804c8cb49a5e0492b8fc5454220f	P.gingivalis.1	100	253	0	0	1	253	172	424	6.44E-135	468	253	1
		32950e2032160329ab0eed492833eec6	P.gingivalis.1	99.605	253	1	0	1	253	172	424	3.00E-133	462	253	1
		ff9d93d7b7e46787568f2d241caeaf3b	P.paraeruginosa.2	100	253	0	0	1	253	528	780	6.44E-135	468	253	1
